,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X600741.SH,X002236.SZ,X002475.SZ,X000338.SZ,X600031.SH,X002008.SZ,X002456.SZ,X000625.SZ,X600066.SH,X600487.SH,X300124.SZ,X601877.SH,X000100.SZ,X002241.SZ,X600809.SH,X300003.SZ,X002508.SZ,X002294.SZ,X600867.SH,X300136.SZ,X600522.SH,X600271.SH,X600566.SH,X000050.SZ,X000157.SZ,X600089.SH,X000981.SZ,X600177.SH,X600707.SH,X000596.SZ,X600498.SH,X002085.SZ,X002179.SZ,X002180.SZ,X600699.SH,X000661.SZ,X300142.SZ,X600584.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.418663594845843,0.331245883321683,0,0,0,0,0,0,0,-0.0982800709487568,0,0,0.0731671864024253,0,0,0,0,0,-0.126465343304599,0,0,0,-0.0321862097359786,0,0,0,0,0.00641580330902143,0,0,0.141273932328438,0,0,0,0,0,0,0,0,0,0,0,0.0593890042214332,0,0,0,0,0.0118517168691458,-0.00694400519459282,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,-0.00794271907315538,-0.196317941537198,0.197522719012051,0,0,0.0951059677071936,0,0.334709800979227,-3.46944695195361e-18,0.0510398032455903,0,-0.156672656852376,0,0,0,0,0.154551858875674,0,0,0,0,0,0,0,0,-0.0326403090908711,0,0.00342323481665847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0274295976709123,0.0257448687497933,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,-0.0309580475019725,0,0,0.296849627608032,0.0940974663603504,0,0,0.0793579594686469,0,0,0.0516863714632885,0.133632113182384,0,0,0,0.205518817957219,0,0.04811318527341,0,0,0,0,0,0,0,0.136013836231376,0,0,0,0,0,0,0,0,0.0734473158144044,0,0,0,0.0710648080805639,0,0,0,0,0,0,-0.015517699104459,0.00107199801924523,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.398205238887376,0,1.73472347597681e-18,0,0.0359651813854987,0.142385127173018,0,0,0,0.0160327602435175,0,0.0764436231191033,0.053289184507606,0,0,0,0,0,0,0,0,0,0,0,0.108044863630712,0,0,-0.066211629713226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00277854011105081,1.35525271560688e-20,0,0,0,0,0,0
X000858.SZ,0,0,0,0.34948366105221,0,0,0,0.189186393363701,0,0,0,0.509142713110567,0,0.030479791892301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0259123466897091,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0410543253000564,0,0,0,0,0,-0.0137907979997754,0,0,0,0,0,0
X600276.SH,0,0,0.0462617734980872,0,0.100563662186864,0,0,0,0.0374356113308765,0,0.0447287268538372,0,0,0,0,0,0,0,0,0,0,0.191637256149125,0,0,0,0,0.0263976904774655,0,0.179809144082937,0.00130289224908516,0.096872420480747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00441884922194082,0,0,0,0.0111182483332763,0,0.00549938661874124,0,0.113558789869971,0,0,0,0,0
X000725.SZ,0.0752899023452905,0,0,0,0,0,0,0,0.378876853594026,0,0,0,0,0,0,0.0291488634507948,0,0,0,0,0,0,0,0,0,0,0,0.164360806806661,0,0,0,0.0284135357654731,0,0.158614856977037,0.0262900276853375,0,0,0,0,0,0,0,0.111120750677199,0,0,0,0,0.0555038907031825,0,0.221810989088526,0,-0.0367305200454633,0.04162844950645,0,0,0,0,0,0
X002304.SZ,0.107779340931544,0,0,0,0.218292598056243,0,0,0,0,0,0,0.142030122328386,0,0,0,0,0,0,0,0,0,0,0,-0.0219550901996965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213062125893988,0.0509021361508441,0,0,0,0,0,0,0,0,0,-0.0040427301840556,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0.406601994236395,0,0,0,0,0,0,-0.0570208272969691,0,0,0,0.00917250700633365,0,0,0,0.253760047258441,0,0.0507394372748667,0,0.0419203799802234,0,0,0,0,0,0,0,0.468885412955863,0.0737030425372575,0,0,0,0,0,0,0.0767935807380772,0.187135672297612,0.0973835159234165,0,0,0,0,0,0,0,0,0.0145831706395848,0,0,0,0,0,0
X600690.SH,0,0,0.017077699787903,0,0.466994646040247,0.0940859699550182,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.126364351908403,0,0,0,0,0,0,0,0,0,0,0,0,0.0172541782502183,0,0,0,0,0,0,0.118475804048458,0,0,0,0.00992798069073164,0,0,0,0,0,0
