,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600741.SH,X600703.SH,X600066.SH,X002236.SZ,X000568.SZ,X002241.SZ,X600271.SH,X600031.SH,X000100.SZ,X600118.SH,X600177.SH,X002292.SZ,X600372.SH,X000338.SZ,X002475.SZ,X000559.SZ,X002456.SZ,X002007.SZ,X300003.SZ,X000157.SZ,X600522.SH,X002074.SZ,X002506.SZ,X002180.SZ,X600867.SH,X002426.SZ,X300124.SZ,X002085.SZ,X002294.SZ,X000981.SZ,X600089.SH,X601877.SH,X000869.SZ,X002508.SZ,X002249.SZ,X600498.SH,X000050.SZ,X002465.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.37741682931425,0,0,0,0,0,0,0.293656629806363,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0662539920076965,0,0,0,-0.0732501217855106,0,0,0,0,0.0556808518677448,0,0.0259374423379563,0,-0.0518996004457612,0,0.295541446007626,0,0,0,0,0,-0.211176466464862,0,0,0,0,0,0,0.0227828730849142,0,0,0,0,0,0,0
X600104.SH,0.120120078498667,0,0.181924799414738,0,0,0,0,0.193278351521431,0.0834940806558544,0,0.165405791520764,0,0,0,0,0,0,0,0,0,0,-0.0309901982939706,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0378779096181287,0,-0.0256935018677379,0,0,0,0.0148837052510152,0,8.67361737988404e-19,0,0,0,0,0,0,0.0511654936136821,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0701708835060751,0,0,0,0,0.189110141083703,0,0,0,0,0,0.0251857593087169,0,0,0,0,0,0,0,0.105271004824298,0.0706441999815963,0.0992884229249877,0,0,0.123800813307492,0,0,0,0,0,0,0,0,0,0.0282483285848432,0,0,0,0,0,0.110625649294275,0,0.0368652320849448,-0.0241197515185539,0,0.010522910904098,0,0.0243957466810812,0,0,0,0,0,0,0
X000858.SZ,0.129308586544492,0,0,0,0.211896024092725,0.213474142240583,0,0,0.160320169792134,0,0.0170922825864963,0,0.0631945331420929,0,0.343703688738572,-0.0228450124487582,0,0,0,0,0,0,-0.0240586235941817,0,0,0,0,0,0,0,0,0.0123991221416004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.063448306277775,0,0,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.727119358259402,0,0,0,0,0,0,0,0,0,0,0,0.0222320726930091,0,0,0,4.33680868994202e-19,0,0,0.0637928539162843,0,0,0,-0.00742045066396192,0,0,0,0,0,0.0210498017729249,0.0434022263628272,0,-0.0150156050694699,0,0,0,0,0,0.0210724336594738,0,0,0,0,0,0,0,0,0.00647944585652162,0,0,0,0,0,0,0
X600276.SH,0,0,0,0.0655760734714816,0,0,0,0,0.11034986479046,0,0,0,0.132955534893691,0.0578000271928226,0.0176487940675184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0516665683595165,0,-0.0407707071614518,0,0.0124894696143913,0,0,0,-0.0432638294949465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.0510509886522331,0,0,0.0684458702360722,0,0,0.0397259755256252,0,0,0,0.252163133470388,0,0,0,0,0.100353188973125,0,0,0,0,0,0,0,0,0,0,0,-0.00858099746837245,0,0,0,0,0,0,0,0,0,0,0.148526543496976,0,0,0,-0.0307052522812545,0.0258571892694479,0,0,0,0,0,0
X000625.SZ,0.105286164859596,0.166610790966419,0,0,0,0,0,0,0,0.0479903478251369,0,0,0.0841798738222241,0.0412979916725751,0,0.00484359371344283,0.171361008683983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00200144364161032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.144512354804468,0,-0.0098835788690487,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.0487200392671185,0,0,0,0,0,0.0143847096570487,0.0680802559386021,0,0,0,0.0759390767638179,0,0,0,0,0,0,0,0,0,0,0,0,0.179237484557999,0,0,0.054459030640816,0,0,0.0212977175297018,0,0,0,0,0,0.011084057577031,0,0,0,0,0,0,0.0281288365507717,0,0,0,0,0.0727773426338844,0,0,0,0,0,0
X000063.SZ,0.00860242715644688,0,0,0.0855739801344796,0.0293628567114111,0,0,0.0554269211128913,0,0,0,0,0,0,0,0.0486065062326309,0,0,0,0,0,0,0,0.10460743351811,0,0,0.105531596750146,0,0,0,0.0269821474843798,0,0,0.0729942986963668,0,0,0,0,0,0,0.0640771288885338,0.0764699669566617,0.0087900405443615,0,0,0.0684999872926365,0.057431087570219,0,0,0,0,0,0,0,0,0,0,0
