,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X600276.SH,X002475.SZ,X300014.SZ,X002304.SZ,X600690.SH,X600104.SH,X000651.SZ,X002371.SZ,X600031.SH,X000725.SZ,X002241.SZ,X300124.SZ,X600703.SH,X003816.SZ,X002129.SZ,X000063.SZ,X002049.SZ,X000338.SZ,X000596.SZ,X000625.SZ,X000661.SZ,X002179.SZ,X601877.SH,X300142.SZ,X600460.SH,X600089.SH,X000100.SZ,X002074.SZ,X600741.SH,X600702.SH,X002236.SZ,X000799.SZ,X600779.SH,X000733.SZ,X601799.SH,X600884.SH,X000157.SZ,X600584.SH,X600563.SH,X002414.SZ,X600522.SH,X002180.SZ,X600183.SH,X002007.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.49438008954907,0,0,0.0762566991898846,0,0,0,0,0,0,0,0,0,-0.119240181129775,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.00943528014465279,0,0,0,0,0,0,0.0523733171057562,0,0.0100448118960926,0,0,0,0,0,0,0.0107019568265808,0,-0.00973635124514323,0,0,0,0,0,0,-0.00478933376709466,0,0,0,0,0,0
X000858.SZ,0,0,0,0.330433910246813,0.101592735469795,0,0,0.00274358171282409,0,0,0,0,0,0,0,0,0,0,-0.143521492501776,0,0,0,0,0,0,0.244361732363032,0,0,0,0,0.0847106811014113,0,0,0.012019646682919,0.16637806581602,0,0,0,0,0.0364816338720291,0,0,0,-0.0284409970861232,0,0,0,0,0,0,0,-0.00699519411451561,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.278403456669087,0.0467739803197759,0,0,0.0307074244809832,0,0,0,-0.0738165492414141,0,0,0,0,0,0,0,0,0,0,0,0,-0.0232492875099474,0,0,0,0.0288865078003095,-0.0324433572914989,0.197905398680608,0,0,0,0,0.023773078983744,0,0,0,0.0646076464766313,0,-0.027213481879151,0,0,0,0,0.00833262977485829,0,0,0,0,0.0217446166125616,0,0
X600809.SH,0,0.244104945414834,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.111859427021106,0,0,0,0,0,0,0,0,0,0.0837958862223138,0,0,0,0,0.040799722781984,0,0,0,0,0,0.456504658619224,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,-0.0397536199181243,0,0,0,0,0,0
X000568.SZ,0,0.0502775031700566,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00810781374413468,0,0,0,0,0,0,0,0.253340619547982,0,0,0,0,0,0,0,0,0,0,0.0873927020043729,0,0.0181911856493814,0.288189609656134,-0.167208993562983,0,-0.0388275900839081,0,0,0,0,-0.0614945096649463,0,0,0,0,0,0.0244753204202589,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0.20334759697844,0,0,0,0,0,0,0,0,0.0730270658835475,0,0,0.0198471035007986,0,0,0,0,-0.111320100751021,0.0895924173140447,0,0,0,0,0,0.20476784232312,0,0,0.22006659713631,0,0,0,-0.231624827057492,0,0,-0.020718946266344,-0.0792766787737045,0.0339507649709443,0,0,0,-0.0631443097489295,0,0,0.0171920502453788,0,0,0,0,0,0
X002475.SZ,0,0.0281836475033402,0,0.00601574673669941,0,0,0,0,0.053357992986825,0,0,0,0.0304316936454436,0,0,0,0.215138768983974,0,0,0,0.0521977539635237,0,0,0,0,0,-0.162140982414209,-0.0616127964494844,0,0.146181233472044,0,0,0,0.0547291264999333,0,0,0,0,-0.00500870044692355,0,-0.0175573330551441,0,0,-0.0522595384176638,0,0,0,0,0.0502692151162579,0,0,0,0,0,0,0,0.139797743265902,0,0
X300014.SZ,0,0,-0.279194042692484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0746927300567179,0,0,0.0154007106676664,0,0,0.0701051828228047,0,0,0.000111327690454596,0,0.0596696137484724,0,0.199339705264052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0752192990963713,0,0,0,0.127175258775701,0,0
X002304.SZ,0,0.115251813435567,0.185364722511312,0.225310215650756,0,0,0,0,0,0.0733781904472814,0,0,0,0,0,0,0,0,-0.0846705421933862,0,0,0,0,0.0549963408095275,0.0114634820319407,0,0,0,0.0392821456608994,0,0,0,0,0,0,0.143422269401587,0,0.0942837160055747,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00702607562818348,8.67361737988404e-19,0,0,0,-0.102576491749332,0,0
X600690.SH,0,0,0,0,0,0.0782297916094192,0,0,0,0,0,0,0,0,0,0,0,0,-0.0130744941678815,0,0,0,0,0.0273834731737458,0,0,0,0,0,-0.0877295091621886,0.0158219045620177,0.194327869098465,0.00393557099931161,0,0,0,0,0,0,0,0,0,0,0.0479253924016149,0,-0.00894557216054638,0,0,0,0,0,0.00195744035456928,0,0,0,0,0,0,0
