,X600519.SH,X000858.SZ,X000651.SZ,X600104.SH,X600276.SH,X002415.SZ,X002304.SZ,X000063.SZ,X000725.SZ,X600031.SH,X000568.SZ,X600690.SH,X000338.SZ,X002475.SZ,X600741.SH,X000596.SZ,X600809.SH,X601877.SH,X000661.SZ,X600703.SH,X000100.SZ,X000157.SZ,X600271.SH,X002236.SZ,X300124.SZ,X002007.SZ,X300003.SZ,X300142.SZ,X002008.SZ,X600498.SH,X002179.SZ,X002506.SZ,X600177.SH,X000625.SZ,X000977.SZ,X002371.SZ,X600487.SH,X600183.SH,X600522.SH,X600776.SH,X000050.SZ,X600066.SH,X000066.SZ,X002129.SZ,X600867.SH,X002049.SZ,X002241.SZ,X600089.SH,X300146.SZ,X600118.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002179.SZ,0,0,0,0,0,0,0,0,0,0.0174172073038233,0,0,0,0,0,0,0,0,0.106361605741625,-1.73472347597681e-18,0.0470913067558731,0,0.0512128152767454,0,0,0,0.472270139803935,-0.0999849727496209,0,0,0,0.0450803459970282,0,0,0,0.0210342598024369,0,0.127438813767682,0,0,0,0,0,0,0,0,0,0,0,0.144788840753975,0,0.0595436244432527,-0.0224471043853418,0,0,0,0.0236279514600259,0,0
X002506.SZ,0,0,0.445937833095639,0,0,-0.45392677299778,0,0,0,0,-0.0509693094958877,0,0,0,-0.0654931685652937,0,0,0,0.114615647590085,0.184990843034195,0,0,0,0,0.147673492211139,0,0,0,-0.0263148332814465,0,0.42395553826224,0,0,0,0,0,0,0,0,0,0,0,-0.0546558765355121,0,0,0,-0.00792778150540923,0,0,0,0,-0.159830270113332,-1.0842021724855e-19,0,0,0,-0.0813427976179796,0,0
X600177.SH,0,0,-0.0379144668131635,0,0,0,0,-0.0214759067937969,0,0,0,0,0.0358783867916714,0,0,0,0,0,0,0,0.176554355761762,0.0806626716625196,0,0,0,0,0,0,0,0,0,-0.00681116407694394,0,0.0305900394996098,0,0,0,0,0,-0.00948722913934693,0,0,0,0,0.26167891613846,0,0,0,0,0,0,0.0612288070008527,-0.0201776548671905,0,0,0,0.0632728558428023,0,0
X000625.SZ,0,-8.67361737988404e-19,0,0,0.0969767521169121,0,0,0,0,0,0,0,0.0264049995268262,0.146735063025872,0.0884175470948482,0,0,0,0,0.147069711453567,0,0,0,0,0,0,0.248031633639035,0,0,0,0,0,0,0,0,0,0,0,0,-0.0845116903759002,0,0,-4.33680868994202e-19,0,0.154143419782442,0.0444598786723927,0,0,0,0,0,-0.0415126284647142,0,0,0,0,-0.0366094242307033,0,0
X000977.SZ,0,0,0,0,0,0,0,0,0.0300988562879244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0669223516608546,0,0,0,0.122717249583977,0.241249814195753,0,0.347487503188142,0,0,0,0,0,0,0,0,-0.0566756051914855,0,0,0,0,0.00315288648710643,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0817464880805359,0,0,0.0527676095956836,0.501467853917594,0,0,0,0,0,0,0,0.00731760313773801,0.074194957877323,0.0406032097979007,0,0.00567853379885393,0,0,0,0,-0.0490256221401462,-0.0125756935719855,0,0,0,0,0,0
X600487.SH,0,-0.171210688127654,0,0,0,0.279666548761422,0,0,0,0,0,0.0796280965701559,0,0.0842569839859045,0.11010374151297,0,0,0,0,0,0,0,0,0.0386000029020395,0,0,0,0,0.0719355918700478,0,0,0.0395439915100462,0,0,0.0190850571740244,0,0,0.0406650026950148,0,0,0,0,0.0761157537117877,0,0,0,0.435336246877396,0,0,0,0,0,0.0229103946904221,0,0,0,-0.0155857397675546,0,0
X600183.SH,0,0,0,0,0,0,0,0.139684454935772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181131189215,0,0,0,0,0,0,0,0,0,0.117123359987964,0,0,0.240449528670313,0.027586282597783,0.0211310918104612,0.0934346748258678,0,0,0,0,0,0.0137214103689652,0,0,0,0,-0.00668071233454865,0,0
X600522.SH,0,0.0656159156040018,0,0,0,0,0,0.0679465992335604,0,0,0,0,0,0.106275574871356,0,0,0,0,0,0,0,0,0,0.11074094957788,0,0,0,0.0327187384186858,0,0.17325034009574,0,0,0,0,0.0545478020935718,0,0.0787319256064575,0,0,0,0,0,0,0,0.0208210885615488,0,0,0,0,0.140593493992675,0,-0.0335560709866048,0,0,0,0,0,0,0
X600776.SH,0,0,0,0,0.28916319441956,0,0,0.226016352958534,0,0,0,0,0,0,0,0.115317536818534,0.0200482942092878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187996635165914,0,0,0.183772357935767,0,0,0.432668620519511,0,0,-0.257140309254185,-0.303205294952137,0,0,0,0,0,0,0.0299466335174816,-0.0751563865748373,0,0,0,0.0756952887292895,0,0
X000050.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.134598084599894,0,0,0,0,0,0,0,0,0,0,0,0.0304036595798097,0,0,0,0.319618954901545,0,0.373720653333607,0,0,0,-0.0501113062487507,0,0,-0.105760680260486,0.141040976310049,0,0,-0.124346576118065,0,0,0,0,0,0
X600066.SH,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.141859959750694,0.124541157280984,0.122022956041029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000135508771868493,0,0,0.394921826308599,0,0,0.0434089792469768,0,0,0,0,-0.000590781463779731,0,0,-0.00727281956564826,-0.068009490790855,0,0,0,-0.0178023934411143,0,0
X000066.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0815811831440523,0,0,0.0798652546297084,0,0,0,-0.0473193357905851,0,0,0,0,0,0,0.29980846614807,0.196850492256238,0,0.0878848363412358,0,0.18052519743098,0,0,0,0.0259487595597836,0.177759528573424,0,0,0,0,0,0,-0.065294350351847,0,0,0,0,-0.0274140934030256,0,0
X002129.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00570222447832485,0,0,0.11588316823805,0,0,0.101213467626184,0,0,0,0,0,0,0,0,0.345800304582973,0.158654906641419,0,0,0,-0.215762939931655,0,0,0.218891008233499,0,0,0.0481053914304663,0,0,0,0.0648500329073127,0,0,4.33680868994202e-19,0,0,0,0,0,0
