,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X600031.SH,X000338.SZ,X000568.SZ,X600741.SH,X002475.SZ,X601877.SH,X600703.SH,X600271.SH,X300003.SZ,X002236.SZ,X300124.SZ,X600498.SH,X000100.SZ,X600487.SH,X002008.SZ,X000625.SZ,X002007.SZ,X600809.SH,X000661.SZ,X300142.SZ,X000157.SZ,X600566.SH,X600867.SH,X000596.SZ,X600066.SH,X002179.SZ,X600177.SH,X600089.SH,X002506.SZ,X600522.SH,X300146.SZ,X002456.SZ,X002180.SZ,X600372.SH,X002241.SZ,X000977.SZ,X002294.SZ,X300136.SZ,X600183.SH,X600699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.387379681087235,0,0.0759968348438362,0,0,0.0707154141507724,0,0,0,0,0,0,0,0,0,-0.0747980112816044,0,0,0,0.0089623985084105,0,0,0,0,0,0,0,0,0.00098304791159939,0.445500397100829,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00849941101906457,0,0,0,0.0018482868663575,0,0,0,0,0,0,0
X600104.SH,0,0,0.0965372480749872,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.175833116479996,0.0441864521173674,0,0.0502847206017273,0,0,0,0,0,0.0352333950791583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097058126845431,0,0,0.346357605965966,0,0,-0.0345596646649678,0.0345697782702923,0,0,0,0.0430568463648437,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.0272210672454134,0,0,0,-0.0750179439206749,0,0,0.0453707464243511,0,0.638246207476854,0,0,0,0,0.160502424381769,0.132114235375041,0,0,0,-0.100084539374253,0,0,0,0,0,0,0,0,0,0,0,0,-0.0278121855758353,0,0,0,0.149241221078654,0,0.0478989572592224,0,0,0,0.0299346452021334,0,0.0578927249405522,0,0.102923373854075,0,0
X000651.SZ,0.0630242970436349,0,0,0,0.128895031677042,0,0,0,0.172351931281245,0,0,0,0,0.156231605550965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0771346321042329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185685775145087,0,0,0.00344011722421416,0.00036018232291515,0,0,0,0,0,0
X000858.SZ,0.217102672640969,0,0,0,0,0,0.204288682899659,0,0.143882227078044,0,0,0,0,0.0218423677815623,0.0100257500443133,0,0,-0.0321077508054964,0.0041598857054526,0,0,0,0,0,0,0,0,0.16546419446272,-0.0569519991611549,0,0,0,-0.0782337153507402,0.165544241984334,0.0895734653261056,0,0,0,0,0,0,0,0,0,0,0,0,0.0451205853588606,0,0,0,-0.00243011328549658,0.0318987280222482,0,0,0,0,0,0
X600276.SH,0,0,0.183714429913902,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0.0704066991403632,0,0,0,0,0.440340783424555,0,0,0,0,0,0,0,0,0,0,0.0170211297997099,0,0,0,0,0,0,0.198676872315247,0,0,0,0,0,0,0,0,0,0.0770781640197113,0,0,0,0,0.00216480892015308,0.0401230457886996,0,0,0,-0.0624948027962147,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.358174197733638,0,0,0,0,0,0.116943091481749,0,0,0,0,0,0,0,0,0.180127228758976,0,-0.122481298701408,0,0,0,0.404251320999493,-0.0253237097399718,0,0,0,0,0,0.0555335524040618,0,0,0,0,0,0,-0.0327545041432582,0,0,0,0,0.0126771862599943,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0.0563331164564787,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0877424120824275,0,0,0,0,0.0293882579861734,0,0,0,0,0,0,0,0,0.262612164191423,0,0.3281251982852,-0.0770085971240744,0.0934876044167974,0,0,0,0,0.154334917357504,0.0141013826560553,0,0,0,-0.00357797207462686,0.0179344550749835,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.0800728831761491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176432108632817,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194639830702009,0,0,0,0,0,0.134307935475872,-0.0232012777895657,0,0,0,0.434313103803417,0,-0.0251821638822982,0,0,0,-0.00791264046165653,-0.000956535054970768,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0963357222428782,0,0,0.057963069702689,0,3.46944695195361e-18,0.078360642104306,0.406017382047453,0,0.118015723128859,0,0,0,0,0,0.0237598748132847,0,0,0,0,0,0,0,0,0,0,0,0.065829770400131,0.025855945690442,0.28908264387048,0,0,0,0,0,0,0,0.0270204702439515,-0.0507649240513616,0,0,0,0.130619996067129,0,0
