,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X600276.SH,X000858.SZ,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X600031.SH,X000338.SZ,X000568.SZ,X600741.SH,X002475.SZ,X601877.SH,X600271.SH,X600703.SH,X000100.SZ,X002236.SZ,X300003.SZ,X300124.SZ,X000625.SZ,X600498.SH,X600487.SH,X002008.SZ,X600809.SH,X000661.SZ,X002007.SZ,X000157.SZ,X300142.SZ,X002179.SZ,X600089.SH,X600066.SH,X000596.SZ,X600177.SH,X002506.SZ,X600867.SH,X600522.SH,X600566.SH,X002180.SZ,X300146.SZ,X600372.SH,X002456.SZ,X002241.SZ,X600118.SH,X002294.SZ,X000977.SZ,X600183.SH,X002129.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.290201547926491,0.137585636277018,0,0,0.0312131132882467,0,0,0,0,0,0,0,0,0,-0.0605014052654655,0,-0.0392598492857769,0,0,0.0399388759108237,0,0,0,0,0,0,0,0,0,0.434401151364398,0,0,0.0513464530156737,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00376586568076706,0.0110759575591332,0,0,0,0.0183145654210425,0,0
X600104.SH,0,0,0.0604188358457051,0,0,0,0,0,0.057385916443898,0,0,0,0,0,0.051924159743179,0,-0.0442933706371052,0,0,6.93889390390723e-18,0.162428896038446,0,0,0.0448611204176245,0,0,0.0193948082508485,0,0,0,0,0,0,0,0,0,0,-0.113364157662936,0,0.236504674688253,0,0,0,0,0,0,0,0.0076204181914894,0.471920607987225,0,0,-0.0218165236808562,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0395625183625682,0,0,0,0,0.670974631133027,0,0,0.00294835147331267,0,0,0.0442914852554243,0,0,-0.0685178955117745,0,-0.110775471487744,0.0928520216661797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0695384129819008,0,0.288176694118441,0,-1.73472347597681e-18,-0.015475705911793,0.022868073700871,0,0,0,0.021809288881363,0,0
X000651.SZ,0.118956254265844,0,0,0,0.0649230256754227,0,0.130869507870125,0,0.235309778252873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0252163942988323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16413166725752,0,0,0,0,0,0,0,0.00947636769373215,0,0
X600276.SH,0,0,0.171486775840216,0,0,0,0.009564537724498,0,0,0,0,0,0,0.0961162370573502,0,0,0,0,0,0,0.435163050619497,0,0,0,0,0,0.0137902817212663,0,0,0,0,0,0,0,0,0.0410849740673778,0,0.0421411211746567,0,0,0,0.0326623028462675,0,0,0,0.231607779865062,0.0131742213144856,0,0,-0.0661442833094612,0,0.0116821803120751,0.0479385785254822,0,0,0,0,0,0
X000858.SZ,0.221035376814593,0,0,0,0,0,0.340185864763413,0,0.0911484825761563,0,0,0,0,0.0293051237260578,0.0503263884172882,0,-0.0111726697185745,0,0,0,-1.6940658945086e-21,0,0,0,0,0,0.148959565044858,-0.0493005035356791,0,0,0,0,0,0.126329958291456,0,0,0,-0.0625995648891654,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00317658952728161,0.0279779873992174,0,0,0,0,0,0
X002304.SZ,0.0772009292662256,0,0,0,0,0,0,0,0,-0.098234510858539,0,0,0.296337393633475,0,0,0,0,0,0,0,0.146257804205735,0,0,0,0,0,0.151109562740146,0,0,0,-0.120635547578103,0,0,-0.0883820794999734,0.477639556939403,0,0,-0.0204942285378243,0,0,0,0.0498159800277344,0,0,0,0,0,0,0,-0.0341291873843024,0,-0.00795008026659898,0.0182665652314915,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0.155965364135573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0331377810084779,0,0,0.0353797237261002,0,0.107313746356988,0,0,0,0,0,0,0,0,0.218771270491301,0.0253115145173305,0,-0.129970900635752,0,0.0872538261471928,0,0.165802157205104,0.206326418448428,0,0,0,0,0.00321156047632232,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0.210569835837989,0,0,0,0,0,0,0,-0.010650105232036,0,0,0,0,0,0,0.119269654034197,0,0,0,0,0,0,0,0,0,0.0421140333512924,0,0.127102876696356,0,0,0,0,0,0,0,0.00988162392197577,0,-0.0991546434021348,0,0,0,0.446173847469139,0,0,0,-0.0108430842838758,-0.024545568613249,0,0,0,-0.020717029962474,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179178290361516,0,0.402241455180183,0.120488677992182,0,0,0,0,0,0.0744278825822989,0,0,0,0,0,0,0,0.0553702258407761,0,0,0,0,0.024873991710848,0,0,0,0.125966048021408,0,0,0,0.0260566619016416,-0.013532087198336,0,0,0,0.161114148855295,0,0
X600031.SH,0,0,0.15509209637164,0,0,0,0,0.0960137218764055,0,0,0,0,0,0.465588905534515,-0.118490323573101,0,0,0,0,0.0313907704921558,0,0,0,0,0,0,0,0,0,0,0.223378849183817,-0.0396615675712486,0,0,0,0,0,0,0,0.0918824145860235,0,0,0.163665845418971,0,0,0,0,0,0,0.00646005076081384,0,-0.00421170830954674,0.00908500735915038,0,0,0,0,0,0
