,X600104.SH,X600519.SH,X000651.SZ,X002415.SZ,X000725.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X000063.SZ,X600276.SH,X600031.SH,X600690.SH,X000338.SZ,X600372.SH,X000157.SZ,X002241.SZ,X600741.SH,X600703.SH,X600066.SH,X600089.SH,X000100.SZ,X600271.SH,X601877.SH,X600118.SH,X000550.SZ,X002236.SZ,X000581.SZ,X600582.SH,X002475.SZ,X000800.SZ,X000623.SZ,X600177.SH,X000568.SZ,X300124.SZ,X000977.SZ,X000559.SZ,X002294.SZ,X000050.SZ,X002129.SZ,X000400.SZ,X600839.SH,X002292.SZ,X000869.SZ,X002465.SZ,X002456.SZ,X300003.SZ,X002007.SZ,X600312.SH,X600060.SH,X300146.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0.16845523507467,0,0,0,0,0.0889981077216968,0,0,0,0,0,0.588860776885665,0,0.0433536821478345,0,0,0,0,0,0,0,0,0,0,0.0270931479361565,0.0397381583195674,0,0,0,0,0,0,0,-0.0201724309121381,0,0.120119128336014,0,0,0,0,-0.0614822159415248,0,0.135247049503222,0,0,0,0,0.00391942205096656,-0.126891859638162,0,0,0,0,0
X600519.SH,0,0,0,0,0,-0.01735785298043,0.0327476142487329,0.0107845166306137,0,0,0,0.194318201128442,0,0,0,0,0,0,0,0,0,0,0.0249627126595147,0,0,0,0,0,-0.0481880387281322,0,0,0.0944876281547628,0,0,0,0,0,0,0,0,0,0,0.197106300408117,0,0,0,0,0,0,0,0,0,-0.00181445457740063,0,-0.017896433641247,0,0,0,0
X000651.SZ,0,0,0,0,0.233084044131715,0.0995584536256809,0,0,0,0,0,0.0247003080926205,0.0104448522921208,0,0,0,0,0,0,0,0,0.05588352462594,0,0,0,0,0,0,0,0.0942749923669005,0,0,0,0.0302229973897673,0,0,0,0,0,0,0,0,0,0,0,0,0.167241361293382,0,0,0.0488048158025625,0,-0.0382414696127103,-0.0265327072432112,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.203910024857173,0.0720768416845262,0,0,0,0,0.11472868616728,0,0,0,0,0,0,0.0328587352989767,0,0,0,0,0,0.0294157791484465,0.301521383322525,0,0,0,0,0,-0.0224012544097139,0,0,0,0,0,0.0180293111861669,0,0.109562140631296,0,0,0,0,0,0,0,0,0,0,0,0,-0.00384473686334063,0,0,0,0,0,0
X000725.SZ,0,0,0.0473319356691958,0,0,0,0,0.177108376671833,0,0,0,0,0,0.11784685300112,0.0766199400045758,0,0,0,0,0,0.0440511081392159,0.0461303304281903,0,0.0890560093158755,0,0,0,0,0,0.0960235906717406,0.147236304182683,0,0.112347462695673,0,0,0,0,0,0,0,0.0742787696581715,0,0,0.0667784269611175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000625.SZ,0.32149706724469,0,0.0030007658060841,0,0,0,0.121068862338469,0,0.253331977985483,0,0,0,0,0,0,0,0.134297298442694,-0.0451564062690257,0,0,0,0,0,0.00873901847093035,0,0,0,0,0,0,0.0666507508034162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115262121308421,0,0,0,0,0,0.000313940210542832,-0.0257270496817724,0.175815572977174,0,0,0,0
X002304.SZ,0.0622332026773126,0,0,1.73472347597681e-18,0,0,0,0.510295863179793,0,0.16469977594157,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0129588087361514,0,0,0.0350177807983895,0,0,0,-0.0134425181754717,0,0,-0.0342488127794357,0,0,0,0,0,0,0,0,0.141477595258603,0,-0.0396492422175408,0,0,0,0,0,0,4.33680868994202e-19,-0.00337329921896557,0,0,0,0,0,0
X000858.SZ,0.0298922850030234,0,0,0,0,0,0.0629611365363034,0,0.121851731857924,0,0.0307963119263479,0.088414830845692,0.250906752486243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048573694531669,0,-0.0074729752394368,0,0,0,0,0,0.0246043900444846,0,0.0470848775335817,0,0,0,0,0,0,0,0,-0.00641305465280044,-0.0179203382444292,0,0,0,0,0,0
X000063.SZ,0,0,0,-0.0661342925162505,0,0,0,0,0,0,0.0360632015083484,0,0.122221389254692,0,0.136469569044359,0,0.0420811007851621,0.0783445068518148,0,0,0,0,0,0,0,0,0.0544085867020665,0,0,0.00771425767041727,0,0.208109852603376,0,0.0672495110099401,-0.023264875831596,0,0,0,0,0,0,0,0,0.0652314586013921,0,0,0,0,0,0,0,0,-0.00944168295492781,0,0,0,0,0,0
X600276.SH,0,0,0,0.0579383793677382,0,0,0.0416715763286412,0,-0.00714174279896502,0,0,0,0,0,0,0,0,0.194993842093116,0.217293915328778,0,0,-1.0842021724855e-19,0,0,0,0,0,0.0249988633656648,0,0,-0.0417963286444987,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0297784515646574,0,0,0,0,0,0,-0.0232851196327745,0.00912869022287015,0,0,0,0.0290429002452314,0,0
