,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X002292.SZ,X600690.SH,X600703.SH,X600741.SH,X000100.SZ,X600031.SH,X600066.SH,X600118.SH,X002506.SZ,X002236.SZ,X002241.SZ,X000559.SZ,X002475.SZ,X000157.SZ,X600372.SH,X000568.SZ,X600177.SH,X002085.SZ,X300003.SZ,X000338.SZ,X002074.SZ,X300124.SZ,X002294.SZ,X600089.SH,X002465.SZ,X600867.SH,X002456.SZ,X601877.SH,X000050.SZ,X002049.SZ,X600498.SH,X002426.SZ,X002007.SZ,X000977.SZ,X000869.SZ,X002180.SZ,X300001.SZ,X000981.SZ,X002512.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.00150499038508745,0.115331015593154,0,0,0.372022697647276,0,0,0.0421810073723348,0,-0.0296187444148398,0,0,0,0,0,0,0,0,0,0,0,0.031013362942993,0,0,0,0,0,-0.0760115314139578,0,0,0,0,0,-0.0271485464318382,0,0,0,0,0,0.00636991520572696,1.38777878078145e-17,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.0771829977879236,0,0,0,0,0,0
X600104.SH,0,0,0.150023997775551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118107154969597,0,0,0,0,0,0,0,0,0.0339890111754614,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.163579873142401,0.0558900103376061,0,0,0,0.0112107447707991,0,0,0,0,0,0,0
X002415.SZ,0,0.0118377514094193,0,0,0,0,0,0,0,0,0,0,0,0,0.197378945627796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198349828163351,0,0,0,0,0.0135341521502806,0,0,0.100007858898843,0,0,0,0,0.0664819587261712,0.101106903815782,0,0,0,0,0,0.0502014221450719,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.155262272378068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073809571662286,0,0,0,-0.0462508914079473,0.108622370631544,0,0,0,0,0,0,0,0.049634130379247,0,0.253579674201482,0.110137704783228,0,0.0466490946795625,0,0.0177461386466066,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.0949742943910748,0,0,0.150714789657115,0,0,0,0,0,0,0,0,0,0.0489552322217124,0,0,0,0,-0.0794230538412933,0,0.44609953878021,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,1.38777878078145e-17,0.01756700883065,0.105092119583069,0,0,0,0,0.0643177380827614,0,0,0,0,0.023774548469283,-0.02048733080626,0,0,0,0,0,0
X002304.SZ,0,0,0.0185105439685758,0,0,0,0,0,0,0.0555491626332735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190215823155158,0,0.152528368917033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090957497050638,0.0935405493705424,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,-0.00973554159638629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338621139733824,0,0,0,0.0152790048518035,0,0,0,0,0,0.00224029057196532,0,0,0,0.029408906124585,0,0.056697981850122,0,0,0,0,0,-0.0312197538969716,0,-0.0195420901539829,0.0440116106448184,-8.67361737988404e-19,-0.0129163471332503,0,0,0,0
X000725.SZ,0,0,0.0413070946044764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0450237097917322,0.0712405515515206,0,0.130215121560126,0,0,0,0,0.0311637193034551,0,0,0,0.0622252393393563,0.0242926307297473,0,0.334857547866761,0,0,0.0443684117979478,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00255104649053167,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0.205442178248211,0,0,0,0,0,0.0509761569272209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0667956655414486,0,0,0,0,0,0,0,0,0.00317274494688537,0.0104087541210535,0,0.13536711063611,0,0,0,0.179506664473608,0,0,-1.73472347597681e-18,0.0635042334481322,0,0.10088537218783,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0.0778807731379847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.412685950729167,0.0147336384987618,0,0.0536116496910997,0,0,0,0,0,0.0279795940211362,0.0769927121917908,0,0,0,0,0,0.0601006043682405,0,0,0.082559447891498,0.0438897879415164,0,0,0,-0.0130560786873519,0,0,0,0,0,0,0
X002292.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134027022394122,0,-0.0802855043164157,0,0,0,-0.0719265502831037,0,0.197225203763161,0.0431661509249108,0,0,0,0.204120453059157,0,0,0.000898643111951081,0.265423497027689,-0.116477656013347,0,0,0,0,0,0.0805429240661913,0.472424432603482,0,0,0,0.0463721288184941,0,0,0,0,0,0,0
X600690.SH,-0.0839373731900546,0,0,-0.0935604595343239,0,0,0,0,0,0,0,0,0.216968504226073,0,0,0.265897036392028,0,0,0,0,0,-0.0337836128053615,0,0.109115292027801,0,0,0,0,0,0,0.093255438884985,0,0,0,0.361071617482939,0,0,-0.389799868919384,0,0,0,0,0,0,0,-0.0921070686774953,0.114417018598,0,-0.0285396210574476,0,0.084718611573007,-0.304605320168946,0,0,0,0,0,0
