,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600276.SH,X600809.SH,X002475.SZ,X600690.SH,X000651.SZ,X002304.SZ,X600104.SH,X300124.SZ,X000625.SZ,X003816.SZ,X000725.SZ,X000596.SZ,X002371.SZ,X000063.SZ,X600031.SH,X000338.SZ,X300014.SZ,X002179.SZ,X002129.SZ,X600703.SH,X000100.SZ,X600089.SH,X002236.SZ,X600372.SH,X002049.SZ,X000661.SZ,X002241.SZ,X000157.SZ,X600741.SH,X600584.SH,X601877.SH,X600522.SH,X000977.SZ,X002007.SZ,X000800.SZ,X601799.SH,X600183.SH,X002074.SZ,X600418.SH,X600702.SH,X002028.SZ,X300142.SZ,X002463.SZ,X000733.SZ,X002294.SZ,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0144244376971277,0,0,0,0.171881683234367,0,0.0158117522003282,0,0.0414942073326032,0.282270749815101,0,0,0,0,0,0,0,0,0,0.0865016565815947,0.232179531965672,0,0,0,0,0,0,-0.119165634645535,0,0,0,0,0,0,0,0,0,0,0.0330591143345901,0,0,0.0325462087163846,0,0.403869965624577,0,0,0,0,0,-0.103113266210644,0.0129137762780858,0,0,0,0,0,0,0
X000858.SZ,0.188902964812952,0,0,0,0,0,0,0,0,0,0,0,0.160516287126136,0,0,0,0,-0.0393504901597618,0,0,0,0,0,0,0,0,-0.0245760761562932,0,-0.0539315051210742,0,0,0,0,0,0,0,0.110470074478138,0,0,-0.126687273421115,0,0,0,0.171216745730881,0.0460240209858114,0.0766596444949611,0,0,0.145452343386681,0,0,-0.0117463665104197,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,-0.0116455362144857,0,0,0,0,0,0,0,0,0,0,0,0.0699345984105956,0,0,0,0,0,0.11557056248141,0,0,0,0.144465615924932,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0.113193773555877,0,0,0,0,0,0.0611477857293756,0,0,0,0,0,-0.0768751743887346,0,0,-0.00376774462851732,-0.010612898295775,0,0,0,0,0,0
X000568.SZ,0.385056102573957,0,0,0,0.0214767766089116,0.298011774248574,0.00780761439820738,0.00590581707410486,0.0258435021555201,0,0,0,0,0,0,0.226815210806635,0,0.0213605596309621,0,0,0,0,0,0,0,0,0,0,0,0.0749791340551276,0,0,0,0,0,0,0,0,0,-0.0483979974500981,0,0,0,0,0,0,0.0252961468812888,0,0,0,0,0.0200888886587825,-4.33680868994202e-19,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,-0.0932013351000976,0,0,-0.237766290751266,0,0,0,-0.289936239479371,0,0,0,0,0.0966825208923058,0.198746362495336,-0.106828292819885,0,0,-0.0702430960022603,0,0,0.409574042431797,0,0,0,0,0,0,0.0958243692608319,0,0,0,0,0,0,0,0,0,0,0,0.497033454159682,0,0,-0.0194702250511053,0,0,0,0,0,0,0
X600809.SH,0.0713397002175982,0,0,0.623877785450987,0,0,0,0,0,0,0,0.0114774076456626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102523354141874,0,-0.00555546506077792,0.0555301581423715,0,0,0,0,0,-0.168766417980019,-0.035881462654823,0,0,0,0,0,0,0,0,0,0,0,0,-0.0258869307561901,0,0.0151876072182545,-0.0235089968816941,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0.206028754620493,0,0,0,0,0,0,0,0,0,0,0,0.220020804470804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0526733687269131,0,0,0,-0.038542643878043,0,0,0.104874406825782,0,0,0,0.298168402812293,0.14702289712793,0.148356624961243,0,0,-0.131215725596343,0.192855719627838,0,0,0,0,0,0
X600690.SH,0.106607942717073,0,0,0,0,0,0,0,0,0,0,0.0384418728820675,0.0219827973756664,0,0,0,0,0,0.143225620207666,0.0560177427845904,0.0432337062114256,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0313834521679219,0,0,0,0,0.0483696306886293,0,0,0,0,-0.00821153356315136,0.0157671884708254,0,0,0,0,0,0
X000651.SZ,0,0,-0.141768700460097,0,0,0,0.0729079788020478,0,0,0,0,0.217321578223808,0,0.0206128904959849,0,0,0,0,0.333350556021242,0,0,0,0.0405766840239703,-0.0647857965894252,0,0,-0.0669196632302777,0,-0.105620201219163,0,0,0,0,0,0,0.0717208368874735,0,0,0,0,0,0,0,-0.0421639814758125,0,0.101556555421612,0,0,0,0,0,0.0143816495831775,-0.0438176170660555,0,0,0,0,0,0
X002304.SZ,0,0,0,0.234508545800067,0,-1.38777878078145e-17,0,0,0,0,0,0,0.25748506826498,0,0,0,0,0.102272106738094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0406436363038568,0,0,0,0,0,0,-0.0578226230504007,0,-0.0652770696376745,0.19766773674349,0,0,0,0,0,0,0,0.0331007167956652,-0.0609239337627257,-0.0618785029838951,0,0,0,0,0
