,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X000568.SZ,X002304.SZ,X600690.SH,X600276.SH,X002475.SZ,X000651.SZ,X300014.SZ,X300124.SZ,X600104.SH,X000596.SZ,X600031.SH,X003816.SZ,X000725.SZ,X000625.SZ,X002371.SZ,X000063.SZ,X002129.SZ,X002049.SZ,X000338.SZ,X002179.SZ,X600703.SH,X600089.SH,X002180.SZ,X000661.SZ,X000100.SZ,X300142.SZ,X002241.SZ,X601877.SH,X000733.SZ,X600741.SH,X002074.SZ,X600702.SH,X600522.SH,X600460.SH,X000157.SZ,X000799.SZ,X600584.SH,X300003.SZ,X600884.SH,X002007.SZ,X600779.SH,X600487.SH,X300146.SZ,X601799.SH,X000800.SZ,X002414.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.162805820633915,0.148783318442811,0,0.180167290216846,0,0,0,0,0,0.151012620215562,0,0,0,0,0,0,0,0,0,0,-0.0271882032662085,0,0,0,0,0,0,0,0,0,0,-0.0968585218066988,0,0,0.0598688108393087,0,0,0,0,0,0,0,0.000359652116424781,0.060183771811104,0,0,0,0,0,0,-0.0244650036800585,0.00534775885384585,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.553504813830431,0,0,0,0,0,-0.0323062847792578,0,0,0,0.0739035537536941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.067610589006194,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0626396224960568,0,0.0278391270593981,0,0,-0.017297909477977,-0.0231805536127333,0,0,0,0,0,0
X600809.SH,0.212316913277192,0,0,0,0.338858476431582,0,0,0,0,0,0.023603867706098,0,0,0,0,0,0,0,0,0,0,-0.0394583223542212,0,-0.0373864780406718,0,0,0,0,0,0,0,0,-0.153130881288222,0,0,0.0188877170305081,0,-0.0322373595447627,0,0.0279989168760377,0,0.0303471557995875,0,0,0.312440884367058,0,0,0,-0.016459009787787,0,0,0.00274221420295518,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.0654428152271519,0,0,0.0102192643856938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0298168071808598,0,0,0,0,0,0.147308814150918,0,0,0,0,0,0,0.0924402419003243,0,0.021854298820504,0,0,0,0.108561185839143,0,0,0.0453685112229059,0.101690681790304,0,0.0725728173323542,0,0,-0.0060526188503495,0,0,0,0,0,0
X000568.SZ,0.594463632176197,0.0816456160797191,0.387266442164559,0,0,0,0,0,0,0,0,0,0,0.293424614902178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022808617236976,0.0455627977710776,0,0,0,0,0.070568669373676,0,0,2.77555756156289e-17,0,-0.0569263350171331,0,0,0,0,0,0,0,0,0,-0.00398103648382658,0.050825701322989,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.413256848586074,0,0.0447912541544457,0,0.180014495517299,0,0,0.00729082930035196,0,0.0455565115465516,0,0,0,0.019666699171055,0,0,0,0,0,0,0,0,0,0,0,-0.060759543642577,0,0,0,0,0,0.0393475007030564,-0.0771056853564116,0,0,0,0,0,0,0,0,0,0.115410642554717,3.46944695195361e-18,0,0,0,-0.00609671840765716,4.33680868994202e-19,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.231893459497056,0,0,0,0,0.1971436476889,-0.0816068912184927,0,0,0,0.0657229185755077,0,0,0,0,0,0.135872124341242,0,0.0553706315587219,0,0,0,-0.066980471755544,0,0.025765746082043,5.09902367148012e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0640230193126712,0,0,0,-0.0107777249379936,-0.040662110615174,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113690729330788,0,0,0,0,0.0121261013803408,0.188372116270495,0,0.0296649703583426,0,-0.217316587687365,0.00944518161015932,0.162572281502911,0,0,-0.170780471396195,0.022499318142046,0,0,0,0,0,0,0.160169173677905,0,0,0,0,0,0,0.0100409765372123,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0.0835483278760757,0,0,0,0,0,0,0,0.188433633142324,0,0.081098167360299,0,0,0,0,0,0,0,0.0275043752217587,0.0137179240495363,0.171789135991544,0,0,0,0.0477840462651004,0,0,0,0,0,0,0,0,0,0,0,0,0.0251193946207622,0,0,0,-0.00884486475390361,-0.0113859054274079,0,0,0,0,0,0
X000651.SZ,0,0.0635271710791057,-0.0937001004000183,0,0,0,0.280407532086585,0,0,0,-0.143958171860786,0,0,0,0.315112737485482,0,0,0,0,0,0,0,0,0,0,0,0,0.00122265154484181,0.0146246882518878,0,0,0,-0.145408552622886,0,-0.0109502345219951,0,0.018707620210497,0,0,0,0,0,0,0.130933576635032,0,0,0,0,0,0,0,-0.00370915756131335,0.0141708875290175,0,0,0,0,0,0
