,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X002292.SZ,X600690.SH,X600703.SH,X600741.SH,X000100.SZ,X600031.SH,X600066.SH,X002506.SZ,X600118.SH,X002236.SZ,X002241.SZ,X000559.SZ,X002475.SZ,X000157.SZ,X000568.SZ,X600372.SH,X600177.SH,X002085.SZ,X002074.SZ,X300003.SZ,X000338.SZ,X300124.SZ,X002294.SZ,X600089.SH,X002465.SZ,X600867.SH,X002456.SZ,X601877.SH,X600498.SH,X002007.SZ,X002049.SZ,X000977.SZ,X002426.SZ,X300001.SZ,X000869.SZ,X002180.SZ,X000981.SZ,X002512.SZ,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0073384770697615,0.165548105454241,0,0,0.341979291157834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0430852416533924,0,0,0,0,0,0,0,0,-0.0628850293621742,0,0,-0.0753363077161991,0,0,0,0.0341978477942552,0,0,0,0,0,0.0355393285656195,0,0,0,0,0,2.16840434497101e-19,0.0148888842575675,0,-4.33680868994202e-19,0,0,0,0
X600104.SH,0.0128853542560376,0,0.146677026730952,0.116030878356567,0,0,0,0,0.0130638839216329,0,0,0,0,0.3038291153469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0869525665947304,0,0,0,0,-0.00671517012867935,-0.00216665402015045,0,0,0,0,0,0
X002415.SZ,0,0.0216657646167866,0,0,0,0,0,0,0,0,0,0,0,0,0.206870571317762,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182001781855552,0,0,0,0,0,0,0,0.0307506964305194,1.73472347597681e-18,0,0,0,0.0591866983814154,0,0,0.112965244646696,-8.67361737988404e-19,0,0,0.0867533763493394,0,0.0492910065636127,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.364905269899145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0357081844152087,0,0,0,0,0,-0.0112747794980125,0,0,0,0,0,0,0,0,0.076984913162289,0,0.258738186004662,0,0.0532533392021604,0,0,0.0470093579656005,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.124928734092644,0,0,0.17566695157191,0,0,0,0,0,0,0,0,0.0210607416869151,0,0,0,0.0711881989137326,0,-0.0922956378945473,0.356360598647362,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,3.46944695195361e-18,0.100472883729466,0,0,0,0,0,0,0.0565164371357571,0,0,0,0,0.0205011332115673,-0.0292592490862923,0,0,0,0,0,0
X002304.SZ,0,0,0.00142926624757793,0,0,0,0,0,0,0.103793655919683,0,0,0,0,0,0,0,0,0,0,0.0777260902200727,0,0,0,0,0,0,0,0,0.201203348555759,0,0,0,0,0,0,-6.93889390390723e-18,0,0.0163656275942299,0,0,0,0,0.0693218361484536,0,0.127739234316723,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0.0134716360107556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256376918572444,0,0.0566728370654436,0,0,0,0,0,0,0,0,6.93889390390723e-18,0.0574877912689802,0,0,0,0,0,0,0,0,0,0,0,-0.00923082941269979,0,0,0,0,0,0,0
X000725.SZ,0,0,0.112892902444075,0,0,0,0,0,0,0,0.00464078882556309,0,0,0,0,0,0,0,0,0.0938973101967853,0,0.100271654398559,0,0,0,0,0.149006289354219,0,0.0283166210614617,0,0,0.086080862243515,0,0.168978045403695,0,0,0.037813399565832,0,0.0235270991029136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0.116984797723515,0,0,0,0,0,0.0243610809124405,0,0,0,0,0,0,0,0,0,0,0.0121788450771143,0,0,0,0,0,0.285937558555093,0,0,0,0,0,0,0,0,0,0.0263433426684364,0,0,0.175751768918067,0,0,0,0.0879460488194473,0,0,0,0.0879997472648977,0,0,0,-0.0113660780679657,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0.0513248175377227,0,0,0,0,0,0,0,0,0,0,0,0,0.0401765145757716,0,0,0,0,0.436420799780601,0.025941629070185,0,0,0,0,0,0,0,0.0134861144590044,0.0712292644710749,0,0,0.0692391807026072,0,0,0,0.0463141314749734,0,0.0750837248699037,0,0,0,0,-0.0120843601903472,0,0,0,0,0,0,0
