,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X600276.SH,X002304.SZ,X600690.SH,X002475.SZ,X000651.SZ,X300014.SZ,X300124.SZ,X600104.SH,X000596.SZ,X600031.SH,X003816.SZ,X000725.SZ,X000063.SZ,X000625.SZ,X002129.SZ,X002371.SZ,X002049.SZ,X002179.SZ,X000338.SZ,X600703.SH,X600089.SH,X000661.SZ,X002180.SZ,X000100.SZ,X300142.SZ,X002241.SZ,X000733.SZ,X601877.SH,X600522.SH,X600702.SH,X600741.SH,X002074.SZ,X000157.SZ,X000799.SZ,X600460.SH,X300003.SZ,X600584.SH,X002007.SZ,X600779.SH,X600884.SH,X300146.SZ,X600487.SH,X002294.SZ,X601799.SH,X002414.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.160563803762999,0.119147834550064,0.143104874914237,0,0,0,0.174757991513732,0,0,0.0135427625356126,0,0,0,0,0,0,0,0,0,0,-0.0682502530650086,0,0.016963489777511,0.0599352895012029,0,0,0,0,0,0,-0.0329790058992825,0,0,0.100515541837222,0,0,0,0.0632853295688811,0,0,0,0,0,0,0,0,0.0435380138046604,0,0,0,-0.0314752607160083,0.00955472775862012,0,0,0,0,0,0
X000858.SZ,0,0,0.19322403782457,0.408742695105802,0,0,0,0,-0.0231324252510323,0,-0.0464307904521351,0,0,0,0.190263543943868,0,0,0,0,0,0.00314826486459262,0,0,0,0,0,0,0,0,0,-0.00288814294482257,0,0,0,0,0,0,0,0.00778726958443878,0,0,0,-0.0356686514290592,0.0386450114867151,0,0,0,0,0,0,0,-0.00551776150601568,0,0,0,0,0,0,0
X600809.SH,0.236690587801254,0,0,0.364469300667484,0,0,0,0,0,0,0.06422759730396,0,0,0.0116607689859061,0.105527821381798,0,0,0,0,0,0,-0.0563585951781658,0,0,0,0,0,-0.00673953656467363,0,0.0532296686187657,0,-0.123660264732796,0,0,0.0764134303419587,0,0,0,0,-0.0170448241860248,0,0,0,0.150884644854029,0,0,-0.00790908448999582,0,0,0,0,1.35525271560688e-20,0,0,0,0,0,0,0
X000568.SZ,0.192624145149467,0.213816055298375,0.379765829343141,0,0,0,0,0,0,0,0,0,0,0.223594089507998,0,0,0,0,0,0,-0.0408605118818711,0,0,0,0,0,0,0,0,0,0,0,0.0609138197058156,0.102763741780273,0,0,0,0,0.13132162230697,0,0,-0.0015268854320971,-0.0461027963374778,0.146859869048175,0,0,0,0,0,0,0,-0.0120746862016808,0.0126798913626311,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0919113366760169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0596492191428357,0,0,0,0,0,0.0473902921085883,0,0,0,0,0,0,0,0,0,0,0,0.00389295424443859,0.175169434012642,0,0,0,0.0769674699892025,0.0415666435005448,0.162820501049566,0,-0.00476186413336106,0,0,0,0,0,0,0
X600276.SH,0,0,0,0.00540068015075151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259909656582371,0,-0.0379946577741153,-0.0207774607685878,0.0359200712351431,0,-0.223984392243937,-0.0631353844658742,0,0.353148872249713,0,-0.00103662842289222,0,6.93889390390723e-18,0.0253744665469208,0,0,0.0355673080885726,0,0,-0.0749898275632769,0.174882937009405,0,0,0,0,0.0274062531671412,0,0,0,0,0,0
X002304.SZ,0,0,0,0.494933572402892,0,0,0,0,0.147045148972498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0412774187007438,-0.018853523139844,0,0,-0.0754313550518221,0.0176222922068008,0,0,0,0,0,0,0,0,0.025445701045266,0,0.0906766559103115,-0.00979754837606448,0,0,0,0,-0.00887824648692052,0.00191388657546839,0,0,0,0,0,0
X600690.SH,0.0550055911467813,0,0,0,0,0,0.255696596674202,0,0.00408950274862202,0.594313841375181,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0.127681673807324,0,0,0,0,0.0321528930745497,0,0,0,0,0,-0.0810710456667733,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132173405584754,0,0,-0.0150186499066746,-0.00733438333058744,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0.270589122439997,0.108241912303877,0,0,0,0,0,-0.0649546016858508,0,0,0.102276168334995,0,0,0,1.38777878078145e-17,0,0,0,0,0,0.250882063282334,0.131291650219708,0.296967363728244,0,0.0216984687420696,0.135989231417713,0,0,0,0,0,0,0,0,0.102093240065477,0,0,0,0,0,0,-0.00880931328812186,-0.125325710475454,0,0,0,0,0,0
X000651.SZ,0,0,0,0.0106267179580185,0,-0.036995091758706,0,0.216432570325967,0,0,0,0,0,0,0,0,0,0,0,0.0266528377006235,-0.0232611139741602,0,0,0,0,0,0.212822779264067,-0.231048102354856,0,0,0,0,0,0.010270874931139,0.0593379573867007,0,0,0,0,0,0,0,0.0679540760889701,0,0,0,0,0,0,0,0,-0.0017784578761294,0.00087259238498263,0,0,0,0,0,0
