,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600031.SH,X000568.SZ,X600741.SH,X002241.SZ,X000338.SZ,X002475.SZ,X000100.SZ,X600066.SH,X002236.SZ,X600118.SH,X600271.SH,X002456.SZ,X601877.SH,X000157.SZ,X300124.SZ,X600177.SH,X600372.SH,X600522.SH,X600089.SH,X002085.SZ,X002007.SZ,X002508.SZ,X000981.SZ,X300003.SZ,X002294.SZ,X000066.SZ,X600699.SH,X600867.SH,X000559.SZ,X002292.SZ,X002180.SZ,X000623.SZ,X300136.SZ,X600498.SH,X002074.SZ,X002426.SZ,X000596.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.0513446126416509,0,0,0,0,0,0.0424989065530673,0,0,0,0.189432092201594,0,0,0,0,0,0,0.211072333269548,0,0,-0.0502916294762903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0292517153730561,0.0399420452916534,0.0477437003364915,0,0,0,0.0435547936040697,0,-0.00192949649634808,0.00149484672008957,0,0,0,0,0,0
X600104.SH,0,0,-0.134668020767404,0,0,-0.0753319951280287,0,-0.0734551190554174,0,0,0,0,0,0,0.753899346162032,0,0,0,0,0,0,0,0,0.152148342421679,0,0,0,0,0,0,0,0,0,0.107254892177368,0,0,0,-0.101295769921106,-0.0583783182932576,0,0,0,0,0,-0.133154018199703,0.0350630229726399,-0.111406068306607,0,0,-0.0641503735729335,-0.000293513808656281,0.00352777456429428,0,0,0,0,0,0
X002415.SZ,0,0,0,0.171562928463513,0,0,0,0.0205509783370589,0,0,0,0,0,0,0,0,0.0243192486622728,0,0,0,0.155193578225698,0.0054462088308155,0,0,0,0,0,0,0,0,0,0,0,-0.063986625641677,-0.14857998300231,6.93889390390723e-18,0,-0.0529607170497976,0,0,0,0.161624115244157,0.10350328493172,0,0,0,-4.33680868994202e-19,0,0,0,-0.00984026763150569,0.0060095280476282,0,0,0,0,0,0
X000651.SZ,0,0.190256503271012,0.431479082831802,0,0,0,0,0,0,0.392273989705435,0.510420623674903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42139305423865,0,0,0,0,0,0,0,0,0,-0.101124135373378,0,0,-0.198255183537697,0,0,0,0.185602629860044,0.299768801216159,-0.192986058089822,0.0753900100752481,0,0,-0.178399026012213,0,0.00680138191343228,0.00805888158813765,0,0,0,0,0,0
X000858.SZ,0,0,0,0.186719258691693,0,0,0,0,0.140495025899682,0,0,0,0.0838152108807232,0.238836654582672,0,0,0,0,0,0.158515314962736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0320426327272209,0,0,0,0,0,0,-0.038726251838204,0,0,0.0470611328214259,0,0,0,0.0620098560793133,0,0.00476871216344394,0,0,0,0,0,0,0
X002304.SZ,0,0.26112626663601,0,0,0,0,0,0,0,0.174759067434598,0,0,0.00887035510016198,0.157293687932269,0,0,0,0,0,0,0,0,0,0.110422325357042,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0365472391572089,0,0.0387736489798164,0,0,0,0,0,0,0,0,0.203882891606649,-0.0603681298880366,0,0.000544411467774353,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.0347910027411452,0,0,0,0.193317139579729,0,0,-0.0207153108359605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0476679075823323,0,0,0,0,0,0,-0.0147564963186965,0,0,0,0,-0.116418708362709,0.0233897954485753,-0.00396110418880485,0,0,0,0,0,0
X000725.SZ,0,0,0,0.0596830705417246,0,0,0,0,0,0.0872093216769504,0,0,-0.0315982800277798,0.33043412101143,0,0,0,-0.54013375146294,0,0,0,0,0,0,0.112950791062206,0,0,0,0,0,0,0,0,0,0,0,0,-0.000685491495224285,-0.16118699207488,0,0,0.204598910958505,0,0,0,0,0,0,0,0,0,-0.0169511783269942,0,0,0,0,0,0
X000625.SZ,0.0702123365534098,0,0,0.0521330341674557,0,0,0,0,0,0,0,0,0.109045855899119,0,0.489065019767787,0,0,0,0,0,0,0.0760249719799083,0,-0.0541991488381346,0,0,0,0,0.0708149930087869,0,0,0,0,-0.0654010065981678,0,0,0,0,0,0,0,0,0,0.0514375972305996,0,0,0,0,0,0,-0.00337734437744743,-0.000833838368400607,0,0,0,0,0,0
X000063.SZ,0.0771081449382387,0,0,0.294021686751848,0,0,0,0,0,0,0,0,0,0,0,0,0.029383948897918,0,0,0,0,-0.217204336061454,0,0,0,0,0,0,-0.143980074658773,0,0,0,0.0221775948489103,0,0.192908271501924,0,0,0,0.195457004203487,0,0,0,0,0,0,0,0.0433460642553132,0,0.124678580054211,0,0.00233415236138204,0.00299244155023536,0,0,0,0,0,0
