,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600690.SH,X000568.SZ,X600703.SH,X600741.SH,X600031.SH,X000338.SZ,X002475.SZ,X002236.SZ,X000625.SZ,X600809.SH,X002008.SZ,X600487.SH,X601877.SH,X000100.SZ,X002456.SZ,X002241.SZ,X600066.SH,X002508.SZ,X300003.SZ,X300124.SZ,X600867.SH,X002294.SZ,X300136.SZ,X600522.SH,X600271.SH,X000596.SZ,X600089.SH,X000157.SZ,X600177.SH,X002085.SZ,X000981.SZ,X600566.SH,X000661.SZ,X600498.SH,X600699.SH,X002179.SZ,X600118.SH,X300142.SZ,X002180.SZ,X002129.SZ,X000559.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,-0.180343373404458,0,0.591871116461164,0,-0.0191614099802154,0.233842968144519,0.0798460108451943,0,0,0,0,0,0,0,0,-0.0842904699692182,0,0,0,0,0,0,0,-0.0219700701853682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0339229240436842,0,0.160169359087102,0,0.0211400888432276,0,0,0,0,0,-0.0159499866056539,0.0263401068149956,0.133088970428388,0,0,0,0,0
X600104.SH,0,0,0,0,0.131762212327575,0,0,0,0,0,0,0,0.162622959885325,0,0,0.0191643659796586,0,0,0.00157129957540024,0,0,0,0.016619933639783,0,0,0,0,0,0,0,0,0.0893551141666067,0,0,0,0,0,0,0,0,0,0.0534469946474593,0,0,0,0,0.125674050164673,0.149670882460601,0,0,0,-0.0313678413238456,0.0422908091772393,0,0,0,0,0,0
X002415.SZ,0,0.0357797936847375,0,0,0,0,0,0,0,0,0,0.124838112541815,0.0527431035527119,0.0358671246893935,0.0307618700070058,0,0.021451673205057,0,0,0.245311502263016,0.318453422126461,0.067489351834802,0,0.00631475104648107,0,0,0,0,0.000393874291669149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00797878027008822,-0.000433564942606331,0,0,0,0,0,0
X000858.SZ,0.347475057385987,0,0,0,0.276089399620711,0,0,0.0658392627667404,0,1.73472347597681e-18,0.171639500026023,0,0,0,0,0,0,0,0.134258990251781,0.0459997897259664,0,0,0.0138432454137414,0,0,0,0,0,0,0,0,-0.0175534779990587,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,-0.00139033177433617,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0.549372087924264,0,0,0,0,0.0211270762222908,0,0,0,0,0.104331756621,0,0,0,0,0.0719940023056491,0,0,0,0.0898387021130426,0,0,0,0,0,0,0.0170959832622776,0,0,0,0,0,0,0,0,0,0,0,0.0217366053729512,0,0,0,0,0.0350360725120943,0.0679470934309038,-0.00203528693902289,0,0,0,0.0241443808707658,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.468193385240742,0.275572982613328,-0.0481441329815691,0,0,0.0759910666698248,0,0,0,0,0.0950154917113704,0,0,0,0,0,0,0,0,0.0884093811021918,0.104091425678776,0,0,0,0.179178869462767,0,0.0149639646535791,0,0,0,0,0,0,0,0,0,0,0,0,-0.19996350612981,0,0,0,-0.07772774049288,0.117600498008252,0,0,0,0,0,0
X600276.SH,0.163350756235517,0,0.178624557886669,0,0,0,0,0.0738124359126251,0.0407094242836851,0,0,0.0627585349912781,0,0,0.0192018120045511,0,0.153997723774364,0,0,0,0.0130852733482577,0,0,-0.32332713536941,0,0,0,0,0.0881412916410919,0,0,0.101929069541702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,-0.0272419749955689,0.0594280472041658,0,0,0,0,0,0
X002304.SZ,0.269888248217662,0,0,0.128603385708413,0,0,0,0,0,0,0.183841867736888,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,-0.00761733883348834,0,0.125948704254698,0,0,0,0,0,0,0,0.0975333256496977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0202477429514347,0.0192309046077433,0,0,0,0,0,0
X000063.SZ,0,0,0,-0.0392593189655781,0,0.382952268211809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118326725150951,-0.0584015795181216,0,0.067834999089753,0,0,0,0,0,0,-0.0299288713904468,0,0.482803392030668,0,0,0,0,0,0,0,0,0.279628723832655,0.141423036692296,0,0,0,0,0,0,0,-8.67361737988404e-19,0.00594434537295988,0,0,0,0,0,0
X600690.SH,0,0.41175575832335,0,0.114253157293924,0,0,0.0901190741220199,0,0,0,0,0,0.0886233713305085,-0.0176650224882108,0,0,0,0,0.0394601225948523,0.142082612653489,0,0,0,0,0,-0.0558482390741024,0.027865899341859,0.0132651000530531,0,0,0,-0.0142762645940221,0,0,0,0,0,0,0,0,0,0,0,0,0.0676755735482054,0,0,0,0,0,0,-0.00744993134563696,0.0387612486474448,0,0,0,0,0,0
