,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X000651.SZ,X000568.SZ,X600809.SH,X600690.SH,X600031.SH,X000725.SZ,X002475.SZ,X600104.SH,X002304.SZ,X000661.SZ,X000338.SZ,X003816.SZ,X300014.SZ,X300124.SZ,X000063.SZ,X000100.SZ,X000596.SZ,X000157.SZ,X600703.SH,X002241.SZ,X002129.SZ,X002179.SZ,X600741.SH,X000625.SZ,X002007.SZ,X300142.SZ,X002371.SZ,X002236.SZ,X601877.SH,X002049.SZ,X600584.SH,X000799.SZ,X002414.SZ,X600183.SH,X000800.SZ,X601799.SH,X300003.SZ,X600779.SH,X300146.SZ,X002008.SZ,X002074.SZ,X600089.SH,X000977.SZ,X600118.SH,X000066.SZ,X600707.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.148816909727656,0,0,0,0.0312248331690434,0,0,0,0,0,0,0.126443354089853,0.158317632311218,-0.00633337550131208,0,0,0,0,0.0222694422011158,0,0.0475873222995697,0,0,0,0,0,0,0,0,-0.0935031340766234,0,0,0.0568540619956404,0,0.160497173131614,0,0,0,0,0,0.0317470505488408,0,0,0,0,0,0,0,0,0,0.0470827914197589,-0.0623404374358416,0,0,0,0.010808889943428,0,0
X000858.SZ,0,0,0,0,0,0.279982818092179,0.117184856110226,0,0,0,0,0,0.125726050767911,0,0,0,0,0,0,0,0.109367319323638,0,0,0,0,0.0461580502867977,0,0,0,0,0,0.0543313965924145,0,0,0,0.157965385546632,0,0,0,0,0,0,-1.73472347597681e-18,0,0.0450977946442912,0,0,0,0,0,0,-0.00834861233628572,0,0,0,0,0.0141174350184725,0,0
X002415.SZ,0,0,0,0,0,0.146295806363184,0,0,0,0,0,0,0.0194822585091854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333556441010883,0,0,0.220548405107994,0,0,0,0,0.0836509145384198,0,0,0,0,0,0,0,0,-0.017527542623218,0,0.055298014558129,0.0435022238488194,-0.0467913830178247,0,0.0568016032969496,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0.0956462211078612,0.0754815341778712,0,0,0,0.0406183185600771,0,0,0,0,0,0,-0.0992708957380777,0,0,0,0.0308301466657134,0,0,0,0.232281895787231,0,0,0,0.0496834124981764,0,0,0,0,-0.0240979226406126,0,0,0,0,0.00931770347989266,0,0,-0.12402597009759,0,0,0,0,0,0,0,0,0.00123235139845227,0.0143749409365339,0,0,0,0.0437744192499075,0,0
X000651.SZ,0,0,0,0,0,0,0,0.127499399930844,0,0,0,0,0.0299401570224361,0.0849646472447158,0,0,0,0.0125974109117366,0,0.120826108946185,0.0533681016835361,0.0942661094607661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.157788512194786,0,0,0,0,0,0.0439003579194836,0,0,0,0,-0.0100540241163912,-0.0163309066944732,0,0,0,0,-0.0285233519626303,0,0
X000568.SZ,0,0.329140614090769,0,0.148349808335749,0,0,0.0285865675706398,0,0,0,0,0,0,0,0.0894083014113143,0,0,0.129373569400784,0,0,0,0,-0.126892957103531,0,0,0,0,0,0,0,0,0,0,0,0,0.194320883641839,0,0,0,0,0,0.248655098956691,-0.0106612435242689,0,0,0,0,0,0,0,0,0,-0.0211747395807745,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.0547637692982367,0,0,0.249370242869336,0,0,0,0,0.0786598710014148,0,0,0.151560514473044,0.0670609266725567,0,0,0.164691626039393,0,0,0,0,0,0,0,0,0,0.0918507087126056,0,0,0,0,0.202159301540923,0,0,0,0,0,0,0.0311158997922754,0,0.0349725413597003,0,0,0,0,0,0,0,-0.0557729380975677,0,0,0,-0.0308579069155628,0,0
X600690.SH,0,0.149461011942741,0.0781256237696363,0,0.249239798329755,0,0.120998528641833,0,0,0,0,0,0,0.101922826672729,0,0,0,0,0,0,0,0,0,0,-0.055655242298389,0.111519357459461,0.193829374092774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0273990594671886,0,0.00464727560672852,0,0,0,0,-0.0160386366503701,0,0
X600031.SH,0,0,0,0,0,0,0.0574387956910082,0,0,0,0,0,0,0,0,0,0,0.117063282624485,0,0,0,0.0708076526896745,0.00934961088057534,0,0.362152998583097,0.253935165390611,0,0,0,0,0,0,0,0,0,0,0,0.146716305323392,0,0.0746675870602961,0,0.0868177529999526,0,0,0,0,0,0,0.0295904749516092,0,0,-0.0143445739433251,0,0,0,0,0.0663407556749317,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.0494533876406201,0,0,0,0,0,0,0,0,0,0,0.257607901991044,0,0,0.106200574478371,0,0.128897379015453,0,0,0,0,0,0,0,0,0,0.000344315674923647,0.0109077084177712,0.00442711151880215,0,0,0,0,0,0,0,0,0.0517160752868422,0,0,0,0,0,-6.93889390390723e-18,0.0442575086724462,0,0,0,-0.0545122993169092,0,0
