,X600519.SH,X000858.SZ,X002475.SZ,X600276.SH,X002415.SZ,X600690.SH,X000651.SZ,X600809.SH,X000063.SZ,X002371.SZ,X600104.SH,X003816.SZ,X000568.SZ,X000725.SZ,X300124.SZ,X600031.SH,X000338.SZ,X000625.SZ,X002304.SZ,X000100.SZ,X002241.SZ,X000596.SZ,X600418.SH,X300014.SZ,X002463.SZ,X002179.SZ,X000977.SZ,X600183.SH,X600584.SH,X600066.SH,X000157.SZ,X002028.SZ,X600089.SH,X600703.SH,X600372.SH,X600741.SH,X002049.SZ,X002236.SZ,X600522.SH,X601877.SH,X002156.SZ,X002281.SZ,X000066.SZ,X000921.SZ,X000988.SZ,X600460.SH,X600839.SH,X002456.SZ,X600487.SH,X000800.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0,0.0278198150089533,0,0,0,0.210567736049104,0,0,0,0,0,0,0,0,0.228789826609077,0,0,0,0,0,0.0152145405826125,0.0857697438099712,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,-0.0321502625150625,0,0,0,0,-0.0302348989431556,0,0,0,0.00627542577385264,-0.00061956201124343,0,0,0,-0.0135752461609601,0,0
X000858.SZ,0,0,0.0762309824298708,0,0,0,0,0.28104334762751,0,0,0.00591065712092605,0,0.508968703655977,0,0,0,0,0,0,0,0.0168395129580162,0.0191727467797632,0,0,0,0,-0.0432609710228605,0.0103209245131259,0.0685218719555631,0,0,0.0696636257164671,0,0,0,0,0,0,0,0,0,0,-0.0409749990165712,0,0,0,0,-0.0113839619054814,0,0,0,0,-0.000908975725962757,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,1.87550433764366e-05,0,0.0866275704840133,0.123778206739147,0,0,0,0,0,0,0,0,0,0.313911952707413,0,0,0.0802671747696594,0,0,0.0226788332389849,0,0,0,0.254232512392842,0,0,0,0,0.0411395961549834,0,0,0,0,-0.0451387568669462,0,-0.0223508255544095,0,0,0,0.0897891675989208,0,0,0,0,0.00857545368891719,0.0272760137467513,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0.0193298187672608,0,-0.0354436822245873,0,0,-0.0958598740773158,0,0,0,0.119029378639386,0.003374323198239,-0.0200146458226831,0,0.0716335313970022,0,0,0,0,0,-0.0836583292791823,0,0.0990431161208468,0,0,0,0,0,0,0,0,0,0,0,0,0.105642169372672,0,0,0,-1.73472347597681e-18,0,0,0.144354676653958,0,0.00308031242885175,0.0122100937311063,0.0676625395660053,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.127838023772866,0.0282793717046082,0,0,0.0900405543121433,0,0.0104028089388698,0,0,0,0,0,0,0,0,0.0986789380882857,0,0,0,0,0.0875622181452554,0,0,0,0,0,0,0,0,0,0,0,0.0112724644901658,0,0,0,0,0,0,0,0,0,0,0,-0.00548776310795085,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,-0.0175194549123737,0,0,0,0,0,0,0,0,0,0,0,0,0.0150118467212768,0,0,0,0,0,0.280959404098431,0,0.0279124328874958,0.021902400794888,0.101706005653522,0,0,0,0,0,0,0,0,0,0,0,0.331234384254161,0,0,0.00457345143962315,0,0,0,0,0.0121683819447442,-0.00146019100944033,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.0622712735619471,0,0,0.00561032189700655,0,0.0668706231405618,0,0,0,0,0,0,0,0,-0.0333511844091654,0,0,-0.0710793758245304,0,0,0,0,0,0,0.252614620267074,0,0.00228396180218817,0,0,0,0,0,0,0,-0.0702497347251317,-0.0279349247155244,0,-0.0322507253494968,0,0.150590154063955,0,0,0,0,0,0,0.00467634325651133,0.0126989455223398,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0,0.0427944379355238,0,-0.00768866022676563,0,0.562718959145097,0,0,0,-0.0125714353439029,0,0,0,0,0.225797134556007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0285844547956422,0,0,0,0,0,0,0.0165254235807109,-0.00685280769884925,-1.73472347597681e-18,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0.0768765906804331,0,0,0,0.177272483076868,0,0,0,0,0,0,0,0,0,0,0,0.408221077919125,0.130482696777335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0204541362821368,-0.0854640935455222,0.152575294000488,0,0,-0.127454753937411,0.224905362956202,0,0,0.0273943810040571,-0.0250443666670226,0,0,0,-0.0195354095728909,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,-0.0274377926024024,-0.0515845005894159,0,0,0.323428559765398,0,0,0,0,0,0,0.123094879763962,0.00272487229549734,0.00519546724275659,0,0,0.201517662600348,0,0,0,0,0,0,0,0,0,0.109116515448544,0,-0.137367056303529,0,0.143286722352635,0.0458513534854993,0.00490303937818022,0,0,0,0,-0.0828382953795808,0,0,0,0,0,0,0,0,0,0,0
