,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X600690.SH,X000651.SZ,X002475.SZ,X003816.SZ,X000625.SZ,X300124.SZ,X600104.SH,X002371.SZ,X002304.SZ,X000725.SZ,X000338.SZ,X000063.SZ,X000596.SZ,X600031.SH,X000100.SZ,X300014.SZ,X600089.SH,X002179.SZ,X000157.SZ,X600703.SH,X002236.SZ,X002463.SZ,X000977.SZ,X002241.SZ,X002049.SZ,X600372.SH,X002129.SZ,X600741.SH,X000661.SZ,X600584.SH,X600522.SH,X002028.SZ,X601877.SH,X600183.SH,X600066.SH,X601799.SH,X000800.SZ,X600418.SH,X002156.SZ,X000921.SZ,X002007.SZ,X002180.SZ,X002074.SZ,X600460.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.114501990772324,0.0663890083728094,0.0651862109399459,0,0,0.165571559946109,0,0,0,0,0.00257889659212578,0.364656019451803,0,0,0,0,0,0,0.00346357587535971,0,0,0,0,0,0,-0.0643505986816108,0,0,0,0,0,0,0,0,0,0,0,0,0.0799038297192533,0,0,0,0,0,-0.00913552560873851,0,0,0,-0.0131509466100933,0.0207050435200228,0,0,0,0,0,0
X000858.SZ,0,0,0,0.165562052782418,0,0.390677619590358,0,0,0,0,0,0,0,0.0164364471127856,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109000943948743,0,0,0,0,0,0,0,-0.0356251613773133,0,0,0,0.0694808421108473,0,0,0,0,0,0,-0.0148916127601423,0.0155649700818642,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0642592660598502,0,0,0,0,0.0820238487458302,0.139441010219943,0,0,0,0,0,0,0,0,0,0,-0.0213079435196394,0,0,0,0.154971190409009,0,0,0,0,0,-0.0190619310730133,0,0,0.0474824986985004,0,0,0,0,0,0,0,0,0,-0.0370753414780416,0,0.122606226725791,0,0,0,-0.0212649489630944,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,-0.0194803516259192,0,0,0,0,0.0517975793658688,0,0,0,0,0.596218394648392,0,0,0,0.213802735218958,0,0,0.0714118305322084,0,0,-0.0674054686275615,0,0,0,0,0,0,0.13236799148185,0,0,0,0,0,0,0,-0.0171665843370713,0,0,0,0,-0.159697419596933,-0.0110332938344547,0,0,0,0,0,-0.00422264722864482,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155919294508586,0,0,0,-0.0133756624242066,0,0.00727263026796229,0,0,0,0,0.487367495112903,0.175558415601175,0.0572358864010139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0.735289698084899,0,0,0,0,0,0,0,-0.0890401005161916,0,0,0,0,0.179320666376822,0,0,0,0.0211609381105872,0,0.115476421724248,0,0,-0.106059250995669,0,0,0,0,0,0,0,0,0.0254275011411004,0,0,0,0,0,0,0,0,0,0,0,0,-0.0162091563701493,0,0,0,0,0,0,0.0163141742943705,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0.08556248914397,0,0,0,0,0,0,0.21524159484102,0,0,0,0,0.192522624175246,0,-0.00897926228485639,0,0,0,0,0,-0.0640004830338337,0,0,0,0,0.0440525319987635,0,0,0,0,0,0,-0.00658570935560067,0,0,0,-0.0292491864163992,0.0629496280575278,0.215938438752199,0,0,0,0,0,-0.0116357485586953,0.0263928399888832,-0.0878282879672367,0,0,0,0,0
X000651.SZ,0,0,0,0,-0.0543822207275978,0,0.254077378759819,0,0,-0.0419449737957882,0,0.186881045644171,0,0,0,0,0,0,0.0743191987179334,0,0,0,0,0,0,-0.0521776981424788,0,0,0.252709532334717,0,-0.338234576490766,0,0,0.306292493660582,0,0,0,0,0,0.0226326410891174,0,0.0538379394599399,0,-0.0772851351441649,-0.153657658510405,0.17561291046559,0,0.200031790773471,0,0,0,0.0924695219065037,6.93889390390723e-18,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0.0561684919106616,0,0,0,0,-0.019534427490294,0.0401142431060497,0,0,0,0,0,0,0,0,0,0,0,0,0.265884440909373,0,0,0,-0.0936666919209456,-0.161027407948111,0.519293730614299,0,0,0,0,0,0.0145604250217507,0,0,0,0,0,0,0,0.0418428598820462,0.176877259321948,0,0,0,0,0,0,-0.0226194366417159,0,-0.0124320965907134,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143311436129107,0,0.142115380335569,0,0,0,-0.270501501903838,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296157089483762,-0.0328344525205846,0,-0.151187094175488,0,0.240895200003731,0,0.0205305973687768,0.0292025365766242,0,0.017384654156934,-0.0483384241036236,0,0,0,0,0,0,0
