,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600741.SH,X600031.SH,X000568.SZ,X600066.SH,X000100.SZ,X002475.SZ,X000338.SZ,X002241.SZ,X600118.SH,X002236.SZ,X600271.SH,X601877.SH,X600177.SH,X002085.SZ,X000157.SZ,X600372.SH,X002456.SZ,X002007.SZ,X300124.SZ,X002294.SZ,X300003.SZ,X600699.SH,X000559.SZ,X600089.SH,X600867.SH,X002292.SZ,X600522.SH,X002180.SZ,X002508.SZ,X002074.SZ,X002426.SZ,X600498.SH,X002506.SZ,X002465.SZ,X000623.SZ,X000536.SZ,X000981.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.121951356760337,0.0309492380203844,0,0,0.00979761554594913,0.113693205180338,0,0,0,0,0.127670112225505,0,0,0.14519537664867,0.00256318623348085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037612510528399,0,0,0,0,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.0317459953219496,-0.102621782729633,0,0.992143410356924,-0.0465601484650401,0,0,0,0,-0.0232332049908241,0,0,0,0,0,0,-0.0996665557408143,0,0,0.0644172530607367,0,-0.230454025187211,0,0,0,0,0,0,0,0,0,0,0,0,0.0671547731289754,0,0,-0.00856617685365537,0,0,1.73472347597681e-18,-0.0209678815439166,0.0163788391831304,0.110961516990307,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0284742027736719,0,0.116441377776838,-0.0389104937797749,0,0,0,0,0.105633424249674,0,0,0.0573994896975485,0.0590846772597371,0,0,0,0.0776397449062831,0,0,0,0,0.128263873269665,0,0,0,0,0.114047714902069,0,0,0,0,-0.0162645064814822,0,0,0,0,0,-0.00193098764511598,0,-0.0218120280997558,0.0133361352375271,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0.512170792356306,1.17847327357147,0,0,0,0,0,0,-0.0590857735932341,0,0,0,0,0,0,0,-0.0499677492531669,0,0,-0.0110306055463209,0,-0.116551887197512,0,0,0,0,0,0,0,0,0.237531063242618,0,0,0,0,0,0,0.189233311495967,0,0,0,0.0144078734385859,0.0263884200752212,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0.264969652044774,0,0,0,0.0285340062390817,0.052457869420599,0.324542193177759,0.0848027326259695,0,0,0,0,0,0,0,0.120677761425852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000405387305169987,0.00681396924487319,0,0,0,0,0,0
X000725.SZ,0,0,0,0.113234401328444,0,0,0,0,0,0.06445195320856,0,0,0,0,0.0640020100867511,0,0,0,0.0146087188614049,0.0654474725264567,0,0,0,0,0,0,0,0,-0.0138078298979911,0.0694840022428046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123644177018373,4.68847757861974e-05,0,0.33780360476928,0,-0.0286259907157031,0.0224360896735526,0,0,0,0,0,0
X600276.SH,0,0,0.0224407131231675,0,0.0713036819679349,0,0,0,0,0,0,0.180195344250557,0,0,0.115090395188264,0,0,0.0762377656588167,-0.0378317927399099,-0.0726703498262854,0,0,0,0,0,-0.0285262119576112,0,0,0,0,0.0409172517141371,0,0,-0.0390675201929205,0,0,0,-0.0261103805510736,0,0,0,0,0,0,0,0,0.00127141966627742,0,0.173324408728947,0,0,0.0127428015834324,0,0,0,0,0,0
X002304.SZ,0,0.0949344073211382,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0.314229673408858,0.037177699233881,0.0712369021096086,0,0,0,0.0562416904772303,0.00809051979033578,0,0,0,0,0,0,0,0,0.0509486043490224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0496890021664891,0,0.00590649707524896,0,0,0,0,0,0
X000625.SZ,0,0.181931015286934,0,0.12498317869261,0.136796932636207,0.0431067590611844,0,0.062548624171413,0,0,0,0.00150457090313986,0,0.119015631460019,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.0744063496559643,0,0,0,0,-0.00407017509021215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0135217250909122,0,0,0,0,0,0
X000063.SZ,0.0303175106254156,0,-0.101303405752211,0.211905946580988,0,0,0.0768154207777965,0,0,0,0,0,0,0.044829488228123,0,0,0,0,0.2776638094127,0,-0.1261179911323,0,0,0.119092810554056,0,0,0,0,0,0,0,0.0890503483869436,0,0,0,0,0,0,0.0716477796145854,0,0,0,0,0,0,0,0.0839285378846507,-0.17571991279099,0,0,0.072832092285092,-0.0726799702316709,0,0,0,0,0,0
