,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X000063.SZ,X002304.SZ,X000858.SZ,X000625.SZ,X600031.SH,X600690.SH,X600276.SH,X000100.SZ,X600271.SH,X600372.SH,X600118.SH,X000157.SZ,X600703.SH,X000338.SZ,X002129.SZ,X000559.SZ,X002241.SZ,X600089.SH,X600839.SH,X600741.SH,X600177.SH,X300124.SZ,X002456.SZ,X002236.SZ,X600582.SH,X600066.SH,X002292.SZ,X002475.SZ,X000800.SZ,X002465.SZ,X600060.SH,X600435.SH,X000977.SZ,X300003.SZ,X600198.SH,X601877.SH,X000568.SZ,X000050.SZ,X000581.SZ,X002223.SZ,X300146.SZ,X000623.SZ,X600166.SH,X002294.SZ,X000869.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X002294.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.0633285513583708,0.0720303904783583,0,0.0974026238773977,0,0,0.127631227484551,0,0,0.222594445487372,0,-0.054376004789629,0,0,0,0,0,-0.0267410456360561,0.127967901030932,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0175241799467894,-0.0335807645568427,0,0,0,0,0,0
X000869.SZ,0.0117102213584328,0,0.0524577764892871,0,0,0,0,0,0,0.0446237882542006,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175911488772193,0.0172673938557646,0,0,1.73472347597681e-18,0,0,0,0,0,-0.0220464418855638,0,0,0,0,0,0,0.225243024804916,0,0,0,0,-0.043152011007517,-0.0633240935262208,0,0,0,0,0,0
Change_TY3M,0,0,0,0,0,0.0675288839176902,0,0,0.130279610993933,0.230772615138388,0,-0.060504471864324,0,0,0,0,0,0.0363376048765382,0,0,0,0,0,0,0,0,0,0,0,-0.00836900793317193,0,-0.0334413886561041,0,0,0,-0.0139477886388902,0,0,0,0,0,0,0,0,0.123689167715978,-0.0467438034310276,0,0,0,0,0,-0.0532055904103889,-0.0485858081404362,0,0,0,0,0,0
Slope,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0.298146747485674,0,-0.616241124071944,0,0,-1.82364742208577,0,0,0.163985143508462,0,0,0.882833570834792,0.94039338218205,0,5.55111512312578e-17,0,0,0,-0.076913109473838,-0.265643234228149,0,-1.05197555229204,0,0,0,0,0,0.264519028465677,0,0,0,0,0,0.232144230761436,0,0,0,0,0,0,-1.2459015800683,0,0,0,0,0,0
TED,0,0,0,0,0,0.639330884146723,0,0,0,0,0,0,0,-0.109465943434219,-0.358510937560235,-0.166969279507353,0,-1.17474838246418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.608293601415006,0,0.0397121532615796,0,0,0,0,0,0,0,0,0.0286859421841592,0.461716194102244,0,1.27882692851896,0,-0.424745209003012,-0.803325249241477,-0.671767617582089,0,0,0,0,0,0,0
RealEstate_excess,0,0,0,-0.0181130090767894,0,-0.346101505029993,0,0,0.045339945187477,0,0,0,0,0,0,0,0,0,0,0.0382293186372951,0.177094257663766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0459056866473413,0,0,0.0672879633692416,0.349338968263956,0,-0.15073180188234,0,0,-0.218073119602307,0.129107391771508,0,-0.0880819436877667,0,0,-0.0189275670141913,-0.0337065161497073,0,0,0,0,0,0
MKreturn,-0.0889709776436395,0,0,0,0.0978084692500874,0,0,0,0.0502719368703437,0,0,0,0,-0.153334980422525,0,0.027417626625857,0,-0.142636078518884,0,0,0.117739525688225,-0.261707282939414,0,0.0218283519382542,0,0,0,-0.121669774667505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0173153420760909,0,0,0,0,0,0
MKvol,0,0,0,0,0,0,0,0,0,0.00290008864325351,0,0,0,0,0,-0.0123144171005086,0,0,8.67361737988404e-19,0,0,0,0,0,0.00347100337116152,0,-0.00160549737069512,0,0,0,0,-0.00172645733141852,0,0,0,-0.00344231111865603,0,0,0,0.00228072228017664,0,0,0,0,0,0,0,0.0145024287037531,0,0,0,0,0.00702108821715702,0,0,0,0,0,0
CarbonVol_Shenzhen,0,0,-0.00545679858814046,0,0,0,0,0,-0.00205422618888883,0,0,0,0,-0.0184055487110876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000382141611369225,0,0,0,0,-0.00519734234215039,0,0,0,-0.000516865027744354,0,0,0,0,0,0,0,0,0,0,0,0.000774885874700063,-0.00420853235644068,0,0,0,0,0,0
CarbonVol_Guangdong,0,0,0.00588619946976939,0,-0.00529058905683408,0,0,0,0,0,0,0.00320280132992195,0,0,0,0,0,0,-0.00797032729512097,0,0,0,0,0.0030209266501893,0,0,0,0,0,0,0,0.0174782220435532,0,0.00295626599231618,0,0,0.00412828395542782,0,0,-0.0163510200584716,-0.00507939712679288,0,-0.00763671261100157,0,0,0,0,-0.00646657609442832,0,0,0,0.0148131337382752,-0.00179921165105988,0,0,0,0,0,0
CarbonVol_Hubei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00113695198561313,0,0,0,0,0,-0.00185445979956807,-0.000906043183873755,0,0,0,0,0,0
