,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X002304.SZ,X000858.SZ,X600276.SH,X000625.SZ,X000063.SZ,X600703.SH,X600741.SH,X000100.SZ,X600031.SH,X600066.SH,X002292.SZ,X002506.SZ,X002241.SZ,X600118.SH,X002236.SZ,X002049.SZ,X002465.SZ,X000157.SZ,X000559.SZ,X002475.SZ,X600372.SH,X000338.SZ,X000568.SZ,X600089.SH,X600177.SH,X300124.SZ,X002074.SZ,X000869.SZ,X002294.SZ,X600867.SH,X300003.SZ,X601877.SH,X600498.SH,X002426.SZ,X002456.SZ,X300146.SZ,X002085.SZ,X600584.SH,X000977.SZ,X000623.SZ,X002008.SZ,X002129.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0382621774426454,0,0,0,0,0,0,0,0,0,0,0,0.191736763988162,0,0,0,0,0.0271759227812479,0,0,0.0344302945177253,-2.16840434497101e-19,0.0178720736930122,0.0108778952907397,0,0,0.0179576325006512,0,0,0,0,0.0100931143634487,0,0,0,0,0,0,0
X600104.SH,0,0,0,0.0411051740503643,0,0,0,0,0.18710169206073,0,0,0,0,0,0,0,0,0.103276491978259,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0341786704849339,0,0,-3.46944695195361e-18,0,0.134704172743965,0,0,0,0,0,0,0,0,0.0618673223207499,0,0,-0.0221785854236651,-0.00626450790020941,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.00270032185363937,0,0,0,0,0,0.0592761136319625,0,0,0,0,0,0,0,0,0,0,0,0.301109569095661,0.115911232043178,0.0733600853202137,0,0,0,0,0,0,0.0246353715573376,0,0.0925508495535931,0,0,0,0,0.140390135847922,0,0,0,-0.0316421627935528,-0.0311056952220205,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.014915137357944,0,0,0,0.04261849961354,0,0,0.619200418483254,0,0,-0.0995919281172667,0,0,-0.0145454661599075,0,0,0,0,0,0,0,0,0.170281608652442,0,0.12631653412576,0,0,0,0,0,0,0.116657233320762,0,0,0,0,0,0,-0.0477488300641783,0.0245601196469058,0,0,0,0.0280952698994344,0,0,-0.144561734249439,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.216988189373223,0,0,0,0,0,0,0,0,0,0,0.0235956644696861,0,0,0,0,0,0.179861204301094,0,0,0,0,0,6.93889390390723e-18,0,0.0746986483325603,0,3.46944695195361e-18,0.0413883507277133,0,0,0.0834826735708667,0,0,0.0647318685087787,0,0,-0.0212154360862584,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0.0925071175151223,0,0,0,0,0,0,-0.00655371006904593,0,0,0,0,0,0,0,0,0,0,0.216427294147589,0,0.234461991504178,0,0,0,0,0,0,0,0.0451251521313035,6.93889390390723e-18,0,0.128962002219863,0,0,-0.00806353009165128,0,0,0,0,0,-0.0105632789853634,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.370867492697945,0.142673889976745,0.0143365021105939,0,0,-0.110160128972908,0,0,0,0,0,0.11782013059233,0,0,0,0,0,0.0411261029050618,0.069324841080194,0,0,0,0,0,0,3.46944695195361e-18,-0.0800035607046404,0,0,0,0,0,0,0,-0.00109525850227013,-0.0116967938413872,0,0,0,0,0,0
X600276.SH,0,0,0,0.00860147030102897,0,0.0940917707617802,0.0843012182902019,0,0,0,0,0,0,0,0,0,0,0,0.0636617934614109,0,-0.0605242466122436,-0.172849395930079,0,0.167613725455858,0,0,0,0,0,0,0,-0.108588826164408,0,0,0,0,0,0.00279051757230121,0,0,0,0,0.0603806675361551,0.0868990088825236,0,0,0.0129767868814986,0,-0.0129370855821889,0.00372910587185897,0,0,0,0,0,0
X000625.SZ,0,0,0,0.188552707540332,0,0,0,0,0,0,0,0,0,0,0,0,0.0119503599878219,0,0,0,0,0,0,0.167822751400002,0,0,0,0,0,0,0,0.0787054243541104,0.027100762986753,0,0.0332778450029959,0,0,0,0,0,0,0.0643606946090366,0,0,0.231372261503531,0,0,0,-0.0139910316233452,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0.0352677474824775,0,0,0,0,0.0297992199680883,0,0,0,0,0,0,0,0,0.0485190318671504,0,0,0,0,0,0.137331631089567,0,0,0,0,0,0.150780741175216,0.160904212317705,0.0147714856928564,0,0,0,0,0,0,0.1355574472893,0,-6.93889390390723e-18,0,0,0.0107721616361795,0.0446899405301441,0,0,0,0,-0.0186379047677461,0,0,0,0,0,0
