,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600276.SH,X600809.SH,X002475.SZ,X600690.SH,X000651.SZ,X000063.SZ,X002304.SZ,X300124.SZ,X600104.SH,X000725.SZ,X003816.SZ,X002371.SZ,X600031.SH,X000625.SZ,X000596.SZ,X002129.SZ,X300014.SZ,X000338.SZ,X002179.SZ,X600089.SH,X600703.SH,X002049.SZ,X000100.SZ,X002236.SZ,X600372.SH,X000977.SZ,X002241.SZ,X601877.SH,X600741.SH,X000661.SZ,X000157.SZ,X600584.SH,X600522.SH,X002180.SZ,X002074.SZ,X000733.SZ,X000066.SZ,X600460.SH,X600702.SH,X002463.SZ,X300142.SZ,X300003.SZ,X000800.SZ,X002007.SZ,X000988.SZ,X601799.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.295471116828574,0,0.0790181610321228,0.0983735056730627,0,-0.0444144975950584,0.043962182594519,0,-0.030011553561256,0,0,0,0,0,0.0369480326931857,0,0,0,0,0.0119504560196658,0,0,0,0,0.0107243461589441,0,0,0,-0.0268182804190345,-0.084698460789167,0,0,0,0,0,0,0,0,0.0313287159627048,0,0,0.0738304937819087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0.155963353021095,0,0,0.313705394213015,0,0.0517774697816736,0,0,0,0,0,0,0,0,0,0,0.141521522664476,0,0,0,0,0,0,0,0,0,0,-0.0124279673914619,0,-0.0208555843510004,0,0,0,0,0,0,0,0,0,0,0.0511632644091157,0,0.0814844630007688,0,0,0,0,0,-0.0227232101407017,0,0.0219570890208505,-0.0233351941848656,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.0294153085274667,0,0,0,0,0,0,0,0,-0.132597200705655,0,-0.143538364474538,0,0,0.322080583770828,0,0,0,0.146408917213386,0,0,0.317202496419956,0,0,0,0,0,0,0,0,-0.13015859512734,0.139635118887764,0,0,0.117447164540688,0,0,-0.128512914624972,0,0,0,0,0,0.0373931191348456,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0.51281306586742,0,0,0,0,0,0,0,0,0.118036802935264,0,0,0,0,0.00929254859118733,0,0,0.0278635705673948,0,0,0,0,0,-0.089705460244496,0,0,0.0117597820887128,0,-0.0339660223796782,0,0,0,0,0,0,0,0,0.0358825850450962,0,0,0,0.178473417940957,0,0,0,0,0,0,-0.0194354399926107,0,0,-0.0317430925512517,0,0,0,0,0,0
X600276.SH,0,0,0.0305145297888598,0,0,0,0,0.136240580624484,0,0,0,0,0,0,0,0,0,0.204405466594699,0,0,0,0,0,0,-0.228890963854881,0.085401076745093,0,0,0,0.00972966393781126,0,0,0,0,0,0,0.0721451410065962,0,0,0.0466305547867529,0,0,-0.0825626535573624,-0.218390438293175,0,0,0,0,0.144224729692934,0,0,0.00460432667911748,0,0,0,0,0,0,0
X600809.SH,0,0.192164791611573,0,0,0,0,0,0,0.0394221835736328,0,0.063307304416754,0,0,0,0,0,0,0,0,-0.0847717019986993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0318742424535312,-0.072868653577159,0,0,0,0,0,-0.274383971345929,0.0202909174785266,0,0.563601981860519,0.00256864472117618,0.0649454888009156,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0.174437023391847,0,0,0,0,0,0,-0.0974923264864404,0,0,0,0.0830100545989353,0,0,0,0,0,0,0,0.130575843065986,0,0,0.704357576766506,0,0,-0.0574398604973732,0,0.235411870568173,-0.0488269875792129,0.094002506498503,0,0,0,0,0,-0.160706867098191,0,0,0,0,0.205858497758349,0.0513222291698974,0,1.38777878078145e-17,-0.00750052181904881,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.209160321875969,0,0,0,0.233281546929348,0,0,0,0,0.0431832916157322,0,0,0.0747805323126575,0,0,0,0,0,0,0,0,0,0,0,0,0.0581148503887961,0,0,0,0,0.0712231788374155,0,0,-0.0502437940212512,0.118234685348275,0.0716031093855842,0,0,0,-0.0569915852337902,0.066506536647096,0,0,0,0,0,0,0.0436013969030707,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0.108427462740286,0,0.0162251369378513,0,0,0,0.310340441139581,0,0.0237593973251405,0,0,0,0,0,0,0,0,0,-0.445277138278956,0,0,0,0.0114820859516577,0,0,0.0967286261452241,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429760862057771,0,0,0,0,0,0,0,0,0.0134105018651612,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0.0507603639614721,0,0,0,0,0,0,0.0721916473947142,0,0,0,0,0.106968772923073,0,0,0,0,0,0,0.123710073374444,0,0.175843511906749,0,0,0,0,0,0,0.104606585318771,0,0,0,0.243268145636181,0,0.072859725541517,0,0,0,-0.24771843032957,0,0.109216834772712,0.125034349758196,0,0.0208577597843354,-0.0598431544304885,0,0,0,0,0,0
