,X600519.SH,X600104.SH,X002415.SZ,X000725.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600031.SH,X600271.SH,X000559.SZ,X600118.SH,X000100.SZ,X600372.SH,X600066.SH,X000157.SZ,X002236.SZ,X002241.SZ,X600741.SH,X002475.SZ,X002292.SZ,X600089.SH,X000338.SZ,X300124.SZ,X002465.SZ,X600839.SH,X000568.SZ,X600177.SH,X300003.SZ,X002294.SZ,X002129.SZ,X002074.SZ,X600867.SH,X000977.SZ,X000800.SZ,X002276.SZ,X600582.SH,X000869.SZ,X002498.SZ,X600498.SH,X002085.SZ,X002506.SZ,X000547.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.522098713598722,0,0,0,0,0.0715451403930339,0,0,0,0,0,0,0,0,0,0,0,0.0384197827063397,0,0,0,0,0,0.0450007867026462,0.0636997983906168,0,0,0,-0.024052321243825,0.0653725235522339,0,0,0,0,-0.0429492684791176,0,0,0,0,0,0,0,0,0,-0.0404295494405905,0,0,0,0.0774871625781916,0.168945502353636,0,0,0,0,0
X600104.SH,0,0,0,0,-0.0923086422428907,-0.0279204672432921,0,0.494481285268898,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0623620628400834,0,0.251660571730398,0,0.176369564664893,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,-0.120079122126471,0,0,0.0254941359403757,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.187531479371149,0,0.228548336724596,0,0,0,0,0,0,0.10875308173521,0,0,0,0,0,0,0.162347441079999,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.127334249780054,0.000339632160657402,0,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0.222816508650854,0,0,0.165350789239656,0,0,0,0,0,0,0.0190217852968855,0,0,0,0,0,0.0666279088872093,-3.46944695195361e-18,0,0,0,0,0.0787526634678516,0,0,0,0,0,0.0279589949287002,0.103187793223911,0,0,0,0.0447281792017432,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0151397324620004,0,0.38407873396887,0,0,0,0,0,0.0284345820347459,0,0.00923350423531545,0,0,0,-0.0165697007928446,0.021326845517434,0.157646812509034,0.0319817139312715,0,0,0,0,0,0,0,0,0,0,0.0364159167536013,0.00965963818305309,0.0834021137251458,0,0,0,-0.0406152538919291,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.217841643309239,0.0605369729970648,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,-0.176544837787262,0,0.271255738866904,0,0,0,0,0.0501386608919539,0,0,0.0247399748685965,0,0,0,0,-0.156031864415467,0,0,0.0190205898346737,0,0,0.0975923580819183,0,0,0,0,0,0,-0.0215889651367408,-0.0531330677494467,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.440552601773819,0,0,0,0.101215387844185,0,0,0,0,0,0.110029904888817,0.0937556898654435,0,0,0,0,0,0,0.0992380680611023,0,0,0,0,0,0,0,0,0,0,0,-0.155875114112531,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,-0.101486316950123,0,0,0,0.0436795830687712,0,0,0,0,0,0
X002304.SZ,0,0.351679658198597,0,0,0,0,0.0288204794997879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162601575558634,0,0,0,0,0,0,0,0,0,0,0.346483513979169,0,0,0,0,0,0.0479911794258278,0,0,0,0,0,0,-0.0538770204068219,0,0,0.0470533336362178,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0.0232041143275081,0,0.0134640390807952,0,0.00895308789105127,0,0,0.0425875754634351,0,0.0536855125936674,0,1.73472347597681e-18,0.171679196276658,0,0,0,0.248676343480267,0,0,0,0.103014150093229,0.00512960661718915,0,0,0,0,0,0,0.0508198512128438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240998395494825,0.00181695939594889,0,0,0.0585632095917887,0,0,0,0,0,0.065208859259585,0.37624313803397,0,0,0.0719629864701066,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0710771441523676,0,0,0.0370320206991425,0,0,-0.00677075493773272,-0.0255495970361207,0,0,0,0,0,0
