,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X002304.SZ,X000725.SZ,X002475.SZ,X000568.SZ,X000063.SZ,X600031.SH,X600690.SH,X000338.SZ,X600741.SH,X600809.SH,X000596.SZ,X000661.SZ,X600183.SH,X002236.SZ,X002007.SZ,X300003.SZ,X601877.SH,X000100.SZ,X002241.SZ,X600703.SH,X300142.SZ,X002179.SZ,X000157.SZ,X600271.SH,X000625.SZ,X300124.SZ,X600867.SH,X300014.SZ,X002463.SZ,X002008.SZ,X600498.SH,X002506.SZ,X002129.SZ,X000977.SZ,X300146.SZ,X300136.SZ,X600177.SH,X002049.SZ,X002371.SZ,X600066.SH,X000066.SZ,X000050.SZ,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.350739120254895,0,0.156698397584952,0.0705094798031731,0,0,0,0.118057814204945,0.0762522762231449,0,0,0,0,-0.106242292858435,0,0,0.0255968757720608,-0.10728973998686,0,0,0,0,0,0,0.0516307769049469,0,0,0,0,-0.0172231712630322,-0.0673547423369147,0.0194499095533513,0,0,0.0130678341363918,0,0,0,0,0,0,0,0.0645650262828652,0,0,0,0,0,0,-0.00689912128154651,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.234589980273771,0,0.098051250231996,0.21246455332948,0,0,0,0,0,0.0501446409335755,0,0,0,0.103234392953059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00727017771012589,0,0,0,0.0118351019597913,0,0,0,0,0,0.0706768567912985,0,0,0,0,0,-0.0309240765817799,0.0217704257279798,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.116483982990993,0,0,0,0.083054245166132,0.0836968306980878,0,0,0,0,0,0,0,0.168089915103433,0,0,0,0.0425251663124573,0,0,-0.0284769875720628,0,0.23654200368683,-0.117678570917031,0,0,0,0,0.119011501207582,0.00399692076695741,-0.0497084034499198,0,0,0,0,0,0.0521084895701841,0,0,0.175429877594875,0,0,-0.130896698655814,0,0,0,-0.00719749524570421,8.67361737988404e-19,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.190683321137013,0,0.130706136749746,0,0,0,0,0,0.100313722039067,0.0246870704151182,0,0,0,0,0.0465620003747422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0595376572212462,0,0,0,0,0,0.0971099437968905,0.0638520825292375,0,0,0,0,-0.0110923814525119,0,0,0,0,0,0
X002415.SZ,0,0.15598787577945,0,0,0,0,0,0,0.154671271270575,0,0,0,0,0,0,0,0,0.107649966988651,0,0.179960219064926,0,0,0,0,0.193182151466664,0,0,0,0,0,0,0,-0.0329952760566805,0,0.0338912959510661,0,0,0,0.0430916060994571,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0.00735717847891765,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0.221900844911267,0,0,0,-0.0843216818123636,0,0,0,0.0281445362381753,0,0,0,0.103575952782042,0,0.0910327716420999,0,0,0,-0.00650737989153641,0,0,0,0,0,0,0.035498743577608,0,-6.93889390390723e-18,0,0,0,0,0,0,0,-0.0447315683488125,-0.00737404415493922,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.0127445291376793,0,0,0,0,0.274829664416921,0,0,0,0,0.130712689065601,0.231993764727589,0.0188275880313295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0168447459644612,0,0.0721236217786055,0.0396703679519333,0,0,-0.0042020845840334,0,0,0,0,0,0,0,-0.0768712189449422,0.0215093399767302,0,0.0741161571503484,-0.0306506441459748,0.069117176515147,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.0617225917699674,0,0,0,0,0,0,0.105424260926873,0,0,0,0,0,0,0,0.163051773662194,0,0.110744575516553,0,0,0,0,0,0,0,-0.0499084321833007,0.132231725929068,0,-0.032102049218669,0,0,0,0,0,0,0,0,0,0,0.212632683909607,0,0,-0.0443864832534716,0.0500632422023963,0,0,0,0,0,0
X002475.SZ,0,0.215066798857903,0,0.139242930788548,0,0,0,0,0,0,0.00669030878819511,0.142927711356468,0,0,0.0920473698068501,0,0,0,-0.1294088644578,0.305642161450618,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.135088716661684,0,0.263951184194102,0,0,0.0890778305096877,0,-0.0981660150016885,0,0,0.24483733055823,0.106469422142458,0,0,-0.03021951115828,0,0,0.0279740255089115,-0.0363638853178884,0,0,0,0,0,0
X000568.SZ,0,0.657998438047321,0,0,0,0,0,0,0,0,0.00787589783470416,0,0,0,0,0,0.206910611458902,0,0.0331306896592574,0,0,0,0,0,-0.0842001967476619,-0.0683882700012478,0,0,0,0,-0.00726693091482689,0,0,0,0,0.122761459056099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00432246634073417,-0.00356981882483809,0,0,0,0,0,0
