,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X600690.SH,X000651.SZ,X002475.SZ,X003816.SZ,X600104.SH,X300124.SZ,X002304.SZ,X000725.SZ,X000625.SZ,X000338.SZ,X002371.SZ,X600031.SH,X000063.SZ,X000596.SZ,X000100.SZ,X300014.SZ,X600089.SH,X002179.SZ,X000157.SZ,X600703.SH,X600372.SH,X002241.SZ,X002129.SZ,X002236.SZ,X600741.SH,X000661.SZ,X002049.SZ,X000977.SZ,X600584.SH,X601877.SH,X600522.SH,X002028.SZ,X002463.SZ,X000800.SZ,X601799.SH,X600183.SH,X000921.SZ,X600066.SH,X002007.SZ,X002223.SZ,X600460.SH,X002074.SZ,X600177.SH,X002294.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.341262032339349,0.0203189230032594,0.175682533524596,0,0,0.0198708164263757,0,0,0,0,0,0.000590248679422039,0,0,0,0,0,0,0.0206389731111767,0,0,0,0,0,0,0,0,0,0,0,0,0.0635682041238867,0,0,0,-0.0444824951746603,0.113963417208035,0.0674637032229697,0,0,0,0,0,0,0,0,0,0,0.000584127989107778,-0.0153012454778175,0.0117038840264188,0,0,0,0,0
X000858.SZ,0,0,0,0.00497576797465553,0.0120675474610345,0.481327603749426,0.0744685520129108,0,0,0,-0.0450825024176382,0,0,0,0,0,0,0,0,0.0678116036707036,0,0.0875497501462089,0,-0.0159910336617283,0,0,0,0,6.93889390390723e-18,0,0,0,0,0.0339236742692194,0,0,0,-0.0513927515667925,0,0,0,0,0,-0.101251421477513,0,0,0,0,0,0,0,-6.7762635780344e-21,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.264625132374355,1.73472347597681e-18,0,0,0,0,0,0,0.188965054898416,0,0.100216726356464,0,0.0968378117997942,0,0,0,0,0,0.0818867844367861,0,0,0,0.0163342194663098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0328689862068034,0.0284215477837713,0,0,0,0,0,0
X600809.SH,0.0835389465831928,0,-0.0246210484460722,0,0,0.256813621070611,0,0,0,0,0.149128720168905,0,0,0,-0.0252582085450221,0,0,0,0,0.538792409886497,0.224742492468682,0.0550222177437294,0,0,0,0,0.0193777881414947,0,0.0346963613749569,0,0,0,0,0,0,0,0,0,0,-0.0423206683820291,0.0167792982430067,-0.222050771680555,0,0,0,0,0,0,0,0,0,-0.0214799898914747,0.00371425171021819,0.144703122345502,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,-0.0529492868130769,0,0,0,0,0,0,0,0.165639430270577,0,0,0,0,0,0,0,0,0,0,0.038664550747126,0,0,0,0,0.399642866943464,0,-0.0477509560654672,0,0,0.0445028608320602,0,0.0292860168811588,0,0,0.0144271035792363,0,0.12750172041045,0.0740843679656941,0,0,0,0,0,0,-0.019661072319606,0,0.0272311449231374,0,0,0,0,0
X000568.SZ,0.171925321126284,0.68227812284331,0,0.233952183100159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135368302205374,0,0,-0.0625124389384714,0,0,0,0,0,0,0,0,0,0.00805882214778339,0,0,0,0,0,0,0,0,-0.104013133718087,0,0,0,0,0,0,0,0,0.01362404955616,0,0,0,0,0,0,0
X600690.SH,0,0.159919258618019,0,0,0,0.225275572008963,0,0.0782592872106023,0,0,-0.0380244079154006,0,0,0,0,0.118917869903797,0,0,0,0,0,0,0,-0.0495654995755358,0,0,0,-0.0341091973851992,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05470728536847,0,0,0,0,0,0,0,0,0,0.0216167780859341,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.455555829166292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.334466261508611,0,0,0,0,0.364192031670119,0,0,0,0.117295382717761,0,0,0,0.0526424363730493,0,0,0.0643053135143688,0.0100306140729209,0.437985785375637,0.0380805297343331,0,-0.0170295035045289,0,0,0,0,0,0.0670805585988223,-0.0411694163814669,0,0,0,0,0,0
X002475.SZ,0.226579032428057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103261508169498,0,0,0,0,0,0.297654377410371,0,0,0,0,0,-0.103396527194492,0.180398359611745,0,0.0215112726111638,0,0.0031942467901255,0,0,0.141600420929435,0,0,0,0,0,0,0,0,0,-0.0674588200173721,0.0416709839774975,-0.0721984682693999,0,0,0.0437648418829792,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0564079924177511,0,0,0,0,0,0.0288863413010087,-0.0517995802241454,0,0,0.0307870006745699,0,0,0,-0.0389570077692466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312241605322862,0,0,0,0,0.0422091074191012,0.121157706430525,-0.0350619198207766,0.0331682304733974,0,0,0,0.0188707311373699,0,0
