,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X002304.SZ,X600276.SH,X000858.SZ,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X000100.SZ,X600703.SH,X002292.SZ,X600066.SH,X600741.SH,X600031.SH,X002241.SZ,X002049.SZ,X002236.SZ,X002506.SZ,X002475.SZ,X600118.SH,X000559.SZ,X000157.SZ,X600372.SH,X300003.SZ,X000338.SZ,X002074.SZ,X000568.SZ,X002294.SZ,X002085.SZ,X600089.SH,X600867.SH,X300124.SZ,X600177.SH,X600582.SH,X002180.SZ,X002465.SZ,X002007.SZ,X600584.SH,X601877.SH,X600498.SH,X000869.SZ,X000550.SZ,X002426.SZ,X002512.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.272263371742457,0,0,0,0,0,0,0,0,0,0,0.365834308209411,0,0,0,0,0.00562647839265534,0,0,0,0,0,0,0,0,0,0,0.0186089544975311,0,0,0,0,0,-0.0194836563658683,0,-0.0597067252097348,0,0,0,0.012981674229774,0,-0.0100587924965991,0,0,0.0710938498903008,-0.00859160210941336,0,0,0,0,0,0
X600104.SH,0,0,0.101230911535985,0,0,0,0,0,0,0,0,0.0925347683553982,0,0,0,0.432373117818277,0,0,0,0,0,0,0,0,0,0,0,0,0.05277028249803,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.0473839795578969,0,0,0,0,0.00327875263566198,-0.0278345497953544,0,0,0,0,0
X002415.SZ,0,0.0239298430176741,0,0,0,0,0,0,0,0,0,0.367051932655027,0,0,0,0.0608355221182021,0,0.0593948017828793,0,0,0,0,0,0,0,0,0,0,0.0191863923755618,0,0,0.073520172070752,0,0.00445268256987086,0.220670240389878,0,0,0,0,0,0,0,0,0.21503772925329,0,-0.0779394021998128,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.180963831338329,0.130976010062321,-0.0344070892473944,0,0,-0.05027865145368,0,0,0.0998158465621299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0815997727412401,0,0.37360165137562,0,0,-0.0367618832287694,0.0488240403548213,0,0.0357076436478308,-0.0282234290919158,0,0,0,0,0,0,0.0233083501789348,0.0355812434012279,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0290408180036636,0,0,0,0,0,0,0,0,0,0,0,0.354972944622426,0,0.0343318120640349,0,0.20343922901176,0,0,0.0114124652087657,0.0540779753175867,0,0,0,0,0.00748727243041907,0.137675334142021,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0.0118631228108137,0,0,0,0,0.0470181029684998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0669310024909206,0,0,0,0,0.0320371325058967,0,0,0.0200531556081701,0,0,0,0,0.102438991515215,0,0,0,0,0.00134788479837285,0.0354687749619859,0.0670894130129798,0,0,0,0,0.00222987429747066,0.0139034582002145,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0.152331084335873,0,0,0,0.00782538380351108,0.0904721709409407,0,0,0,0,0,0,0.0122074359772645,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0.0130553215005748,0,0,0,0,0,0,0,0,0,0.0342661374809094,0.127845262145145,0.248046786717467,0,0,0,0,0.0124123173201643,-0.00213194856920869,0,0,0,0,0,0
X000725.SZ,0,0,0.171004841321659,0,0,0,0.0485516972119506,0,0,0,0,0.0971767432591726,0,0,0,0,0,0,0,0.0680815769385042,0,0,0,0,0.0320488878953726,0,0,0,0.0287175409328492,0,0,0,0.202213453500941,0,0,0.236270667523488,0,0,0,0,0,0.0304371495251418,0.00860693579433404,0,0,0,0,0,0,-0.013694190947187,0,0,0,0,0,0
X000625.SZ,0,0,0,0.107167409250727,0,0,0,0,0,0,0,0,0,0.0606264120967349,0,0,0,0.0795202801061136,0,0,0.0862982622848423,0,0,0.0639642590452427,0,0,0,0,0,0,0,0,0,0,0,0.11314779293048,0,0.00997448745294663,0,0.163230453930979,0,0,0,0,0.143099212514124,0,0,0,0,-0.0136030667204491,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00587580505819861,0,0,0,0.0128377525757052,0,0,0,0,0,0.380250416323158,0,0,0,0,0.112726044310033,0,0,0.0113884516646498,0,0.0268169434321413,0.0402977978177897,0.107310943660566,0,0.0300721166845671,0,0.089014261928058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51324084310727,-0.106663970541286,0,0,0.0308154589866508,0,0.368918993644863,0,0,0,0,0,0,0,-0.157289205436394,-0.0151049256385912,0,-0.368882606357978,0,0,-0.00263090725815252,0,0.108125401363034,0,0,-0.401307868164483,0,-0.118241014611997,0,0,0,0,-0.169723338463504,-0.0484695857898135,-0.0359938940256349,0,0,0,0,0
