,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X600276.SH,X000858.SZ,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X600031.SH,X000338.SZ,X600741.SH,X000568.SZ,X002475.SZ,X601877.SH,X600703.SH,X600271.SH,X000100.SZ,X300124.SZ,X002236.SZ,X000625.SZ,X300003.SZ,X600498.SH,X600487.SH,X002008.SZ,X000661.SZ,X600809.SH,X002007.SZ,X300142.SZ,X000157.SZ,X002179.SZ,X600066.SH,X000596.SZ,X600089.SH,X600867.SH,X600177.SH,X002180.SZ,X600566.SH,X002506.SZ,X600522.SH,X600372.SH,X002456.SZ,X300146.SZ,X002241.SZ,X600118.SH,X002294.SZ,X600699.SH,X000977.SZ,X600183.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.351641705017493,0.104542348318117,0,0,0,0,0,0,0,0,0,0,0,0,-0.0808925260001799,-0.0517541613070031,0,0,0,0.0737522023491412,0,0,0,0,0,0,0,0,0.384141443534904,0,0.02996501847247,0,0,0,0,0,0,0,0.0157681630184907,0,0,0,0,0,0,0,-0.00391475524265886,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,-0.0597455374616497,0,0.186171770826566,0,0.0399033816997049,0,0,0,0,0,0,0,0,0,0,0,0.0587460384661353,0,0.0911712139187311,0.0470670870428405,0,0,-0.0536722069410443,0.0268358866482842,0,0,0,0,0,0,0,-0.123431563111076,0,0,0.207720367409306,0,0,0,-0.0920383809878127,0,0,0,0,0,0.111253537387513,0,0,0.00338545916210714,-0.065354626944064,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0177128634569984,0.0857726118456379,0,0.699235403199218,0,0,0,0,0.0102296022923995,-0.0307986473533895,0,0,-0.00394407353521382,0,0,0,0,0,0,0,-0.0306359566556912,0,0,0,-0.0667506374030828,0.131823588725524,0,0,0,0,0,0,0,-0.137921751669178,-0.00352924323328625,0,0,0,0,0.00576715140374178,0,0
X000651.SZ,0.184828565033571,0,0,0,0,0,0.169231315936654,0,0.178521259435952,0,0.16574395122261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00300760907811313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0147287211704325,0,0,0,0,0.0960807174910547,0,0
X600276.SH,0,0,0.137404744146218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0228491660332567,0,0,0,0,0.454462569694275,0,0,0,0,0,0,0,0,0,0,0,0,0.0095825029769499,0.281569260509581,0,0.0355175272321922,0,0,0,0,0,0,0.049346611497109,0.0395792787481393,0,0,0,0,0.00230675906729096,0.0384452873614124,0,0,0,-0.055364532045828,0,0
X000858.SZ,0.291289041255215,0,0,0,0,0,0.238794989272218,0,0.100062273681579,0,0,0,0.0681699916028654,0.0877443352152704,0,0,0,0,-0.0192238777091634,0,0,0,0,0.0123627489391144,0,0,-0.0329979986323977,0.123307648613336,0,0,0,0,0.10324190218547,0,0,-0.0757640110498287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00502437467789924,0.0265885901997177,0,0,0,0,0,0
X002304.SZ,0,0,0,0,-0.00943428367304858,0,0,0,0,-0.0720468297566687,0,0,0,0.396113963083791,0,0,0,0,0.0818980632291466,0,0,0,0.12044638257876,0,0,0,0,0.182156135492858,0,-0.100041531005104,0,0,-0.0616720323347495,0.446232860022578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0716655744078588,0,0,-1.46708884252843e-05,0.0297161053246078,0,0,0,0.0310445291498967,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0.159220261207776,0,0,0,0,0,0,0,0,0,0,0,0.0557980647518336,0,0,0.0453831960918408,0,0.0429247004112823,0,0,0,0.104068778835997,0,0,0,0,0,0,0,0.0587387997867863,0,0.181097665287702,0,0.0627540755722132,-0.128542273247358,0,0.19877530800416,0.160536743710319,0,0,0,0,0.00290062218965966,0.00352732421196035,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0.242996060671578,0,0,0,0,0,0,0,0,0,0,0,0,0.0164476688004434,0,0,0,0,0,0,0,0.0499301762675097,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.0491157427764458,0.0108561140360206,0,0,0,0,0.523753735239299,0,0,-0.0228115924959634,-0.00796333914874007,0,0,0,-0.0496287241980043,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0461475498160391,0,0,0,0.20602915817879,0,0,0,0,0,0.297209040926566,0.159205882129029,0,0,0,0,0.0615685072791514,0,0,0,0,0,0,0,0,0,0,0.0774135131836062,0.218518075312066,0.0668781415759223,0,0,0,0,0,0,0,0,0.0304411594638341,-0.050296224558919,0,0,0,0.122404278529102,0,0
