,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X000651.SZ,X002415.SZ,X600104.SH,X002304.SZ,X600031.SH,X000661.SZ,X000063.SZ,X000725.SZ,X000568.SZ,X003816.SZ,X000338.SZ,X600809.SH,X600690.SH,X600703.SH,X002241.SZ,X300014.SZ,X000596.SZ,X300142.SZ,X002007.SZ,X000100.SZ,X002371.SZ,X300124.SZ,X300003.SZ,X002049.SZ,X600741.SH,X000157.SZ,X002129.SZ,X600183.SH,X600584.SH,X000800.SZ,X601877.SH,X002236.SZ,X000977.SZ,X002414.SZ,X000625.SZ,X002456.SZ,X300136.SZ,X002179.SZ,X000066.SZ,X002185.SZ,X002463.SZ,X600118.SH,X002008.SZ,X600522.SH,X002294.SZ,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0870286042701661,0.0226496646445104,0,0,0,0,0.106226668734187,0,0,0,0,0.0197666621238979,0,0,0,0,0,0,0,0.131842204266609,0.116592558615697,0,0,0,0,0,0.0573670035416836,0,0,0,0,0.0219863389824478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101973945191668,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0.200931091429458,0,0,0,0,0.164023623440054,0,0,0.347192395710732,0,0,0.124305890985286,0,0,0.08052168095309,0,0,0,0,0,0,0,0,0.0221687125514741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00445027916350827,0,0,0,0,0,0,0
X600276.SH,0,0,0,0.0715160742582852,0,0,0,0.0728166986489422,0,0.278004576228401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0945395485088401,0,0.167658202165846,0.0484972443947904,0,0,0,0,0,-0.0870363835648559,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00814258723690072,0,0,0,-0.00858568397019545,-0.0159231680738263,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0566710997105506,0.0646768470988724,0,0,0.270412576691835,0,0.0944246881158591,0,0,0,0,0,0,0.0461718524247674,0,0,0,0.140878792910818,0,0,0,0,0,0.00178839734486284,0,0.081663762311384,0,0,0,0.0679536098189381,0,0,0,0,0,0,-0.0344921586830101,0.0012008751936586,-0.0278604519773399,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.0841415159450005,-0.0761523319108805,0.0491573570236704,0,0.11191095791348,0,0.0881424000541679,0,0.0675464447619392,0,0,0,0.0598470052334245,0.0167356519222699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0255084099529864,0,0,0,0,0.00748876863530815,-0.00675154183305184,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,-0.232886435130336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149770336359995,0,0,-0.0827308741613667,0,0,0,0,0.33113980909003,0.0614633321229019,0,0,0,0,0,0,0,0,0,0.112878732275292,0.253033797454014,0,0.0832195534493932,0,-0.00967169465676893,0.00930883616222709,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0.0537102053606824,-0.0609737028196892,0,0,0,0,0.248278848442605,0,0.0573279277967437,0,0,-0.104949096849744,0,0,0,0,0,0,0.048748540626906,0,0,0,0.010616453086844,0,0,0.155808930251799,0,0.104500220027763,0,0,0.224711532860833,0,0,0,0,0.0155395433125652,0,0,0.0891545883962124,0,-0.0594476494700608,0,-0.098575171424257,-0.000855599458592701,0,0,0,0,0,0,0
X002304.SZ,0,0.180501346588162,0,0,0,0,0,0,0,0,0,0,0.384092596695575,0,0,0,0.081226543570927,0,0,0,0.0728684845428616,0.116473834440423,0,0,0.0617653349796776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00862332105281062,0,-0.0222965504316446,0,0,0,0,0,0,0,-0.00761088750510411,4.33680868994202e-19,0,0,0,0,0,0
X600031.SH,0,0,0,0,0.102985492694523,0.087282840277808,0,0.0677547455258988,0,-0.00290012850366771,0,0,0.0743255350021421,0,0.146393148501497,0,0,0,0,0,0.0421466659094249,0,0,0,0,0,0.0649357353637103,0.0289481404659172,0.0270933957872778,0,0,0,-0.0427929020935424,0,0,0.00355377511239928,0,0,0,0,0,0,0,0,0,0,0.250116167228065,0,0,0,0,-0.0145072534942763,0,0,0,0,0,0,0
X000661.SZ,0,0,0,0.105905156162899,0,0,0,-0.174786129183173,0,0,0,0,0,0,0,0.0800527793800234,0,0,0,0,0,0.0494432060255328,0.206214075098053,0,0.0783239857782366,0,0.130477083818866,0,0,0,0,0,0,-0.0827980929121469,0,0,0,0,0,0,0.0289550119849344,0,0,0,0,0,0,0,0.00593682871129038,0,0,0.0175167095277631,-0.0251490218344925,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,-0.14036081277471,0,0,0,0,0.0318170130898443,0,0.0224198106732016,0,0,0.0973061763833554,0,0,0,0,0.0701491678921677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201590374354801,0.0681259144935926,0,0.369244003810503,-0.0666179131269726,0.0238614538797739,-0.0397215459376441,0,0,0,0,0,0
X000725.SZ,0,0,0,-0.0915023233499456,0,0,0,0.0588113004248129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323379728861393,0,0,0,0,0.255349545085481,0,0.00344611615042214,0,0.00649080353681855,0,0,0.0424966856826258,0,0,0,0,0,0,0,0,0,0,0,0.0295165248201697,0,0.0454977173476719,0,0.019471954897074,-0.0110820956721917,0,0,0,0,0,0
X000568.SZ,0,0.70823056828274,0,0,0,0,0,0.0178622317970117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0415061836324787,0,0,0,0,0.161630081493212,0,0,-0.0133383210736167,0,0.034661595411036,0,0,0,0,0,0.0462207681894489,0,0,0,0,0,0,0,-0.0682505988325897,0,0,0,0,0.000303134689115418,-0.0172754884814965,0,0,0,0,0,0
