,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000625.SZ,X000858.SZ,X002304.SZ,X600690.SH,X600031.SH,X000063.SZ,X000100.SZ,X600276.SH,X000338.SZ,X000157.SZ,X600372.SH,X600703.SH,X600741.SH,X002241.SZ,X600089.SH,X600066.SH,X600271.SH,X601877.SH,X002236.SZ,X600177.SH,X600118.SH,X002129.SZ,X000550.SZ,X000581.SZ,X600582.SH,X000568.SZ,X000559.SZ,X002475.SZ,X000623.SZ,X300124.SZ,X000800.SZ,X600060.SH,X300146.SZ,X000050.SZ,X002294.SZ,X000400.SZ,X300003.SZ,X000977.SZ,X002292.SZ,X002465.SZ,X600839.SH,X002456.SZ,X000869.SZ,X600166.SH,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0.143588908562835,0,0,0,0,0,0,0.15403953647277,0.128442264001474,0,0,0,0,0,0.0596073079793182,0,0,0,0.0631300218352834,0.111435247502926,0,0.0412004334875677,0.00547377557759759,0,0,0,0,0,0,0,0,0,0,0.0525632478309977,0,0,0,0,0,0,-0.0134204565379071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600519.SH,0,0,0,0,0,-0.0629531664100446,0.0559570455379977,0.191462284909781,0.0360868302241212,0,0,0,0,0,0,0,0,0,0,0,0.0409658787284984,0,0,0,0.0114645442726833,0,0,0,0.00331095085921908,0,0.0801457501728129,0.0703617134059171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0958139945412617,0.0905883136811959,0,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0.287101978972166,0.097793780432649,0,0,0.106741370718987,0,0,0,0,0,0,0.0486498820696908,0.0173579387708624,0.105997534462736,0.111743132105772,0.0770692552776494,0,0,0,0,0.027102585772344,0,0,0,0,0,0,0,0,0,0,0,-0.0479085936374829,0.0726305217035454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0.0878343179644734,0.0560966255861993,0,0.0522814365609964,0,0,0,0,0,0,0.0775252858817912,0.0882684507629566,0,0,0,0,0,0.117710791976533,0.00412391574919533,0,0,0,0,0,0.125413110152914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0858219397050696,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.114169858070813,0,0,0,0,0,0.114450547804051,0,0,0,0,0,0.182641909302304,-0.164107446079767,0,0,0.225715574827236,0,0,0,0,0,0,0.164594897965151,0.244787596916966,0,0,0,0,0.114707358113398,0,0,0.0115684160597061,0,0,0,0,0,0,0,0,-0.0183271030580273,0,0,0,0,0,0
X000625.SZ,0.00893243238286245,0,0.0342887389568978,0,3.46944695195361e-18,0,0,0.224371619269659,0.15183091006892,0,0,0,0,0,0,0,0,0.199902205640375,0,0,0,0,0,0,3.46944695195361e-18,0.0252139204480847,0,0.144067275978508,0,0,0,0,0,0,0,0,0,0,0.109255800943245,0.0781594047133068,0.0929637905379527,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156962312440161,0,0,0,0
X000858.SZ,0,0,0.0173849661709457,0,0,0,0,0.128306477315124,0.0392007045117188,0.089230087740422,0.0713439886301612,0,0,0.0847801194870851,0.0447627412110743,0,0,0,0,0,0,0,0,0,0.0785290054234808,0,0,0,0,0,0.105283045489463,0,0,0,0,0.106657198429118,0,0,0.0160862508284152,0,0,0,-0.0254968737656373,0,0,0.0916095799957855,0,0,0,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0.110194450870692,0,0,0,0.103254360751613,0.100353479558763,0,0,0,0,-0.111540233062278,0,0,0,0.0568708256614219,-0.00315169870719781,0,0.116318800965404,0,0,0,0.3369647473157,0,0,0,0,0,0,-0.0762285016569896,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,-0.236572573200332,0.0361955472880201,0,0,0,0.0521491368253819,-0.0290288530062722,0,0,0,0,0,0
X600690.SH,0.15078725329442,0,0.225974553179389,0,0.00332255213685971,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0950790667721525,0,0,0,0,0.00582870476327862,0.148396625281609,0,0,0.0974645471608701,0,0,0,0.0372952279292046,0,0,0,0.0872439128579947,0.13769949245188,0,0,0.040507562754835,0,0,0,0,0,0,0,0,0,0,0,-0.01339061108257,-0.0249951430030306,0,0,0,0,0,0
X600031.SH,0.0445595244119866,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800904748751684,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.0719387261800278,0,0,-0.108970021750356,0,0,0,0.0240719020583041,0,0.0573938176557383,0,0.102170251780357,-0.0426057317286811,0,0,0,0.0083199201031872,0,0,0,0,0,0,0,0,0,0,-0.010081956429544,-0.0118072811312304,0,0,0,0,0,0
