,X600519.SH,X600104.SH,X002415.SZ,X000725.SZ,X000651.SZ,X600276.SH,X000858.SZ,X002304.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600118.SH,X600031.SH,X600271.SH,X000559.SZ,X000100.SZ,X600372.SH,X600066.SH,X000157.SZ,X002241.SZ,X002292.SZ,X600741.SH,X002475.SZ,X002236.SZ,X600089.SH,X300124.SZ,X000338.SZ,X002465.SZ,X300003.SZ,X600839.SH,X600177.SH,X000568.SZ,X002129.SZ,X002294.SZ,X000547.SZ,X002506.SZ,X002074.SZ,X600867.SH,X000977.SZ,X000800.SZ,X002008.SZ,X300146.SZ,X002223.SZ,X000869.SZ,X002276.SZ,X600498.SH,X600435.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.248653797332925,0.0402281336762386,0.131761121065375,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0530844435808628,0,0,0,0,0,0,-0.00252360538069258,0,0,0,0.143830297867889,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,-0.079839971369681,0.104650271153034,0.00320937528045244,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0.293945449327563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307077128612635,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0180283839068225,0,0,0,0,0,0,0,0,0,0,0,-0.0340717190141706,0.00976010116868422,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.211003996078005,0,0,0,0,0,0,0.252177674400803,0.0278344535177348,0,0.0228625560779503,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0.0101591235155975,0.0319778700551829,0,0,0,0,0,0.257075597432295,0,0,0,0,0,0,0.0287976004586668,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0.184826755467674,0,0,0,8.67361737988404e-19,0.22051155981247,0.0181496340368957,0,0,0,0,0,0,0.0778339874964346,0,0,0,0,0,0.00462847719209149,0.0286864118315519,0,0,0,0,0,0.0269419064934559,0,-3.46944695195361e-18,0,0,0,0.129698922539234,0.0586192551459778,0,0,0,0,0,-0.0238358391572674,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.088285185614329,0.00613960501257551,0.0250052579098033,0,0,0,0,0,0,0,0,0.16400682265418,0,0,0,0,0.0530162661485089,0,0.0305151364283532,0,0,0,0,0,0,0.0447865526846735,0,0.227893856390008,0,0,0,0,0,0,0.0351832451222324,0,0,0,0.107415193600476,0,0,0.0747016518658812,0,0,-0.00206915097314558,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0.042568251715486,0,0,0,0.0212891761170258,0,0,0,0,0,0,0.124472781011384,-0.0410926040165409,0,0.110314249485617,0,0,0,0,0,0,0,0,0,0,0,0.174051489488458,0,-0.0879350281260138,-0.0575952568709176,0,0,0,0,0,0.113397528555279,0,0,0.101977768277638,0,0,-0.0562856640485082,0.126825859061929,0,0,0,0,0,0
X000858.SZ,0,0.027728939485187,0,0,0,0.22146200743385,0,0.232558402231021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00763840993403714,0,0,0,0,-0.164534328731007,0,0,0,0,0,0,0,0,0.114271130855065,0,0,-0.00763836058443353,-0.0707517060827008,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0796923846131862,0.048726970579191,0,0,0,0.249464883651452,0,0.0509141714566268,0,0,0,0,0.0847772175856729,0,0,0.356517290127715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00374927484783878,0,0,0,0,0,0,0
X000625.SZ,0,0.174092740101781,0,0,0,0,0,0.0368333959226592,0,0,0,0,0,0,0,0,0,0.0539291010160771,0,0,0,0,0.0516003325971487,0.185862049103742,0,0,0,0.0639714335473573,0,0,0,0,0,0.0776914818975656,0,0,0,2.16840434497101e-19,0,0,0.165796484093107,0,0,0,0,0,0,0,0,0.00681820119548042,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0877374075315965,0.126641005125218,0,0,0.172472085736199,0,0,0,0,0,0,0.027429480355934,0,0,0.205599497691625,0,0,6.93889390390723e-18,0,0,0,0.0365242235833889,0,0,0.00213100019823683,0,0,0,0.0726460795680073,0,0,0.0604151985765731,0,0,0,0,0,0,-0.00968691524187865,0,0,0,0,0,0,0
