,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X600690.SH,X000568.SZ,X000651.SZ,X003816.SZ,X002475.SZ,X600104.SH,X000725.SZ,X002371.SZ,X000625.SZ,X300124.SZ,X000338.SZ,X002304.SZ,X000596.SZ,X000063.SZ,X600031.SH,X000100.SZ,X000157.SZ,X300014.SZ,X002179.SZ,X600089.SH,X002463.SZ,X600372.SH,X600703.SH,X600741.SH,X002236.SZ,X000977.SZ,X002241.SZ,X600066.SH,X002049.SZ,X002028.SZ,X000921.SZ,X000661.SZ,X600522.SH,X600584.SH,X000800.SZ,X601877.SH,X002129.SZ,X600183.SH,X601799.SH,X600566.SH,X002223.SZ,X002085.SZ,X002007.SZ,X600177.SH,X600060.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.128707694505155,0,0,0.20415594346963,0,0,0,0,0,0.0502692430461585,0,0,0,0,0.0559875541495866,0,0,0,0,0,0,0,0.00245585451388732,0,0,0,0,-0.0396319061976307,0,0,0,0,-0.0605062186359338,0,-0.0378153816304939,0.0607217953914348,0,0,0,0,0.0252740653331155,0,0,-0.0193004761390168,0,0,0,0,-0.00537711217731922,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.509812981813451,0,0,0,0,0,0,0,0,0,0.0912911326040341,0.0359811621794913,0,0,0,-0.026781890403956,0.00616684066813469,0,0,0,0,0,0,0,0.0441108148758427,0,0,0,-0.0264461556209641,0,0,0,0,0,0,0.046377861356175,0.0285517620534652,0,-0.026500468645515,0,0.00259875056732685,0,0,0,0,-0.0457693802021667,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.140404189692235,0,0,0,0,0,0,0.0140777858104113,0,0,0,0,0,0,0.0422126949753194,0,0,0,-0.0602307719911695,0,0,0,0,0.132007692304853,0,0,0,0.0595926074050181,0,0,0,0,0.0658372240692173,0.0490899484154174,0,0,0,0,0,0,0.0126602491407206,0,0,0,0,-0.00880565254728504,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0.188090856158464,0,0,0,0,0,0.0707721688068409,0,0,-0.0227225046428893,0,0.195672840258377,0,0,0,-0.131265203260801,0,0,0,-0.00609735471971618,0,0,0,0,-0.0690079419880416,0,0.174747945603423,0,0,0,0,0,0,0,0,0,0,0,0.0640693510032123,0,-0.00277524467308893,0,0,0.0426296281749607,0,-0.0693572590329958,0.0224869174958052,0.0417770963021814,0,0,0,0,0
X600276.SH,0,0,0,0,0,-0.013264167528943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177610903124349,0,0,0.313769995702472,0,0,-0.152371597517275,0,0,0,0,0.0791661280956956,0,0,0,-0.0779822803263505,0.00136746752348886,0.116421643361127,0.156430699481368,0,0,0,0,0.367106014908832,0.142359504265285,0,-0.0963053977387626,0,0,-0.0314071245222022,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0.246689174644713,0,0,0,0,0,0,0,0,0,0,0,0.0622409053141917,0,0,0,0.0991635909914443,0,-0.110065501410101,0,0,0,0,0,0,0,0,0,0.182664290786689,0.123697287192834,0,0,0,0,0,0.0430523163819773,0.0270518502260507,0,0,-0.0588741384287161,0,0,0.00137378831901176,0,-0.0317914678179022,0,-0.0408367699066585,0,0,0,0,0
X000568.SZ,0,0.700284206317929,0,0.394926709179909,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.00730760746641685,0.0188134246511693,0,0,0.0463735521779419,0,0.10963649673578,0,0,-0.165229164183706,0.0491526873150546,0,0,0,0,0,0,0,-0.00561727525628074,0,0,0,0,0,0,0,0,0,0,0,0.0699211347446777,0,0,0,0,0.00416875579630321,0.0517470743023825,0,0,0,0,0,0
X000651.SZ,0,0,0,0,-0.14689938116221,0.337721084119363,0.113503160554135,0,0.0842723220377395,0,0,0,0,-0.100754374863995,1.38777878078145e-17,0,0,0.0275057014323199,0,0,0.0710654147284732,0,0,0,0.279477093507459,0,0,0,0,0,0,0,0,0,0,0.073600861052852,0,0,0,0,-0.179655103058936,-6.93889390390723e-18,0,0,0,0,4.33680868994202e-19,0,0,2.16840434497101e-19,0,0.0158409426937464,0,0.0201848771088047,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,-0.129977169197715,0,0,0,0,0,0,0,0,0,0,0,0.290044300016073,0,-0.0316716169333559,0,0,0,0,0,0,0,0,-0.168570512653692,0,0,0.043606598249799,0,0,0.144576906440689,0,0,0,0,0,-0.0323565444553284,0,0,0.290906170974143,0,-0.0132674758150553,0,0,0.0889013036172585,0,-0.0255326571836569,-0.092353533625521,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018829748866163,0,-0.0461592333973773,0,0.0744201608463777,0,0,-0.0327403694408039,-0.0816403412871395,0,0.274811267568447,0,0,0,0,0,0,6.93889390390723e-18,0.318580702948622,-0.0345476116282268,0,0,0,0,0,0.0665394418596193,0,0,0.0735829363557491,0,0.186648627878501,0,0,0.00861896608684553,0,0,0,0,0,-0.0194128964718374,-0.302847756553165,0,0,0,0,0
