,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000625.SZ,X000858.SZ,X002304.SZ,X600031.SH,X000063.SZ,X600690.SH,X600276.SH,X600372.SH,X000338.SZ,X000157.SZ,X600741.SH,X002241.SZ,X600089.SH,X600703.SH,X000100.SZ,X601877.SH,X000623.SZ,X600118.SH,X000581.SZ,X002236.SZ,X000550.SZ,X000568.SZ,X000559.SZ,X600066.SH,X000050.SZ,X600271.SH,X600177.SH,X002475.SZ,X600839.SH,X002294.SZ,X000869.SZ,X000400.SZ,X002456.SZ,X000800.SZ,X300124.SZ,X002129.SZ,X600435.SH,X002292.SZ,X002465.SZ,X002007.SZ,X300003.SZ,X002038.SZ,X600809.SH,X600252.SH,X300146.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X000338.SZ,0,0,0,0.0924192291234859,0,0,0,0,0,0,0.079210224598358,0,0,0,0,0,0,0,0,0,0,0.00209498605650605,0,0,0,0,0.0511555588493423,-0.00823613141169584,0,0,0,0,-0.0296128498217428,0.0809199885426641,0,0,0,0,0,0,0,-0.104771118687097,0,0,0,-0.0568551907168008,0,0,0,-0.00996081702361171,0,1.0842021724855e-19,-0.0194178945826246,0,0,0,-0.0523526994691225,0,0
X000157.SZ,0,0,0,0,0,0,0,0,0.0601937822849482,0,0,0,0,0,0,0.204001806495555,0,0.0143595865392946,0,0.0357620456405084,0,0,0,0,0,0,0,0,0,0,0.162616799441334,0,0,0.042134418671763,0,0,0,0,0,0.0434859370325785,0,0,0,0,0.0238235180178988,0,0,0.0166016636169091,0,0.0144710744851468,0,-0.000379206605909025,0,0,0,0,0,0,0
X600741.SH,0.0888161995554193,0,0,0,0,0,0,0,0,0,0.0684504421117216,0,-3.46944695195361e-18,0,-3.46944695195361e-18,0,0,0.150888783132695,0,0,0,0.0614892958032125,0,0,0.0809931179341861,0.00914667917672569,0,0,0,-1.73472347597681e-18,0,0.0329334306031721,0,0.0625380216206334,0,0,0,0,0,0,0,0,0,0,0,0.0519724484591419,0,0,0,0,0,-0.0185778841929706,0,0,0,0,-0.0562163158836598,0,0
X002241.SZ,0,0,0,0.066533946951779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0789590808608548,0,0,0.119479997390237,0,0,0,0,0.111193708465073,0.118155694850311,0.0059169962691113,0,0.073626262294799,0,0,0,0.00520040587360527,0,0,0,0,0.0143931426398866,0,0,0,0,-0.0236095314238202,0,0,0,-0.00283015140664354,-0.0381697682924185,0,0,0,0,0,0
X600089.SH,0,0,0,0,0.0485703715862539,0,0,0,0,0,0,0,0.0318878876624631,0,0,0.279308390199289,0.0950228645435353,0,0,0,0,0,0,0,0.103401724211727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425969234882226,-0.0235676404126579,0,0,0,0,0,0.143355377248609,0,0.00112962278877159,0,0.000579375889744924,-0.00561336013930514,0.101206257818545,0,0,-0.0383311174084816,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0146109075284346,0.078784482676823,0,0.140540220019271,0,0,0,0,0.000885440050636534,0,0,0,0.006462997959255,0.0904766395565569,0,0.00370795336762873,0,0,0,0,0,0,0,0,0,0,0,0.0560792690769325,0.0746055135372292,0,0.102793624902771,0,0.0952958365875001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000100.SZ,0,0,0.11739051767242,0,0,0,0,0,0.139336282137385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270050620025438,0,0,0,0,0,0,0,0,0,0,0,0.118699095609401,0,0,0.0235655470996445,0.103745078080358,0,0,0,0,0,0,0,0.0162461267069467,0,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,0,-0.189249885919959,-0.042172667035238,0,0,0,0,0,0,0,0.0941952107167165,0,0,0,0,0.0564327482920895,0,0,0,0,0,0,0,0,0.083139129219746,0.00402543896772276,0,0,0,0,0,0,-0.154759927756937,0,0.150033344640235,0,0,0,0,0,0,0,0,0,0,-0.00943575272449188,0,0,0,0,0,0,0
X000623.SZ,0,0,0.302361814153078,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.210122798361264,0,0,0,0,0,0,0,0,0,0,-0.13333536432746,0,0,0.101819512555441,0.399573973016049,0,0,0,0,0,0,0.162831496318947,0,0,0,0,0.0635391795835487,0,0,0,0,0.347549384795068,-0.179655756316029,0,0.014541793220821,-0.00607351384286802,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.276779924765856,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,-2.16840434497101e-19,0,0,0,0,0,0.198600388151411,0,0,0,0,0,0,0,0,0,0.0351341821273002,0.182167946606587,0.256313797689684,0.0473509447681966,0,0,0,0.00566108825178615,0,0.0428671083706499,0,0.016784772896803,0,0,0,0,-0.0645481985298702,0,0
