,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600703.SH,X600741.SH,X600066.SH,X002241.SZ,X000568.SZ,X002236.SZ,X600031.SH,X600271.SH,X000100.SZ,X600118.SH,X002475.SZ,X600177.SH,X002292.SZ,X002456.SZ,X000338.SZ,X000559.SZ,X600372.SH,X000157.SZ,X002007.SZ,X300003.SZ,X002074.SZ,X002506.SZ,X002180.SZ,X600522.SH,X600867.SH,X300124.SZ,X002085.SZ,X002294.SZ,X600498.SH,X600089.SH,X002426.SZ,X600487.SH,X601877.SH,X002508.SZ,X002249.SZ,X600418.SH,X000050.SZ,X000981.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.237597457769609,0,0,0,0,0.167111231071394,0,0.0221603773812445,0.0334452981604682,0,0,0.0550454866319281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148530591002086,0,0.0469690855406054,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000445097736982865,0.0125404672676401,0,0,0,0.10007129411659,0,0,0,0,0,0,0
X600104.SH,0.138380549793942,0,0.00829243976472027,0,0,0,0,0,0.499340165773189,0,0,0,0,0,0.0626826337152225,0,0,0,0,0,0,0,0,0,-0.0601485101554649,0,0,0,0,0,0,0,0,0.0247515927194601,0.0683837519330541,0,0,-0.044914513872686,0,0.0834133828676766,0,0,-0.0675203445723569,0,0,0,0,0,0.0572298551483098,0,0,-0.0498028718490796,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0530249188687266,0,0,0,0,0,0.0156166710843988,0,0,0,0,0.203408872203758,0,0,0,0,0.0696764917495184,0.140254187537145,0,0,0,0.0208582967781895,0,0,0,0,0.0337472536452222,0,0,0,0,0,0,0.52341927332948,0,0,0,0,0.0498842480625111,0,0,0,0,0.16334823308894,0,0.0507332728751486,-0.0745563452556084,0,0,0,0,0,0
X000651.SZ,0.0231440238513329,0,0,0,0,0,0,0,0.00338838743319191,0,0,0,0,0,0,0,0.0110052998917396,0,0,0,0,0,0,0,0.0737680920287292,0,0,0,0,0,0,0,0,-0.0257734528848324,0,0,0,0,0,0,0,0.0100160862645807,-0.0609395658823395,0,0,0,-0.0941386441680148,0,0,0,-0.0216683355351247,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.0405678582386303,0,0,0.104004712955395,0,0,0.0455756503484026,0,-0.0236459667712091,0.628500914425863,0,0,0,0,0,0,0,0,0,0,0,-0.0360220720668704,0,0.104663391520565,0,0,0.0229724098345929,0.0382656268724956,0,0,0,0,0,0,0,0,0,0,0,0,0.149267814955013,0,0,0,-0.0275457963140874,0,0,0,0,0,0,0
X600276.SH,0.193615080824867,0,0.155917312837621,0,0,0,0,0,0,0,0,0,0.000433437933345414,0,0,0.00393347508800146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0885284117883454,0,0,0,0,0,0.0396872693164216,0,0,-0.109783241599537,0.105724927854379,0,0,0,-0.0434939881231895,-6.93889390390723e-18,0,0,-0.0503198775274085,0,0,0,0,0,0
X002304.SZ,0.00356583968886631,0,0,0,0.709828433024611,0,0,0,0,0,0,0,0,0,0.0245341216150957,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.0855544088313087,0,0,0,0,0,0.0345368403813526,0.00744529968413969,0,0,0,0,0,0,-0.0296853585833107,0,0.0209356100677101,0,0,0.00828614156124639,0,0,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,-0.0176813579158589,0.150145801056283,0,0,0,0.0478735576050591,0,0.16457211178003,0,0,0,0,0,0,0,0.0292445266903552,0,0.0941995466231161,0,-0.0359291057371015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0155271179203581,0,-0.0787050536038293,0,-0.0258549181374687,0,0,0,0,0
X000625.SZ,0,0.149187089998622,0,0,0,0,0,0,0,0.0337658791420405,0,0,0.127026533634231,0.069850480231151,0,-4.33680868994202e-19,0,0,0,0,0,0,0,-0.0223620007143034,-0.0166797006111171,0,0,0.0063414456928998,0,0,0,0,0,0,0.0526446661079663,0,0,0,0,0,0,0,0.097812267013828,0,0,0,0,0,0.00890560709006038,0,0.000836943091307799,0,0,0,0,0,0,0
X600690.SH,0,0.0521627368183581,0.0715980926097577,0,0.0979591085048178,0,0,0,0,0,0,0,0.0558113613927388,0.050597000599491,0.0152313321685327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138808929939774,0.0114270669936944,0,0,0,0.0576179563262071,0,0,0,0,0,0.0374274730654446,0,0.0070391186732309,0,0,0,0,0,0,0,0,0.0808214789318233,0,0,0,0,0,0
