,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600276.SH,X600809.SH,X002304.SZ,X600690.SH,X002475.SZ,X000651.SZ,X000063.SZ,X002371.SZ,X300124.SZ,X003816.SZ,X600104.SH,X000725.SZ,X000596.SZ,X300014.SZ,X600031.SH,X002129.SZ,X000625.SZ,X000338.SZ,X600703.SH,X002179.SZ,X600089.SH,X002049.SZ,X000100.SZ,X002236.SZ,X600372.SH,X000661.SZ,X000977.SZ,X002241.SZ,X601877.SH,X600584.SH,X002180.SZ,X600741.SH,X000157.SZ,X600702.SH,X600522.SH,X002074.SZ,X000733.SZ,X300003.SZ,X300142.SZ,X600460.SH,X002007.SZ,X002294.SZ,X300146.SZ,X002156.SZ,X000800.SZ,X002028.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.102131837357584,0,1.73472347597681e-18,0,0.025855131930179,0,0,0,0,-0.0561675173029424,0.00593665086341483,0,0,0,0,0.0815209003758464,0.0688074898569294,0,-0.0104328912590497,0.0176836328620878,0,0,0,0,0,0,-0.00637636335609792,0,0,0,0,0,0,0,0,0,0.049326101162711,0,0,0,0,0,0,0,0,0.0529197543840908,0.00596132905243836,0,0,0,0,-0.0812262328918661,0,0,0,0,0,0
X000858.SZ,0,0,0,0.211500769258454,0.00236037255015038,0.0728063376864084,0.0193700301639067,0,0,0,0.00562242377786431,0.00752112668564856,0,0,0,0,0.0938243914268471,0,0.086727852670944,0,0,0,0,0,0,0.00406851234968272,0,0.00104119437787059,0,0,0,0,0,0,0,0,0,0,0,0.00208168625838854,0.00867955534612876,0,0,0,0,0,0,0,0,0,0,0,-0.0519717355541681,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,-0.050876176506074,0,-1.73472347597681e-18,0,-0.104055863272501,0,0,0,0,0,0.133579429770719,0,0,0,0,0,0,0,0,0,0.141752586047959,0,0,-0.0355372608501342,0.0791959936275442,0,0,0.323735204289976,0,0,0,0,0,0,0,0.00395502782869235,0,0.31370554203929,0,0,0,0.143458318246683,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0.442447572626248,0,0,0,0,0,0,0,0,-0.00711397116528996,0,0,0,0,0,0,0,0.0162296535667766,0,0,0,0,0,0,0,0,0.0890972387497898,0,0,-0.00032116069183235,0,0,-0.0172170004998534,0,0,0,0.200412441036144,0,0.0832077452576126,0,0,0,0,0,0,0,0,0,0,0,0,-0.0369772474820475,0,0,0,0,0,0
X600276.SH,0,0,0.135153804898163,0,0,0.0479817838974083,0,0.0245310574873067,-0.0120593734227211,0,0,0.0237887903097984,0,0,0,0,-0.0473091398082129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298798654684284,0,-0.0134244423536428,0.31270629893724,0,0,-0.0198562106435725,0,0.175869120009333,0,0.0328020933848691,-0.0237256243555201,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0.119344684438438,0,0,0.0903928471261498,0.0248356644817982,0,0,0,0,0,0,0,0,-0.11384837659422,0,0,0.367420883105832,0,0.00597720797664798,0,0,0,0,0,0,0,0,0,-0.20561895994892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124130145343578,0.282197778784634,-0.045549500005764,0,0,0,0,0,0,0
X002304.SZ,0,0,-0.0209581116598166,0,0,0.10714276042531,0,0.114019277421962,0,0,-0.0423000933191222,0,0,0,0,0,0,0,0,0,-0.0296748436699399,-0.098675695993348,0,0,0,0.00156203975961925,0,-0.0234275851839091,0,0.0435005225078396,0,0,0,0,0,0,0,0.141376528967419,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0292969740337368,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0.120868897216233,0,0,0.244810586357856,-0.197184398642882,0,0.183206751152671,0,0,0.125557614010858,-0.568483434096848,0,3.46944695195361e-18,0.0395785132016253,0,0,-0.0982915434735647,0,0,0,1.73472347597681e-18,-0.0145521610596126,0.0964865428683718,0,0,0,0,0,0,0,0,0,0,0,0,0.149723765236151,0,0,0,0,0.109063075386739,-1.73472347597681e-18,0,0,0.0683625438159409,0,-0.00742406606898866,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,-0.192794953945505,0,0,0,0.0497941328519287,0.00836494253116939,0,0,0,0,0,0,0,0,0.184094700587401,0,0,0,0,0,0,0,0.0267948679101807,0,0,0.0336000231485782,0.227375393996316,0,0.0858413692875987,0,0,0,0,-0.01673802833038,0,0,0,0,0,0.160724256882921,0,-0.183279677758918,0.092150453175042,0,0,0,0.00476007392309254,8.67361737988404e-19,0,0,0,0,0,0
X000651.SZ,0,0,0.00406244833172192,0.156139566564047,0,0,0,0,0,0,0.107189389885011,0,0.163241214878564,0,0.0450503864961624,0,-0.148334939481495,0,0,0,0.276077912877575,-0.54537071290646,0,0,0,0.0335863194470515,0,0,0.126304416080188,0,0.064391089839705,0,-0.205754101558952,0,0,0,0,0,0,0,0,0,0.0369848394654725,0,0,0,0,0,0,0,0,-0.0115980390162679,-0.00738942001036727,0,0,0,0,0,0
