,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X002475.SZ,X002304.SZ,X600690.SH,X600104.SH,X300014.SZ,X002371.SZ,X000651.SZ,X000725.SZ,X600031.SH,X300124.SZ,X600703.SH,X002241.SZ,X000625.SZ,X002129.SZ,X000063.SZ,X003816.SZ,X002049.SZ,X000338.SZ,X000596.SZ,X601877.SH,X002179.SZ,X000661.SZ,X600460.SH,X000100.SZ,X600089.SH,X300142.SZ,X002074.SZ,X600741.SH,X002236.SZ,X000799.SZ,X000733.SZ,X600884.SH,X601799.SH,X600779.SH,X600702.SH,X000157.SZ,X600584.SH,X002414.SZ,X600183.SH,X600522.SH,X600563.SH,X002007.SZ,X000800.SZ,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.414663267921605,0,0.0434936163745463,0,0.16519791281146,0,0,0,0,0,0,0,-0.0675409978850303,0,0,0,0,0,0,0,0,0,0,0,0.0465515978799445,0,0,0,0,0,0,0,0,0,0.017710542507332,0,0,0,0,0.0213446689915838,0,0,-0.0168266809582116,0,-0.0640965905712806,0,0.0567287436189693,0,0,0,0,-0.00887664710406511,0,0,0,0,0,0
X000858.SZ,0,0,0,0.35109370499351,0,0,0,0,0,0,0.105971135395097,0,0,0,0,0,0,-0.0951146422227561,0,0,0,0,0,0,0,0,0,0.117306516536906,0,0,0,0,0,0,0,0.149340636029814,0,0,0,0.0718192901273968,0,0,0,0,0,0,0,0,0,-0.0219790152201514,0,-0.00156071596388438,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0.00946808413025013,0.198946239177719,0,0,0,0,0,0,0,0,0,0.0319139577584204,0,0,0,0,0,0,-0.0387561849621344,0,0,-0.00122212546599362,0,0,0.14376934235711,0,0,0,0,0,0.0521193814780143,0.0381835105071263,0,0,0,0,0,0,0,0.064749212417234,0,0,0,0,2.16840434497101e-19,0,0,0,0,0.0208402631338441,0,0
X600809.SH,0,0.21468502790386,0,0,0,0,0,0.0210198519804135,0,0,0,0,0,0,0,0.062065768293163,0,-0.0641175168496625,0,0,0,0,-0.0493280280100921,0,-0.0234633661452033,-0.0131208084704364,0,0,0.0856651572104931,0,0,0,0,0,0,0.534636739725306,0,0,0.124819113327196,0,0.02260087987133,0,0,0,0,-0.0150410290733815,0,0,0,0,0,-0.0250320791737126,0,0,0,0,0,0,0
X600276.SH,0,0,0,0.183970881588228,0,0,0,0.0936164480464513,0.0465922094029678,0,0,0,0,0,0,-0.0777617848490042,0,0,0.122971775246061,0,0,0,-0.0738268071748462,0,0,0,-0.0129728819473033,0,0,0,0,-0.0389282477119918,0.114757878941449,0,0,0.338289356930697,0,-0.345113325182959,0,0,0,0,-0.0410404566325175,0,0,0.0330736319692322,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0.0315833289853917,0,0
X000568.SZ,0,0.366517326151439,0,0.237434432818021,0,0,0,0,0,0,0,0,0,0,0,0,-0.00210216534737932,0,0,0,0,0,0,0,0.00967074877989025,0,0,0.0630550334249357,0,0,0,0,0,0,0,0.0902849567959683,-0.0252013120192611,-0.0386552146626144,0,0.0178902582999027,0,0,0,-0.0963484225915768,0,0,0,0,0,0,0,0.0544408729431253,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0852702742698206,0,0,0,0,0.0835674696471219,0.166770082125971,0,0,0.189442600698842,0,0,0,0,0,0,0,0,0.0261210830767197,-0.249313406780962,0,0,0,0,0,-0.0171048482518095,0,0.111267802754188,0.0773867334638042,0,0,0.0409920020839578,0,0,0,0,0,0,0,0,-0.00917452747315977,0,0,0,0,0.0729047165336283,0,0
X002304.SZ,0,0.050319185130899,0,0.128830630340166,0,4.33680868994202e-19,0,0,0.0884403456792074,0,-0.0118770762130812,0,0,0,0,0,0,0,0,0,0,-0.130590510326784,0,0,0.144776378221966,0,0,0,-0.050926907301135,0,0,0,0,0,0,0.272716833417522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185523856675239,0,0,0,0,-0.0486200249262033,0,0
X600690.SH,0,0,0.156858379387057,0,0,0,0,0.0117763338302324,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0585781611875154,0,0,0,0,0,0,-0.0368497217598234,0.26900003486434,0.0474167952530271,0,0,0,0,0,0,0,0,0.0722694721586832,0,0,0,0,0,0,0.0545298813410427,0,0,0,0.0470123419547786,0,0.00789921287407417,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0809876350419553,0.0281249961836986,0,0,0,-0.0326743832622849,0,0,-0.0111232429407377,0,0,0.0121319236831995,0,0,0,0,0,0,0.0141267795695408,0,0,0.0407277483345332,0,0,0,0,0,0,0.143020303385445,-0.0605742369718747,0,0.0344836312466852,0,0,0.0133933361554154,0.0606746810307349,0,0,0,0,0,0
