,X600519.SH,X000858.SZ,X000651.SZ,X600104.SH,X600276.SH,X002415.SZ,X002304.SZ,X000063.SZ,X000725.SZ,X600690.SH,X000568.SZ,X600031.SH,X002475.SZ,X000338.SZ,X600741.SH,X000596.SZ,X000661.SZ,X601877.SH,X600809.SH,X600703.SH,X000100.SZ,X300003.SZ,X600271.SH,X002236.SZ,X300124.SZ,X002008.SZ,X002007.SZ,X000625.SZ,X300142.SZ,X000157.SZ,X600487.SH,X002179.SZ,X600177.SH,X002456.SZ,X300146.SZ,X600498.SH,X002506.SZ,X000977.SZ,X600066.SH,X002241.SZ,X600867.SH,X000050.SZ,X600522.SH,X002371.SZ,X600566.SH,X600089.SH,X600776.SH,X600183.SH,X600372.SH,X002129.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.211506911203772,0,0,0,0,0,0.0703254160593603,0,0,0,0,-3.46944695195361e-18,0,0.00722285290793606,0.116464371740257,0,0,0,0,0,0,0,0,0,0,0,0,0.0772929451736805,0,0,0,0,0,0,0.0390421725165921,0,-0.0481227163753002,0,0.0476510344537322,0,0,0,0,0,0,0,0,0,0.00501561647554956,0,0.0202257115165219,-0.0168628183357668,0,0,0,-0.0501253920222923,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0.184171716849156,0,0,0,0,0,0,0,0,0.363124416857143,0,0,0,0,0.174763623969471,0,0.0661801470994043,0,0,0.0401707124311531,0,0,0,0,0,0,0,0,0.036040258245606,0,0.0674335778444022,0,0,0,0,0,0,0,0,0,0,0,0,0.0509897711293816,0,0,0,-0.0234071593261614,0,0
X000651.SZ,0,0,0,0,0,0,0.0594021673890176,0,0,0.261226658359953,0,0.159250020450899,0,0.190320025827385,0,0.0593233260736022,0.0386181016804368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0574855509896514,-0.0230053468203607,0,0,0,0,0,0,0,0,0,-0.00168987247321836,0,0,0,0,-0.0985474350692212,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0.0904636784534779,0,0.0620206590614835,0.16280733755778,0,0.00662256533193466,0,0,0,0,0,0,0,0,0,0,0.180379161083288,0,0,0,0,0,0.0883796114610934,0,0,0,0,0.01315160601406,0.0674934688229119,0,0,0,0,0,0,0,0,0,0,0,0.0103616578800606,0,0,0,0,0.0616033986326004,0,0
X600276.SH,0,0,0,0,0,0,0.109902429232433,0,0,0,0,0,0.00110071414834409,0,0.0826576629513327,0.0708561493659618,0.0190785489148238,0,0,0,0,0.111337208276669,0,0.0462065826878478,0,0,0,0,0.0890974966699144,0,0,0,0,0.0635108577499893,0.0522630727965647,0,0,0,0,0,0,0,0,0,0,0,0.012654207595753,0,0,0,0,0.00289829287402921,0,0,0,0,-0.0538868963274144,0,0
X002415.SZ,0,0,0.0753467206261767,0,0,0,0,0.0496203094221251,0,0,0,0.0178493490219009,0.0658243658201714,0,0.0732816551598267,0,0,0,0.0155931758982367,0,0,0,0,0.299414166130059,0,0,0,0,0,0,0,0,0,0.0217095684609183,0,0,0,-0.00993319634636466,0,0,0,0,0,0,0.02733245502983,0,0,1.38777878078145e-17,0,0.0115927734826673,0,-0.0294526649899778,0,0,0,0,0,0,0
X002304.SZ,0,0.0533183433158937,0.195957268332424,0,0,0,0,0,0,0,0,0.0848223729824264,0.0465773359817544,0,0,0.163386311567256,0,0,0.183420290776199,0,0,0,0,0,0,0,0.0320622494206952,0,0,0,0,0,0,0,0.0257510228485574,0,0,0.00849004498948483,0,0,0,0,0,0,0,0,0.0383316435378333,0,0,0,0,0.0138744337494836,-0.00427291821280713,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125378899664299,0,0,0,-1.73472347597681e-18,0,0,0,0.0625706401449847,0,0,0.172101122463257,0,0,0,0,0.125507083487586,0.137380428873845,0,0,0,0,0,0,0.0380932651840483,0,0,0.177352177024564,0.0499938619234793,0,0,0,-0.0535407097885209,-0.100887802500285,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0.00343826549851186,0,0,0,0,0,0,0,0,0,0,0,0,0.212178852048353,0,0,0,0,0,0,0,0,0,0.0953218981795164,0.0297890287177117,0,0,0,0,0,0,0.089939817901197,0,0,0.257127310306379,0,0,0,0,0,0.100577871189853,0.0529480757438335,0.163081643917775,0,-0.0723392765622457,0,0,0,0,0.0643765692439216,0,0
X600690.SH,0,0.262052677980859,0,0,0,0,0,0,0,0,0,0,0,0.0234789942643632,0.0360267506629841,0,0,0,0,0,0.00117856800035636,0,0,0.133146141352893,0,0,0,0.12523361116132,0,0.134281409083477,0,0,0.0357897339203592,0.0550428248233542,0,0,0,0.0373191841587489,0,0,0,-0.0563118722785934,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0.00778288236796035,0,0
