,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X000651.SZ,X600031.SH,X002475.SZ,X000568.SZ,X002304.SZ,X600809.SH,X600690.SH,X600104.SH,X000725.SZ,X000338.SZ,X000661.SZ,X300014.SZ,X000063.SZ,X300124.SZ,X003816.SZ,X600703.SH,X000157.SZ,X000100.SZ,X002241.SZ,X000596.SZ,X002371.SZ,X000625.SZ,X002129.SZ,X600741.SH,X002007.SZ,X601877.SH,X002179.SZ,X002049.SZ,X002236.SZ,X300142.SZ,X600584.SH,X002414.SZ,X600183.SH,X300003.SZ,X000800.SZ,X601799.SH,X000066.SZ,X000977.SZ,X002008.SZ,X002074.SZ,X000799.SZ,X600089.SH,X600177.SH,X600118.SH,X000050.SZ,X002294.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.190997728566204,0.0492413456786879,0,0,0,0,0.176117911974542,0.0636221116734941,0,0,0,0,0,0,0,0,0,0,0,0.0314548676236006,0,0,0,-0.0829668326681796,0,-0.0319161347866489,0,0,0,0,0,0.0032200630290544,0,0,0,0,0.0713439507651486,0,0,0,0,0,0,0.0155014485107915,0,0,0,0,0,0,-0.0240020569430279,-0.000149469274936575,0,0,0,0,0,0
X000858.SZ,0.0823796046325337,0,0,0,0,0,0,0.280169371121082,0.166144503108934,0.102404317046537,0.00862695247343389,0,0,0,0,0,0,0,0,0,0.0102567066499702,0,0,0.0586884892007661,0,0.0810151015988552,0,0,0,0,0.0259748123584496,0,0,0,0,0,0,0,0,0,0.0141202477684575,0,0,0,0.0628824595066724,0,0,0,0,0,0,-0.00269360170388522,-0.0155236158023802,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.0769023924874513,0,0.067461996695727,0,0.0456111445923632,0,0,0,0,0.0956075021768814,0,0,0,0,0,0,0.0346132286584677,0,0,0,0,0,0.143189785624648,0,0.04885503662508,0,0.414518417298095,0,0,0,0,0,-0.141210578160262,0,0,-0.0296577978530431,0,0,0.0768959788819337,0,-0.0825895444323721,0,0,0,0,0,0.00896126607962571,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0.0244258198190749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0430628962695729,0,0,0,0,0.055163363213581,0.164099804732012,0,0,0,0,0,0,0,0,0.0417064051569202,0,0,0,0,0,0,0,0,0,0.219015458943527,0,0,0.00554135780817105,0,0,0,-0.0443695135080831,0,0
X000651.SZ,0,0,0,0,0,0,0,0.0515777646349977,0,0.0984540027801308,0.0952736725691655,0,0,0,0,-0.120566172324063,0,0,0,0.0236531808290443,0.125766331604251,0,-0.0506482990590602,0,0,0,0.144464752399692,0,0,0.0505268449611851,0.134254765611747,0,0,0.0241330259531451,0,0,0,0,0,-0.037733863992735,0,0,0,0,0,0,0,0,0,-0.0668491466637881,0,0.0113241229983972,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0.0489046940809868,0,0,0.175885157955915,0.260366714697284,0,0,0,0,0,0,0,0,0.0942023162472596,0.207363771077674,0.0086291442508779,0,0,0,0.0236974372626291,0,0,0,0,0,0.0821541363132951,0,0,0,0,0,0,0,0.268416330812783,0,0,0,3.3881317890172e-21,0,-0.0165009927942824,0,0,0,0,0,-0.00943937317433236,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0.0282612593218493,0,0.0266466622822375,0,0,0,0,0,0,0,0,0.107421967951309,0,0.293118920085794,0,0,0,0,0,0.134860465980762,0,0,0,0,0,0,0,0.0534986310621854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0140523264997442,0,0,0,-0.0701924314959666,0,0
X000568.SZ,0,0.626777292760268,0.0259271932168396,0,0,0,0,0,0,0,0,0,0.0231254837744061,0.00329204527987563,0,0,-0.0213409282344811,0,0,0,0,0,0,0.0318336392979462,-0.0448960579042733,-0.1217272677946,0,0,0.0422836343492691,0,0,0,0,0,-0.0445043699508487,0,0,0,0,0,-0.0623943081687873,0,0,0,0.320756683414335,0,0,0,0,0,0,0,-0.0202557658499704,0,0,0,0.0198754256056893,0,0
X002304.SZ,0,0.134046134855011,0,0,0,0,0,0.0655131164941682,0,0.100138468104383,0,0,0,-0.0592894504093691,0,0,0,0,0,0,-0.0245644193329126,0,0,0,0,0,0,0,0,0,0,0,0.0349972969273001,0.005100286017653,0,0,0,0,-0.0564118563579171,0.0817152139262197,0,0,0,0.137233465071072,0.127891228910057,0,0,0,0,0,0,-0.0420644627009745,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.166293611110421,0,0,0,0,0.291095936181243,0,0,0,0,0,0,0.0191339985262176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.070289262841765,-0.0561454831538426,0,0,0,6.93889390390723e-18,0,0,0,0.13499464874753,0.165537594348075,0,0,0,0,0,0.204385840273826,-0.0412356806843704,-0.014687160617537,0,0,0,0.141933705213573,0,0
