,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600031.SH,X600741.SH,X600703.SH,X000568.SZ,X002475.SZ,X600066.SH,X002241.SZ,X600271.SH,X002456.SZ,X002236.SZ,X000338.SZ,X002085.SZ,X600118.SH,X600177.SH,X000157.SZ,X002292.SZ,X600372.SH,X000559.SZ,X300124.SZ,X600867.SH,X002007.SZ,X002180.SZ,X300003.SZ,X002294.SZ,X002506.SZ,X600498.SH,X600089.SH,X002074.SZ,X600522.SH,X601877.SH,X000981.SZ,X002426.SZ,X000550.SZ,X002508.SZ,X002465.SZ,X000050.SZ,X600566.SH,X000869.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.16310176483405,0,-0.0121270101313025,0.0643433851669976,0,0.00819527063853862,0,0,0,0,0,0,0,0.159493844489261,0,0,0.129517846043332,0,0.0239700186488039,0,0,0,0,0.0360493649103926,0,0,0,0,0,0.0692847999122285,0,0,0,0,0,0,0,0,0.117918496502899,0,0,-0.0643389118024859,-0.0448747226777796,0,0,0,-0.0417409948376403,0,0,0.0419634441495288,0,0,0,0,0,0,0
X600104.SH,0.113621867987675,0,0,0,0,0.0737464848035445,0,0,0,0,0,0,0,0,0,0,0,0.053435781880434,0,0,0.0375193786111604,0,0,0,0,0,0,0,0,0,0.147989112976415,0,0.0166046361995727,0,0,0,0.0578876901464793,0,0,0,0,0.121216846855943,0,-0.110008102958205,0,0,0,-0.187032462104583,0,0,0.0130897692807485,0,0,-0.0492659936469009,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,-0.00224653667015808,-0.163722769767021,0,-0.242716338866541,0.098431899629202,0,0.385275681243124,0,0,0,0.0408420183332404,0,0,0,0.0627796761131401,0.0157034321879113,0,0,0,0,0,0,0,0,0,0.2664007623804,0,-0.0558123408416653,0,0,0,0,0.116054781423955,0,0.0486087963401557,0,0,0.3022553328313,0,0,0,0,0,-0.00721742570607577,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0381973296991996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0217974386140908,0,0,0,0,0,0,0,0.194666749105685,0.0607558362369353,0.115584939403249,0.0622525585797424,0,0,0,0,0,0,-0.0381929601589654,0.0835273116769384,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146079454255379,-0.000154539506612631,0,0,0,0,0,0,0.00285281942031892,0,0,0,0,0.190480271565492,0,0,0,0.110181583260071,0,0,0,0,0,0,0.216309739293255,0.0941108528018377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00672059207330498,0,-0.00363390388242866,0,0.0425655726826097,-0.0190115691493123,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18647227954286,0,0.0141219098349534,0,0.073746063148931,0,0.0855381617678671,0.0725929680100019,0,0,0,0,-0.120670422296983,0.262238133101588,0,0,0.0250559001281826,-0.0142166294464234,0,0,0,0,0,0
X002304.SZ,0.273125361260247,0,0,0,0.128229827178236,0,0,-0.0250172497352428,0,0,0,0,0.117025553924507,0,0.0448759438872155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136363566353439,0,0.0336493219874261,0,0,0,0,0,0,0.172912279581861,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0.0147239687943211,0.0971816019388527,0,0,0,0,0,0,0,0.0866785130095521,0,0,0,0,0.0989304395347529,0,0,0,0,0,0.0122686154614038,0,0,0,0,3.46944695195361e-18,0.0638450039208178,0,0,0,0,0.111451005224106,0,0.138782573379011,0,0,0,0,0,0,-0.0370522451231353,-0.0174743730803155,-0.0461270066631022,0,0,0,0,0
X000625.SZ,0,0,0,0,0.088013306592274,0,0,0,0,0,0,0,0,-0.112971616925496,0,0,0.0858560515715656,0,0,0,0,0,0,0,0,0,0,0,0.0593032090533402,0,0,0,0,0,0,0,0,0,0,0,0.0531800515377968,0.0394344459630663,0.165935596056494,0,0,0,0,0,0,0,0.0485907696560672,-0.00391156878763256,0.00502634981106885,0,0,0,0,0
X000063.SZ,0,0,0,0.0375456669628493,0,0,0,0.149806714407897,0,0,0.007666413973977,0.0289822906024126,0,0,0.0208089286698277,0,0,0.0380075770385947,0,0,0,0.160750308772475,0.0345981497491418,0,0,0,0,0,0.0526098667892804,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.0773766954511639,0,-0.0690704503085047,0,0.0217012921297578,0.147239382240326,-0.00615089200694553,0,0,0,0,-0.0722925622760587,0,0,0,0,0,0,0
X600690.SH,0,0,0.0189646277510715,0,0.0604457994978931,0,0,0,0,0.122252736734132,0,0.093249283964263,0,0,0,0,0,0.0332186687703979,0,0,0.0385330110941178,0,0,0,0.408401075664917,-0.0523458164989884,0,0,0,0,0,0,0.0251257245665113,0,0,0.0866790930067196,0,0,0,0.0040769339371539,0.0657522083583897,0,0,0,0,0,0,0,0,0,0.0105988666936416,0.0563027061559559,0,0,0,0,0,0
