,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002304.SZ,X600690.SH,X002475.SZ,X600276.SH,X600104.SH,X300014.SZ,X000651.SZ,X000625.SZ,X300124.SZ,X002129.SZ,X600031.SH,X000725.SZ,X002371.SZ,X003816.SZ,X000596.SZ,X000063.SZ,X002049.SZ,X002241.SZ,X000338.SZ,X600703.SH,X002179.SZ,X600089.SH,X000661.SZ,X601877.SH,X600741.SH,X002074.SZ,X300142.SZ,X600522.SH,X002180.SZ,X000733.SZ,X600460.SH,X600702.SH,X600884.SH,X000100.SZ,X000799.SZ,X000157.SZ,X002236.SZ,X601799.SH,X600584.SH,X000800.SZ,X002176.SZ,X002414.SZ,X600779.SH,X002007.SZ,X600563.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0545193602192783,0.138544066909818,0.0706784590986606,0,0.0603554974818806,0,0,0,0,0,0,0,0,0,0,0,0.0676038718219187,0,0,0,0,0,0,0,0,0,0,-0.0137207770244646,0,0,-0.0237792390736976,0,0.0597648151829314,0.0497354542241306,0,1.73472347597681e-18,0,0,0.0501106964743829,0,0,0,0,0,0,0,0,-0.0116598815476078,0,0,0,0.00619069242757819,0,0,0,0.0250465403917449,0,0
X000858.SZ,0.0330337232687887,0,0,0.409388638604012,0,0,0,0,0,0,0,0,-0.000378006159052452,0,0,0,0,0,0,0.0821575299004825,0,0,0,0,0,0,-0.00971374156312312,0,0,0,0,0,0,0,0,0,0,0,0,0.139489807243364,0,0,0,0,0,0,0,0.188581159416362,0.00726415622902459,0,0,-0.0102308239503821,0,0,0,0,0,0,0
X600809.SH,0,0.363992151854759,0,0.016662019929534,0.048227009050256,0,0,0.0072842814559048,0,0,0,0,-0.010032476970751,0,0,0,0,0,0,0.155812546554955,0.0109570953614321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00328570057364485,0,0.366997341972071,0,0,0,0,0,0,0,-0.0564971325606937,0,0,0,0,0,0,0.0206007101288828,0,0,-0.114031210468642,0,0,0,0
X000568.SZ,0,0,0,0,-0.0346575924057596,0.158753972513043,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00777345914621666,0,0,0,0,0,0,0,0,0,0,0,0,0.00985063242772736,0,0,0,0.269967668799882,0,0,0.323723369885148,0,0,0,0,-0.0409401092506756,0,0,0,-0.00857898875716817,0,0,-0.00224657043933753,0.0586371495343578,0.127181510804948,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.432057324040208,0,0,0,0,0,0,-0.219957863025996,0.15884809065138,0,0,0,0,0,0,0,0,0,0,0,0.0764324727403146,0,0,0,0,0,0,0,0,-0.0704319445966971,0,0.0553470885124692,0,0,0,0,0.707747525296546,0,0,0,0,0,0,0,0,0,0.0658266296381032,0.132678436141513,0,0,0,0,0,0
X002304.SZ,0,0.0407111109513685,0,0.0868697315401399,0,0,0.143310325017744,0.0268399279851453,0.0175394304137935,0,0,0,-0.0286165186130939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0332485056224262,0,0.32178280744469,0,0,0,0,0,0,0,0,0,0,0,0,0.0268565286097362,0,0,0.00730783487858967,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0.116225863602922,0,0,0,0,0,0.128824208624447,0,0,0,0.116134430648743,0,0,0,0,0.0668613851669631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197798623443221,0,0,0,0,0,0,0.154837604678385,0,0,0,-0.00815917966271991,0,-0.0134798529264069,0,-0.0393647938412673,-0.0164806868882542,0,0,0,-0.134517620925197,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.0615408088195883,0,0.15139250330704,0.137206949278325,0,0.292790031340609,0,0,0,0,0,0,0,-0.0226017168513512,0,0,0,0,0,0,0,0,0,0,0.21728779665137,0,0,0,0,0,0,0,0.136486720082072,0,0.0228815486580923,0.0110241401361264,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.111837093011938,0.0914295921271919,0,0,0,0,0.0706523462259296,-0.203317621568891,0,0,0,0,0,0,0,0.032019537072985,0,0,0.131680417298061,0,0,0,0.0203325112467097,0,0,0,0,0,0,0,0.124973335754362,0.095712975850798,0,0,0,0,0,0.177618007303526,0.0743900433978309,0,0,0.160749474867318,0,0,0,0.0440535155376362,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,-0.0320872527178896,0,0,0,0,0,0,0,0.105721840838961,0,0,0,0,0,0,-0.0199777592571389,0,0,0,0,0,0,0,0,0,0.179721263724649,0,0.00203394025785904,0,0,0,0,3.46944695195361e-18,0,0,0.0673788162604463,0,0,0.062166962510948,0,0.11340005169694,0,0,0,0,0,0.00380213627035678,-0.0106800865597948,-0.00913033612736202,-8.67361737988404e-19,0,0,0,0,0
