,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X600703.SH,X000568.SZ,X002475.SZ,X600741.SH,X000338.SZ,X000063.SZ,X600031.SH,X300003.SZ,X002236.SZ,X600809.SH,X002008.SZ,X600271.SH,X601877.SH,X600867.SH,X002456.SZ,X000596.SZ,X300124.SZ,X600487.SH,X000100.SZ,X600066.SH,X000625.SZ,X600566.SH,X002294.SZ,X300136.SZ,X000977.SZ,X000661.SZ,X002179.SZ,X002180.SZ,X002241.SZ,X600498.SH,X000157.SZ,X000981.SZ,X000050.SZ,X002007.SZ,X300142.SZ,X002049.SZ,X600522.SH,X000869.SZ,X002508.SZ,X600779.SH,X600177.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.286959416965312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166364409452193,0.01505878785951,0.0504590622069311,0,0,0,0,0,0,0,0,0,0,0,0,0.0249405426276855,0,0,0,0,0.0175140333702427,0,0,0,0,0,0.0148476437396256,0,0.084296869706106,0,0,0,0,0.0185032121999753,0,0,0,0,0,0,0
X600104.SH,0,0,0,0.111333248704494,0,0,0,0,0,0,0,0,0.221011781755397,0,0,0.159636904720247,0,0,0,0.00113534669908789,0,0,-0.0905016509509137,0,0,0.0820493784963929,-0.116777531305072,0,0,0,0,0,0.0382220385961362,0,-0.00557714871993783,0,-0.135583122202265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0260791801023452,0.0262052804245615,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0.00162695614334565,0,0.0202148331056392,0,0,-0.129109972055457,0,0,0.169800533392593,0,0,0,0,0,0.00650330112304716,0,0,0.114147739358064,0,0,0,0,0,0.102979968826386,0,0.0200857237641548,0,0,0,0,0,0,0,0,0.0511366164025695,0,0,0,0.122141044305421,0,0,0.00900551226676148,0.0177172200280416,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.138673502610568,0.0874754985098362,0.0234764121705313,0,0.169849403616828,0,0,0.0584299242606955,0,0,0,0,0,0.12881213842594,0,0.032575918689419,0,0.146529770544726,0,0,0.239256382919356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114556667400653,-0.00692734740941034,0,0,0,0,0,0
X000651.SZ,0.334799862324286,0,0,0.457712459225555,0,0,0,0,0,0.385994955842807,0,0.100145994753954,0,0,0,0,0,0,0,0,0,0,-0.00610243252217008,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.162510352742299,0,0,0,-0.00589251864114595,0,0,-0.158710796829167,0.0229110530042047,0,0,0,0.031128713382737,0,0,-0.0211881589840909,0,0,0,0,0.129210630562948,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0.156737245086819,0,-0.0427191782327893,0,-0.00726404661286664,0.131409536406058,0,0,0,0,-0.0552929412110942,-0.0376097475063097,0,0,0,0,0,0,0,0,0.15527675765006,0.168202395745234,0,0,0.116654389849604,0,0,0,0.0253509357625175,0,0,0,0.00174361062523859,0,-1.0842021724855e-19,0,0,0,0.185663806814048,0,0,0.0140575948234186,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.258990732280573,0,0,0,0,0.19975939033751,0,0.129855446734292,0,0,0.133712756595272,-0.106779716268786,0,0.146040000100459,0,0.152685663382189,0.0512652010183142,0,0.118271357338596,0,0,0,0,0,0,0,0,0,0,0,0.02770950953175,0,0,0,0,0,0,0.00972139469127585,0,0,-0.0752238705475439,0,0,0,0,0.110067542974453,0,0,0.0164966298565358,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0.0949157563712443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.166319163952864,0,-0.0115759339070941,0.161059298262695,0,0,0.110277496962599,0.191036081066066,0,0.00118294325375841,0.111295996725614,0.150252321551356,0,0,0,0,0,0.00902016988401057,-0.019479383445246,0,0,0,0.0767574570019223,0,0
X600690.SH,0.0368120148110811,0,0,0.305808142312308,0,0,0.193360715184008,0,0,0,0,0,0.0086875467283517,0,-0.00743051235961728,0,0,0.121182981744348,0,0,0.031926323592101,0,0,0.126782127250384,0,0,0,0,0,0,0,0,0,-0.114479274182319,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,-0.00453093277925989,0,0.0730314650615274,0.084480290328655,0,0,0,0,0.0181582266053673,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0.0859349574931604,0,0,0,-0.302538160976727,0,0,0,0,0,0,0,0,0.0455717919290008,0,0,0.453559049694597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111685752201252,0,0,0,0.0708190391538153,0,0.0372976208300166,0.24043797968574,0,0,0.00684188204962854,-0.00281438491226638,0,0,0,0.0723509499538477,0,0
