,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X000725.SZ,X002304.SZ,X000858.SZ,X600276.SH,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600118.SH,X600031.SH,X000100.SZ,X600271.SH,X600372.SH,X000157.SZ,X002292.SZ,X002236.SZ,X002241.SZ,X600066.SH,X600741.SH,X002475.SZ,X000338.SZ,X600089.SH,X600177.SH,X601877.SH,X002129.SZ,X000559.SZ,X000016.SZ,X000568.SZ,X300003.SZ,X600435.SH,X000547.SZ,X002465.SZ,X002294.SZ,X300124.SZ,X600839.SH,X600582.SH,X000550.SZ,X002276.SZ,X000066.SZ,X600252.SH,X002456.SZ,X000800.SZ,X000869.SZ,X002007.SZ,X000581.SZ,X002498.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0849901059813569,0,0,0,0.218884063503508,0,0,0,0.141975551033513,0,0,0,0,0,0,0,0,0,0,0.0483149433017857,0,0,0.0665373820119941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0065556124101678,0,0,0,0,0,0,0,0,0,0
X600104.SH,0.418926013436966,0,0,0,0,0.0497323406692059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0655276316366708,0.195095050700629,0,0.036748036614308,0,0,0,0,0,0,0,0,0.0875700811913835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.078115903117217,0.0167476333081719,0.0248887034807028,0,-0.0370801963466251,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0.0732884830868389,0,0,0,0,0,0.0662851636848836,0.0169854184754704,0,-6.93889390390723e-18,0.0114876139385386,0,0,0,0,0,0,0.098747658726431,0,0,0,0,0.0142865759481069,0,0.452744381205515,0,0,0,0,0,0.0439239297793615,0,0,0,0,0,0,-0.0181956687264788,0,0,0,0,0,0,-0.0285197961826135,0.00103580635660616,0,0,0,0,0,0
X002415.SZ,0.0233722611036116,0,0,0,0,0,0,0,0,0,0,0,0.152000909243303,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174442397014712,0,0,0,0,0,0,0,0,0.170171937510073,0,0,0,0,0,0,0.0822293814421442,0,0,0.0478326393777327,0,0,0,0,0,-0.028952558432769,0.0132997856615648,0,0,0,0,0,0
X000725.SZ,0,0,0,0.0912361816568321,0,0,0,0,0,0,0,0.190498929030955,0.144084258320876,0,0,0,0,0.133971085642034,0,0,0,0,0,0,0,0,0,0,0,0.0622042388036053,0,0.0180448881833111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136031365799167,0,0,0.00323145631433231,-0.00359143622184408,0,0,0,0,0,0
X002304.SZ,0,0.186271579464566,0,0,0,0,0.406740321072009,0,0,0,0,0.0298236890476039,0,0,0,0,0,0,0,0,0.00991598072067177,0,0,0,0,0,0,0,0.0147955825786032,8.67361737988404e-19,0,0,0,0,0,0,-1.0842021724855e-19,0.0102714473821635,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0028783627836671,0.0365835339121572,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.274312867416213,0,2.16840434497101e-19,0,0,0,0,0.00873948493895885,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136409568583103,0,0,-0.0208993656253401,0,0.578195764694755,0,0,0,0,0,0,0.070697196542416,0,0,0,0,0,0,0,0.032572566945607,0,0,0.0348146751072312,0,-0.00369365881168134,0.0271903020042611,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0.0500106470628776,0,0,0,0.0789647129294902,0,0,0,0.0567439300694307,0,0,0,0,0.132955313982888,0.201064281485407,0,0,0.11487235569107,0.0666583572433704,0,0,0,0,0.0550382040999227,0,0,0,0,0.0657513933917878,0,0,0,0,0,0,0.0498067082176713,0,0,0,0,0,0,0,0,0.0183041338109361,0,0,0,0,0,0
X000625.SZ,0,0,0.0825038088622581,0,0,0,0.0505927289876012,0.0593121673633439,0,0,0,0,0,0,0.0981629421339373,0.0043937874950453,0.0552625324175981,0,0,0,0,0,0.217015674765957,0,0,0.0377176738792381,0,0,0,0,0,0.0646028385497551,0,0,0,0,2.16840434497101e-19,0,0,0,0.031112148037175,0,0,0,0,0.0204101466005773,0.0114434374773248,0,0,0,0,-0.000356063092694169,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0.0549295329039287,0,0,0,0,0,0,0,0,0.160158880086277,0,0,0,0,0,0,0,0,0,0.0378141476060866,0,0,0.426345159686744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031522378890541,0,0,0,0,0.14574827292118,0,-0.0268319631885433,-0.0263760080099491,0,0,0,0,0,0
X600690.SH,0,0,0.0237752398722124,0,0,0.0311355884449558,0,0,0.098548949376391,0,0,0.0524931022388585,0,0,0.0499977911067601,0,0,0.113206421591905,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155692867126505,0,0,0,0,0,0.0588944267372852,0,0,0.0586178262947243,0,0,0,0,0.0409975815414228,0,0,0,0,0,0.015022481853897,0,0,0,0,0,0,0
X600703.SH,0,0,0,0,0.0352888434883282,0,0,0,0,0,0,0,0.196805571474316,0,0,0,0,0,0,0,0,0,0,0,0.0022267887817164,0,0,0,0,0,0,0,0,0,0,0,0,0.218215750963913,0,0,0,0,0,0.101284502867651,0.159272955180951,0,0,0,0,0,0,-0.0256695913030681,-0.0160543965895611,0,0,0,0,0,0
X600118.SH,0,0,0,0,0.144325115572653,0,0,0,0,0,0,0,0,0,0,0,0.17587537601166,0,0,0,0,0,0,0,0,0,0,0,0,0.0120565215220886,0,0,0,0.573569673983056,0,0,0,0.0604803399357732,0,0,0,0,0,0,0,0.0307233338203933,0,0,0,0,0,0.036655861995719,-0.0198008031559391,0,0,0,0,0,0
X600031.SH,0,0,-2.16840434497101e-19,0,0,0,0.0212336209582944,0,0,0,0,0,0.251873574405542,0,0.0322718341190583,0,0,0.0606476119183265,0,0,0,0,0.0514806108633868,0,0,0,0,0,0,0.204567115829666,0,0,0.0378766628945921,0,0,0,0,0,0,0,0,0,0,0,0,0.0163272309820198,0,0,0,0,0,-0.0155560842487631,0.00499646459419328,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0,0,0,-0.0166545715831559,0,0.165772736952764,0,0,0,0.185884091615144,0,0,0,0,0.104389700649289,0.020410946171873,0,0,0.129052304126998,0,0.0372168213873499,0,0,0,0,0,0,0,0,0,0.0886844270848386,0,0.184205243766514,0.0157274305130775,0,-0.0416201540125673,0.0306315698444758,0.0120582883466965,0,0,0,0,0,0,-0.00744736105173678,0,0,0,0,0,0
X600271.SH,0,0,0,0,0,0,0,0.0105511153927722,0,0.113851992163894,0,0.00491380712853436,0,0,0,0,0,0,0,0,0,0,0.0308512171252391,0,0,0.0370275556796041,0,0,5.42101086242752e-20,0.335411857915885,0,-5.42101086242752e-20,0.0115900352108176,0,0,0,0,0.00943930207424054,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0171531619973887,0,0,0,0,0,0,0
X600372.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0848618075080905,0,0,0.0437979486826827,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256344030277745,0,0,0,0.190842476454339,0,0.156191092539486,0,0.000638765807627734,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00197965779402577,0,0,0,0,0,0,0
X000157.SZ,0,0,0,0,-0.0228621214374274,0,0.285037858999962,0,0,0,0,0,0,0.475125052559611,0.0554294538711785,-0.0782683472619483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00102981387240303,0,0,0,0,0,0,0,0.061693433869046,0,0,0,0,0,-0.0122765392710074,0.0276471963124143,0,0,0,0,0,0
X002292.SZ,0,0,0,0,0,0.0428374913575263,0,0,0,0,0,0,0,0.00163411296637423,-0.100811770409167,0.021565108263339,0,0,0,0,-0.0247589487787366,0,0,0.0161684815182006,0,0,0,0,0,0,0,0,0.00756564715013829,0,0,0,0,0,0,0,0,-0.0280605965126612,0,0,0,0,0.0200983175086013,0,0,0,0,0.0165822637095093,-0.0248221815618776,-0.0140778213399769,0,0,0.0854801952731304,0,0
X002236.SZ,0,0,0,0,0,0,0,0.102088977140072,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0.10687803020146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0204202238679473,0.143310031491983,0,0,0,0,0,0,0.444498993139148,0,0,0,0.0125564339285517,0,0,0,0,0,0,0
X002241.SZ,0,0,0,0,0,0,0,0,0,0.0902157695276885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160659079899351,0.0328752026406194,0.0654070805927154,0,4.33680868994202e-19,0.0409836739423005,0.133904563312476,0,0,0,0,0,0,-2.77555756156289e-17,0,0.00432062968657715,0.112959472084222,0,0,0,0,0,0,0,0,0,0
X600066.SH,0,0.2889851846028,0,0,0,0,0,0.109155952332951,0,0.10273513051708,0,0,0.127280252956495,0,0.33039143018292,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.0529849510278687,0,0,0,0,0,0,-0.126159204072756,0,-0.00646536078194885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600741.SH,0,0,0,0,0,0,0,0.219551708818204,0,0,0,0,-2.16840434497101e-19,0,0.0229420010648815,0,0,0.20118835628684,0,0,0,0,0,0.0241995248443301,0,0,0.0171215259798439,0,0,0,0,0,0,0,-0.0184791877849954,0,0,0,0,0,0.079365795786265,0,0,0,0,0.260829271271444,0,0,0,0,0,-0.00181997314964297,-0.00756581776476524,0,0,0,0,0,0
