,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X000568.SZ,X600703.SH,X002475.SZ,X600741.SH,X000338.SZ,X002236.SZ,X300003.SZ,X600031.SH,X002008.SZ,X600809.SH,X300124.SZ,X002456.SZ,X600867.SH,X601877.SH,X600271.SH,X600066.SH,X000625.SZ,X600487.SH,X002294.SZ,X000100.SZ,X000596.SZ,X600566.SH,X002241.SZ,X000661.SZ,X300136.SZ,X000981.SZ,X300142.SZ,X000050.SZ,X002508.SZ,X002180.SZ,X002007.SZ,X002179.SZ,X000157.SZ,X002038.SZ,X600522.SH,X000869.SZ,X600498.SH,X000977.SZ,X600177.SH,X002049.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.073601316009726,0.245497616216189,0.0728349415531463,0.120190095255417,0,0,0,0.0639767608953441,0,0,0,0.0523823585814054,0,0,0,0,0,0.104328518793879,0.00895089918898595,0,-0.0308606575227207,0,0,0,0,0.00249945821920908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0050178315389303,0,0,0,0,-0.011128543857343,0,0,0,0,0,0,0
X600104.SH,0,0,0,0.0930015081589486,0,0,0.349804017163237,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0.0361697864431822,0,0,0.0195524814630324,0,0,0,0,0,0.0589374118343575,0.106976038473668,0,0,0,0,0,0,0,0,-0.0736578736783508,0,0,0,-0.0270410961520955,0,-0.0357959776305354,0,0,-0.0386753300458172,0,0,0,0,0,0
X002415.SZ,0.00195014616229381,0,0,0,0,0,0.140585992858525,0,0,0,0,0,0,0,0,0.162761151392659,0.0377355643877361,0,0,0,0,0,0,0.0693091613297966,0,0,0,0.267794144034024,0.0154759335311585,0,0,0.141292414395162,0.168569927178444,0,0,-0.130284185644581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0133014722162806,-0.0037629958873869,0,0,0,0,0,0
X000858.SZ,0.131443287551436,0,0,0,0.146692565950672,0,0.0690191107078364,0,0,0,0.176862118385769,0,0,0.111162541327225,0,0.118448940413852,0,0,0,0.110965744889466,0,0,0,0,0,0,0,0,-0.0875047725824576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0168902575458374,0,0,0,0,0,0,0,0,-0.00275706420385393,0,0,0,0,0,0
X000651.SZ,0,0,0,0.418941143833686,0,0,0,0,0,0.180351644414121,0,0.115364920239601,0,0,0,0.0510927619739694,0,0,0,0.0483633681453912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23010994296635,0,-0.0855935946872438,-0.0340813227707773,0,0,0,0.121869910324093,0,0,-0.0634050276501704,0,0,0,0.0373857681822287,0.0774564870707484,0,0,0,0,0,0
X600276.SH,0,0,0,0.0281561821590296,0,0,0,0,0,0,0.12852719819246,0,0,0,0,0,0.29600054087141,0,0,0.0781015639046937,0,0,0,0,-0.0987623185941241,0,0,0,0.153992992407198,0,0,0.253985199155081,0,0.116235041071546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0586187055127508,0.0185345540424234,0,0,0,0,0,0
X002304.SZ,0,0,0.156896094803632,0.0147960337752561,1.38777878078145e-17,0,0,0,0,0.216479056966637,0.139041837774931,0,0,0.1571215704942,0,0,0,0,0,0.0351028236450652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0551829411747411,4.33680868994202e-19,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0.000121494337211363,0,0.032769169627047,0,0,0.0664205488516127,0,0,0,0,0,0.111927627960102,0,0,0,0,0,0,0,0,0,0.0731533197468586,0,0.0732859598536152,0,0,0,0,0.0350272993214784,0,0.146715492771621,0,0,0,0,-0.173542436748875,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,-0.00294950518712294,0.0287412769306085,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0857630578886059,0,0,0,0,0,0,0.00764965418463054,0,0,0,0,0,0.263759419570773,0,0,0,0,0.0417700176757134,0,0,0.073096534009609,0,0,0.0596001623303509,0.275848997980083,0,0,0,0,0.0900478933225036,0,0,0.0385262553967947,0,0,0.0273414606765576,0,0.0232872875721546,-0.0320465963861911,0,0,0,0,0,0
X600690.SH,0,0,0,0.502644811610968,0.0600434260695597,0,0.093467009424444,0,0,0,0,0,0,0,0,0,0,0,0,0.0921892322891542,0,0,0,0,0,0.00759480163251363,0,0,0,0,0.00268984771999533,-0.0206211630509161,4.33680868994202e-19,0.0196352820100761,0,0.108248833507638,0.0166180069528814,0,0,0.0102488120244613,-0.0528283670365645,0,0,3.46944695195361e-18,0,0,0,0.0102339007890241,0,0,0,-0.01498971456594,-0.0198875974248174,0,0,0,0,0,0
