,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X000651.SZ,X000568.SZ,X600809.SH,X600690.SH,X600031.SH,X002475.SZ,X002304.SZ,X600104.SH,X000725.SZ,X000661.SZ,X300124.SZ,X000338.SZ,X003816.SZ,X000100.SZ,X300014.SZ,X000063.SZ,X000157.SZ,X600703.SH,X000596.SZ,X002241.SZ,X002129.SZ,X600741.SH,X002371.SZ,X000625.SZ,X002236.SZ,X002179.SZ,X601877.SH,X002007.SZ,X300142.SZ,X002049.SZ,X600584.SH,X002414.SZ,X600183.SH,X000799.SZ,X601799.SH,X300003.SZ,X000800.SZ,X600707.SH,X002074.SZ,X002008.SZ,X300146.SZ,X000066.SZ,X600089.SH,X000977.SZ,X600460.SH,X002294.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.212015091663149,0,0,0,0.162801135708014,0,0.0901647379948632,0.0557994485047588,0,0.00589427393141927,0,0,0,0,0,0,0,0,0,0.0654826706035073,0,0,0,0,0,-0.12570732482714,0,0,0,0,0,0,0,0,0,0,0.0444374797698689,0,0.0248272240480239,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.0111406325865016,-0.0268557935168717,0,0,0,-0.00265353933768921,0,0
X000858.SZ,0.0471898804705317,0,0,0,0,0.325231617818783,0.176105852229279,0,0,0,0.107240946553009,0,0,0.00291194736828926,0,0,0,0,0,0,0.0162343014505313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0915095676822456,0,0,0,0.0208328194636249,0,0,0.0157667837600265,0,0,0,0.0283279194685752,0,0,-0.0126496001563612,-0.0139704901335485,0,0,0,-0.0347879416312361,0,0
X002415.SZ,0,0,0,0,0,0.0453663546044691,0,0.120873393915016,0,0,0.0837201633718956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298351667679198,0,0,0.206570464600695,0,0,0,0.18486517096319,0,0,0.0272804279958096,0,0,-0.032580209563494,0,0,0,0.0357267983788346,-0.0229434132145889,-0.152870051899032,0,0,0,0.0526051788732328,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0.0242866813688589,0.0463953628036147,0,0,0.0406755777637305,0,0,0,0,0,0,0,0,0,0,0.0705985857923201,0,0,0,0,0,0,0,0,0.152378114853083,0,0,0,0,0,0,0,0,0.0473615034732113,0.0567162405411734,0,-0.00389477912300925,0,0,-0.149876240662232,0,0,-0.0140195953507281,0,0.0558180017883029,0,0.00116740251149649,0,0,0,0,-0.00935157232212277,0,0
X000651.SZ,0,0.0176337411326041,0,0,0,0,0,0.207278096809575,0,0,0.0750245727561382,0,0,0.0354254105422299,0,0,0,0.0972524696763108,0,0,0,0,0,0,0.12538451621994,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0684069407828202,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,-0.0693321964245217,0.0424938728202883,0,0,0,-0.0418240031896335,0,0
X000568.SZ,0,0.234261535282546,0.0108548478875095,0,0,0,0.0960676238037883,0,0,0,0,0,0,0,0.0237970603765728,0,0,0,0.14631966030314,0,0,-0.164404934976751,0,0,0,0,0,0,0,0,0,0.0922695295248697,0,0,0,0,0,0.247487302339635,0,0,0,0,0,0,-0.0443099832003712,0,0,0,0,0,0,0,-0.0539751362970962,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,-1.38777878078145e-17,0,0.00494618426980479,0.267696571522504,0.103248417221282,0,0,0,0,0.0538757739825216,0,0,0,0.0646738009934815,0,8.67361737988404e-19,0,0.222829913951382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13754951954351,0.130372493500568,0,0,0,0,0,0,0,0,0,0,0,0.0341443578556424,0,-0.0729916610116218,0,0,0,-0.0235268769391607,0,0
X600690.SH,0,0,0.160017179707556,0,0.33774222022319,0,0.218044713921702,0,0,0,0.0530878185375923,0,0,0.132953622679365,0,0,0,0,0,0,0,0,0,0,-0.0860180505959312,0.0604272947479526,0,0,0,0.059077438772855,0,0,0,0,0,0,0,1.38777878078145e-17,0.0182176580928131,0,0,0,0,0,0,0,0,0,0,0.187145115276176,0,0.00873412643363511,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0.278938358910855,0,0,0,0,0,0,0,0.0538824187135055,0,0,0,-0.125641551254474,0,0.0520290081832301,0.0629080644374616,0,0,0.345271965264615,0,0,0.0462342397938883,0,0.129103684692282,0,0,0,0,0,0,0,0,0.0938745985951113,0,0,0,0,0,0,0,0,0,0,0,0,-0.0252228893273548,0,0,0,0,0.0713462410435637,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0824127507719164,0,0,0.0495658809172523,0,0,0.0957323119894713,0,0,0.523196490066458,0,0,0,0,0,0,0,0.0227462401246162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0157500369915333,0,0,0,0.00295820203250916,0,0,0,0.0023416852789738,0,0
