,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600809.SH,X002475.SZ,X600276.SH,X600690.SH,X002304.SZ,X600104.SH,X300014.SZ,X000651.SZ,X600031.SH,X000725.SZ,X300124.SZ,X002241.SZ,X002371.SZ,X600703.SH,X000338.SZ,X000063.SZ,X003816.SZ,X000596.SZ,X002129.SZ,X002049.SZ,X000625.SZ,X000661.SZ,X601877.SH,X002179.SZ,X300142.SZ,X002074.SZ,X000100.SZ,X600741.SH,X600089.SH,X600702.SH,X600460.SH,X000799.SZ,X002236.SZ,X002180.SZ,X000157.SZ,X600779.SH,X601799.SH,X600522.SH,X002008.SZ,X000733.SZ,X002414.SZ,X600584.SH,X600884.SH,X600183.SH,X002007.SZ,X600563.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.471452607154422,0,0.156843609292487,0,0,0,0,0,0,0,0,0,-0.0775880370005934,0,0,0,0,0,0,0,0.0106785238389698,0,0,0,0,0.0348719539294854,0,0,0,0,0,0.000166584157944396,0.0476708759808399,0,0,0,0,0,0,0,-0.0217969896088469,0,0,0,0,0.024029865506207,0,0,0,0,0,-0.00725437578573261,0,0,0,-0.0234268341308773,0,0
X000858.SZ,0.0513470977878691,0,0,0,0.426448023314063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0516225465334768,0,0,0,0.30566715354206,0,0,0,0,0,0,0,0.0654457281137326,0,0,0,0,0,0,0,0,0,0,0,0,0.0319579389758892,0,0,-0.0206706629341003,0,-0.00276195874637845,0,0,0,0,0,0,0
X002415.SZ,0,0.0856233139584309,0,0,0,0.0479469803939702,0,0.0815449777238612,0.290433431625691,0,0,0,0,0,-0.00517039191512252,0,0,0,0.0746662603355781,0,0,0,0,0,0,-0.120054889948408,0,0,0,0,0,0,-0.0326823547037938,-0.100625488940346,0,0,0.162357340843919,0,0,0,0,0,0,0.0322079138947143,0.0535177606914043,0,0,0,0,0,0,0.0194300351889875,0,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0.134459209825178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.414551646971756,0,0,0,0.123299327440492,0,0,-0.0641630096035264,0,0,0,0,0,0,0,0,0,0,0.0188755548848466,0,-0.069995417531832,0,0,-0.157941361008466,0,0,0,0,0,0,0,0.042654719468708,0,0,0,0,0,0
X600809.SH,0,0.09728171845161,0,0,0,0,0,0,0.0495641927507816,0,-0.162405604577056,0,0,0,-0.0432363777335888,-0.16499312014807,0,0,-0.147012302882785,0,-0.0894281886496036,0,0,0.0224365612381704,0,0,0,-0.326730034392316,0,0,0,0,0,1.38777878078145e-17,0.261170799182116,0.649007201169315,0,0,0,0,0.0898542048265847,0,0,0,0,0,0.00935025578630058,0,0,0,0,0.0149099352121018,0,0,0,0,0,0,0
X002475.SZ,0.1191638255323,0.0394220996396037,0,0,0,0,0.165747977607486,0,0,0,0,0,0,0,0.151095322225485,0,0.085042042581535,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124280233317066,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0.040893083629405,0,0,0,0,-0.0422027124408115,0,0,-0.0289975897927459,0,0.00697464981168994,0,0,0,0,0,0,0
X600276.SH,0,0,0.0420483374394253,0,0,0.0998489449892383,0,0,0,0,-0.0245941121745975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0794114265523084,-0.0955100563968317,0,0,0.151761856554598,0,0,0,0,0,0,0,0,0,-0.0653394909829022,0,-0.102861400788687,0,0,0,-0.153811859384271,0,0.291576379133364,-0.0327776278252617,0,-0.00959144593260203,0.0275872784058055,0,0,0,0,0,0
X600690.SH,0,0,0.0605891657429654,0,0,0,0.00120564262511341,0,0.0433066140400543,0,0,0,0,0,0,0,-0.13901643693159,0,0,0,0,0,0,-0.0799819839683874,0,0,0,0,0,0,0.230176456607793,0,0,-0.0249471675245135,0,0,0,0,0,0,0,0,0,0,0,0,-0.00394303037484066,0,0,0,0,0.00349732621522684,0,0,0,0,0,0,0
X002304.SZ,0,0.210396889496184,0.0803684112981263,0,0,0,0,0.193484412272071,0,0,0,0,-0.0977720046829711,0,0,0,0.0521703896915734,0.0933416144880462,0,0,-0.122938702501159,0.0305806469008376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24806736624929,0,-0.12290163847962,0,0,0,0,0,0,0,0,0,0,-0.0096053710148394,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197041055608161,-0.129700680246445,0,0,0,0,0,0,0,0.0924968619672825,0,0,0,-0.00689626965374474,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0303637957311109,0,0,0,0,0,0,-0.0977406412996803,0,0,0.0407781590417124,0,0,0,-0.0578971079673819,0,0
