,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000625.SZ,X000858.SZ,X002304.SZ,X600276.SH,X600690.SH,X000063.SZ,X600031.SH,X600372.SH,X000338.SZ,X000157.SZ,X600741.SH,X002241.SZ,X600089.SH,X600703.SH,X000100.SZ,X002236.SZ,X601877.SH,X000581.SZ,X000550.SZ,X002475.SZ,X000559.SZ,X600118.SH,X000050.SZ,X000623.SZ,X000568.SZ,X600271.SH,X600066.SH,X002294.SZ,X600839.SH,X002129.SZ,X002456.SZ,X300124.SZ,X300003.SZ,X000869.SZ,X000400.SZ,X600177.SH,X002007.SZ,X000800.SZ,X600867.SH,X002292.SZ,X600435.SH,X002038.SZ,X000977.SZ,X002465.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0.00316355568918036,0,0,0,0,0,0,0,0,0,0.539671387713667,0,0,0,0,0.0105584887122392,0,0,0,0,0.0242603378138371,0,0,0.128587707201655,0,-0.243385920415286,0,0,0,0,0.155211578327637,0,0,0.248322775716196,0,0,0,0,0,0,0,0,0,0.0594206553362521,0,0,-0.00132738533346597,0.00256968275958049,0,0,0,-0.0616667137553599,0,0
X600519.SH,0,0,0.113942892051886,0,0,0,0,0.282055059821643,0,0,0,0,0,0,0,0.0186565840820966,0,0,0,0,0,0,0,0.139779845262897,0,0,0,0,0,0,0,0,0,-0.0463891119937272,0,0,0,0,0,0,0,0,0,0.0473981797687843,0,-0.0210244898536632,0,0,0,0,0,0,-0.0331026218697085,0,0,0,-0.180072343742412,0,0
X000725.SZ,0,0.034055697119643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.385406244981206,0.112520449811104,0,0,0,0,0,0,-0.0585645672220691,0,0,0,0,0,0,0,0,0,-0.151385699121123,0,0,0,0.040914862178217,0,0.0294057195626204,0,0,0,0,0,0,0,0.0194150787197254,-0.0280216656685588,0,0,0,-0.0343327448484545,0,0
X000651.SZ,0,0,0.147703707611824,0,0,0,0,0,0,0.177170202057608,0,0,0,0.00314629140522338,0,0,0,0,0,0,0,0.228500635048542,0,0.0464797735389125,0,0,0,-0.0527394403628964,0,0,0,0,0,0,0,0,0,0,0,0,0.0886586520259984,0,0,-0.188518138795488,0,0,0,0.0628024580959739,0,0,0,0.000869632105346057,0.00680726200227347,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0456347574559771,0,0,0,0,0,0,0,0,0.169186889230389,0,0,0,0,0,0.139922355600234,0,0.189944392037754,0,0,0,0,0,0,0.0615260498642108,0,0,0,0,0,0,0.188794508659192,0,0,0,0,0,0,0,0,0,0,-0.0405777010803147,0,0,0,0,0,-0.00165193257346757,0.0183847091304294,0,0,0,0,0,0
X000625.SZ,0.0688732509981232,0,0,0,0,0,0,0,0,0,0,0,-0.0492227067870275,0,0,0,0,0,0,0,0.0680091333790746,0,0,0,0,0.102777673015121,0.0999631781329781,0,0,0,0,0,0,0,0,0.265782527257092,0,0,0,0,0,0,0,0,0,0,0,0.0834290773863728,0,0.0976000619291858,0,-0.0254558451839429,-0.00182629198433535,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0278005021823604,0.0444358230644139,0,0,0.164429242538004,0,0,0,0.0238650674735957,0,0,0,0.0775908136762846,-0.0399399737856253,0,0,0,0,0.331843687103215,0,0,0,0.0290043579805996,0,0,0,0,0.0206248756453298,0,0,0,0,0,0,0,0,0,0,0,0,-0.0142167225748192,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0.478359039501845,0,0,0,0,0,0,0,0,0.00168631360095668,0,0,-0.237881842593807,0,0,0.0580444109550054,0,0,0,0,0.0264207035059174,-0.153754869094632,0,0.26363316447242,0,0,-0.0739429504840042,0,0.197887817044864,0,-0.00568377043897645,0,0,0,0,0,0,0,0,0,0.315949280556544,-0.0838129292015436,0,0,0,0.00567756117666817,0.037856623959092,0.114696922875973,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100689172563819,0.059640861336305,0,0,0,0,0,0,-0.0538229748253949,0,0,0,0.0380596073113,0,0,0,0.156931825551642,0,0.149471277015985,0,0.0220813779046532,0,-0.064117454923669,0,-0.0697443755718316,0,-0.00983063997817034,0.016401819629636,0,0,0,-0.167722481415701,0,0
X600690.SH,0.0321389962196521,0.242049066178109,0.178937386143104,0.116019233477666,0,0,0,0,0,0,0,0.0199395887554422,0,0.100465755237052,0,0.0823205575851455,0,0.0765162128190784,0,0.162670304555277,0.0763679498508378,0,0,0,-0.122557112404738,0,0.00194246333347521,-0.00039839146278831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0184578336176801,0.0762954229321837,0,-0.0279640665888135,0.115183081088353,0,0,0,0,0,0
