,X600519.SH,X000858.SZ,X000651.SZ,X600104.SH,X600276.SH,X002415.SZ,X002304.SZ,X000063.SZ,X000725.SZ,X000568.SZ,X600690.SH,X600031.SH,X000338.SZ,X002475.SZ,X600741.SH,X000596.SZ,X000661.SZ,X601877.SH,X600809.SH,X000100.SZ,X300003.SZ,X600271.SH,X002007.SZ,X002236.SZ,X000157.SZ,X600703.SH,X300124.SZ,X300142.SZ,X002008.SZ,X000625.SZ,X002179.SZ,X600177.SH,X000977.SZ,X600498.SH,X002371.SZ,X600776.SH,X000066.SZ,X300146.SZ,X600487.SH,X002506.SZ,X600867.SH,X600066.SH,X600183.SH,X000050.SZ,X600522.SH,X600118.SH,X002129.SZ,X002049.SZ,X002241.SZ,X600566.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0.197200602647738,0,0,0,0,0,0,0,0.115491981037454,0,0,0.04025474555137,0,0,0,0,0,0,0,0,0.148378041017831,0,0,0,0,0,0,0,0.0208476906344831,-0.00658163946976869,0,0,0,0,0,0,0,0,0,0,0,0.0764044689315164,0,0,0,-0.047456746456114,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.254180923171811,0,0,0,0,0,0.238069756882505,0,0,0,0,0.147306884435792,0,0,0,0.150938050129355,0,0,0,0,0.00466657910273265,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0629787018721429,0,0,-0.0447434135549072,0.054425978488365,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.0267282385510416,0,0,0,0,0.353378353267886,0,0,0.0237885738124245,0.0593258945187972,0.0420577007470317,0,0.0606642404926866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0137135823671594,0,0,0.0596880337380049,0,0,0,0,0,0,0,0,0,0.112564120124361,0,-0.0481480470757834,0,0,0,0,0,0,0
X600104.SH,0,0,0.121150351363548,0,0,0,0,0,0,0,0,0.0228922290307648,0,0,0.0287451047690728,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0642391210247416,0.0518240003102977,0,0,0.083094250967144,0,0,0,0.0120664824312109,0,0,0,0,0,0,0.0175448515885784,0,0,0,0,0.0954067755312677,0,0,-0.0331682032722718,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108672023730279,0.0925406259076731,0.0912634219227502,0.117692117903781,0,0,0,0.113026632792492,0,0,0,0,-4.33680868994202e-19,0,0,0.0314307024748297,0,0,0,0,0,0,0.0140923065605552,0,0,0,0,0,0.075411653813597,0,0,0,0,0,0,0.0710373580476,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.142589178052891,0,0,0.220924536574424,0.0993325794898086,0,0,0,0,-0.0858956689428962,0,0,0,0.244990832797879,0,0,0,-0.0231341226369913,0.0283845015243325,0,0,0,0,0,0,0.0155799640972483,0,0,0.220452070136872,0,0,0,0,-0.0100135346751318,0,0,0,2.71050543121376e-20,0,0,-0.0316973797628794,-0.0293834241117489,0.0583003412020535,0,0,0,0,0,0
X002304.SZ,0,0.162752569750424,0.22169552191406,0,0,0,0,0,0,0,0,0.0251620611170281,0,0.0324895395341998,0,0.202764105544318,0,0,0.135757693300235,0,0,0,0.0673468445674965,0,0,0,0,0,0,0,0,0,0.00225825949429924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0294956409978547,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23651091008799,0,0,0,0,0,0,-1.73472347597681e-18,0,0.0399230309529759,0.185192741212102,0,0,0,0.0519307106862994,0,0,0.208001486547538,0,0,0,0,0,0,0,0,-0.0559987273004913,-0.0579098128916835,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0.040558828024047,0,0,0,0,0,-0.0243448442538297,0,0,0.2311231717842,0,0.0108269690950154,0,0,0,0,0,0,0,0,0,0,0.0111919842591223,0,0,0,0,0,0.0662545033153379,0,0,0,0.191505132654008,0.245045783567753,0,0,0.0443423762764325,0,0,0,0,-0.033769980380754,0,0,0,0,0.0463234924786552,0,0
X000568.SZ,0,0.318281908403236,0,0,0,0,0,0,0,0,0,0,0.199446556975028,0.0324446520552819,0.0203666827922685,0.121230540748813,0,0,0.0761489964876127,0,0,0,0,0,0,0.0548403827750578,0,0,0,0.0435286725477739,0,0,0,0,0,0,0,0,0,0,0.0506965739753221,0.00342862443638208,0,0,0,0,0,0,0.00255171521343498,0,0,-0.0194712748611054,0,0,0,0,-0.00521901875081141,0,0
