,X600519.SH,X000858.SZ,X002415.SZ,X002475.SZ,X600276.SH,X600690.SH,X003816.SZ,X000651.SZ,X600809.SH,X000568.SZ,X002371.SZ,X600104.SH,X000625.SZ,X000725.SZ,X600031.SH,X000063.SZ,X300124.SZ,X000338.SZ,X002304.SZ,X000596.SZ,X002179.SZ,X300014.SZ,X002241.SZ,X000100.SZ,X600089.SH,X002463.SZ,X600372.SH,X000157.SZ,X600584.SH,X600703.SH,X000977.SZ,X600522.SH,X002028.SZ,X600066.SH,X600183.SH,X600741.SH,X002236.SZ,X002049.SZ,X600418.SH,X601877.SH,X600487.SH,X000921.SZ,X000800.SZ,X002180.SZ,X002223.SZ,X000661.SZ,X601799.SH,X002074.SZ,X600460.SH,X002129.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.166075589895066,0,0,0,0,0,0,0.147458026248567,0.165406234484554,0,0,0,0,0,0,0,0.00615517951829802,0,0.026198911115866,-0.00905375252610704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0972142396634105,0,0,-0.0343998513643687,-0.0112267397293272,0,0,0,-1.73472347597681e-18,0,0,0,-0.09782242383187,0,0,0,0.00401872889178321,0,0
X000858.SZ,0.151411181384939,0,0,0,0,0,0,0,0.0682322728333135,0.315822448513283,0,0,0,0,0,0,0,0,0,0.00503184760924061,0,0.0064181362292799,0,0,0,-0.0371039536612666,0,0,0,0,0,0,0,0,0,0.144251790696264,0,0,0,0,0,0,0,0,0.06359943182128,0.0127407045084886,0,0.0758416245430934,0,0,0,-0.0086646825487699,0,0,0,0,0.0241377471496181,0,0
X002415.SZ,0,0,0,-0.057771447524486,0,0,0,0,0,0,0,0,-0.0743480298576583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.0235073055721477,0,0.156913194431836,0.128186350290242,0,0,0,0,0,0,0.197894394850424,0,0,0,0,0.109062888027416,0,0.0128081169450335,0,-0.0616816715817548,0,0,0.0323948253087101,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.0898893777493745,0,0,0,0,0,0,0,-0.0399854894992765,0.154939241396874,0.481634056449486,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.0155222857850898,0.05822962856742,0,0,0,0,0.00838562718435624,0,0,0,0,0,0,0,0,0.0658496144341743,0,0,0,0,0.106426971098582,0,0,0,-0.0484652233742201,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0381891011690231,0,0,0,0.216562421871126,0.104167383876527,0,0.0341484650257523,0,0.0448065630393707,0,-0.0888276508684947,0,-0.0903834360269559,0,0,0,0,0,0,0.0158387249511572,0,0,0,0.0456241069760958,0,0,0,0,0,0,0,0,0.0266131498133416,0.0908867532782107,0,0,-0.0348279060205958,0,-0.0936051243478442,0,0,0.0282067302213669,0,0
X600690.SH,0,0,0,0,0,0,0,0.217959182235782,0,0,0.0119851291645154,0,-0.0831737195269109,0.0778729123635491,0.0803919958868758,0,0,0.0382174432968585,0,0,0,-0.0464567798895227,0,0,0,0,0,0,0,0,0,0.0496127506609111,0.0261311678361924,0,0,0,0,0,0,0,0,0.160353574463954,0,-0.00930989873662739,0,0,0,0,0,0.0327106450546432,0,0,0,-0.18612096866322,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,-0.204615014738853,0,0,0,0,0,0,0,0,-0.13462978940531,0,0,-0.0312516981843729,0,0,0,0,-0.13518456741983,0,0,0,0,0,0,0,0.106151922294236,-0.0268896121808024,0,0,0,-0.136377207838615,0,0,0,0,0,0,0,0.160471540264852,0,-0.0230502128255766,0,0,0,-0.0150849918534112,0,0,0,-0.0156610928995788,0,0
X000651.SZ,0,0,0,0,0,0.236669227853144,0,0,0.111715407401121,0,0,0,0,0,0.150155642217085,0,0,0.0145510136444751,0,0,0,0,0,0,0,0,0,0.130791504424067,0,0,0,0,0,0.0191872449059418,0,0,0,-0.000603895428978727,0,0.0152413949131802,0,0.15065976516065,0,0,0,0,0,0,-0.00179280532755638,0,0,0,-0.000970712472801246,0,0,0,-0.038529621123401,0,0
X600809.SH,0.319016679418207,0,0,0,0.0298947383625356,0.0773414173693895,0,0,0,0,0.0153646870915833,0,0,0,0,0,0,0.013360013697576,0,0.389130777414885,0,0,-0.00884992229627125,0,0,0,0,0,0,0,0,0,0.025901427674823,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0.183597911916079,0,0,0,0,0.0592582083126968,0,0.00319295503462845,0,0.169340271511677,0,0,-1.73472347597681e-18,0,0
X000568.SZ,0.211400428177143,0.493156566372208,0,0,0,0,0,0,0,0,0.0426687502016387,0,0.000833293405026267,0,0,0,0,0,0,0.133913212264268,0,0,0,-0.00477542609878447,0,0,0,0,0,0,0,0,0,0,-0.00605393381223003,0,0,0,0,0,-0.011770535338645,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,-0.0464794478944567,-0.000526939852869224,0,0,0,0.0131134041819064,0,0
