,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X002475.SZ,X000651.SZ,X002304.SZ,X000568.SZ,X600690.SH,X600031.SH,X600104.SH,X000725.SZ,X300124.SZ,X002371.SZ,X300014.SZ,X000338.SZ,X600703.SH,X000063.SZ,X000625.SZ,X002129.SZ,X002241.SZ,X002049.SZ,X300142.SZ,X003816.SZ,X601877.SH,X002179.SZ,X000596.SZ,X000661.SZ,X000100.SZ,X600460.SH,X600089.SH,X000157.SZ,X000799.SZ,X600741.SH,X002236.SZ,X002414.SZ,X002007.SZ,X600702.SH,X002074.SZ,X600584.SH,X600779.SH,X600183.SH,X600884.SH,X601799.SH,X000800.SZ,X000733.SZ,X002008.SZ,X300146.SZ,X300003.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.204438637549031,0,0.0693195927272708,0,0,0,0,0.152311572873423,0.00682113056861919,0,0,0,0.0419387073304048,0,0.00575726378264675,0,0,0,0,0.0743764256765003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0658013032324776,0,0,0,0,0,0,0,0,0,0.047054291987391,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.1028338682916,0,0,0,0.212169742575703,0,0.114761717035544,0,0,0,0,0,0,0,0,0,0.0754801217505912,0,0,0,0,0,0,0,0.0243926120952097,0,-0.02782931377156,0,0,0.0690054898264516,0,0,-0.126944226698453,0,0,0.0271295748917116,-0.11525371113442,0.190092145916361,0,0,0,0,0,0,0.112134118467056,0,0,0.0212116183933685,0,0,0,0,0,0,0
X002415.SZ,0,0.0716487637261913,0,0,0.106685219416721,0.112901427371078,0,0,0.052340820082513,0,0.0365827358772999,0,0,0,0,0.127760578258035,0,0.0536778852602109,0,0,0.0312418476773198,0,0,0.0865122415073191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061554046072217,0.0379567747977245,0,0,0,0,0,0,0,-0.0103565735467412,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0,0.150780087697649,0.108655572166083,0,0,0,0,0.0202768579869599,0,-0.0666509058535624,0,0,0,-0.0713038329460754,-0.0784975268956265,0,0,0,0,0,0,0.0919615232335511,0,0,-0.0265992743676152,0,0,0.414525823200601,0,0,0,0,0.131284616349448,0,0,0.0576090481728426,0,0,0,0,0,0,0,0,0,-0.043495763098309,0.0646413508925398,0,0,0,0,0,0
X600276.SH,0,0.300938931835841,0,-0.211529242276179,0,-0.0259454327856103,0,0.0447053780386457,0,0,0,0,0,0.169313071406977,0,0,0,0.0897942154272003,0,0,0.0783838477300564,0,-0.357559695661187,0.0818135348587379,0,0,0,0,0.0580516238795116,0,0,-0.0125485272081986,0,0.314364115750808,0,0,0,0,-0.0228772764205926,0,0,0,0,0.112443423628055,0,0,0,-0.191430557217207,0,0,0,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0.0409304890846307,0,-0.0483222103163445,0,0,0,0,0.0237743489394507,0,0,0,0,0,0,0.297987252558284,0.117503359669896,0,0,-0.0494213342009989,0,0,0,0,0.116745011096648,-0.111289140940132,0,0,0,0,0,0,-0.0216295613763744,0,0,0,0,0,0.246636337377362,0,0,-0.0432724167261892,0,0,0,-0.00537250737469745,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,1.35525271560688e-20,0,0,0.0572000999154818,0,0,0,0,0,0,0,0,0.102655809311852,0,0.0866858781474262,0,0,0,0,0,0,0.0113476330998839,0,-0.00807108941486113,0.110438807711723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0483464329317373,-0.0584771210037088,0,0,0,0,0,0,-0.080036199910361,0.107507970740626,0,0,0,-0.108546742044865,0,0
X002304.SZ,0,0,0,0.376328827027041,0,0,0,0,0.468279145905595,0.0584507405913887,0,0,-0.00148180458748363,0,0.111134556963478,-0.210378506811405,0,0.130223480897684,0,0,0.0394398181338637,0,0,0,0,0,0.00979454423593324,0,0,0,0,0,0,0,0,0,0,0.137937415141065,-0.100200437959058,0.092523042240919,0.191754288152046,0,0,0,0,0,0,0,0,0,0,-0.0707707546264288,0.0190559090990857,0,0,0,0,0,0
X000568.SZ,0,0.478232195537399,0,0.130614646950815,0,0,0,0.128998709944235,0,0,0,-0.208041563930984,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111392058703883,0,0,0,0,0,0,0,-0.0184725620430001,0,0,0,-0.0108129681031225,0,0.0460754857049252,0,0,0,0,0.00215820750109751,0,0,0,0,-0.00667480265333686,0,0,0,0,0,0,0
X600690.SH,0,0,0.0865495016999036,0,0.103548418726211,0,0,0.0320372022612364,0.230430990498614,0,0,0,0,0,-0.0280314993902128,0.025759322870484,0,0,0,0,-0.0616502539546462,0,0,0,0,0,0,0,0.125669037226808,0,0,0,0.105601837571741,0,0,0,0,0,0.0018753511566201,0,0,0.0535433981167722,0,0,0,0,0,0,0,0,0,-0.0419960221905,0.0228388359552561,0,0,0,0,0,0
