,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600741.SH,X600703.SH,X600031.SH,X000568.SZ,X600066.SH,X002475.SZ,X002241.SZ,X000338.SZ,X002456.SZ,X600271.SH,X002236.SZ,X600118.SH,X600177.SH,X002085.SZ,X000157.SZ,X600372.SH,X002007.SZ,X300124.SZ,X300003.SZ,X600867.SH,X002292.SZ,X002426.SZ,X000559.SZ,X002294.SZ,X600089.SH,X002180.SZ,X601877.SH,X600522.SH,X000623.SZ,X002506.SZ,X600498.SH,X002074.SZ,X002508.SZ,X000981.SZ,X000536.SZ,X000050.SZ,X300136.SZ,X000869.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.0259704017254164,0.00657341064348093,0.322880140088722,0,0,0.0313530956823365,0.00212532266331645,0,0.126452708284784,0,0,0,0.026793394433056,0,0,0,0,0.0603086471096937,0,0,0,0,0,0.0133297268597617,0,0,0,0,0,0,-0.0452887907417541,0,0,0,0,0,0,0.029979564339181,0,0,0,0,0,0,0,0.0586353709983598,0,0,0,0.0226063105526999,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.155571255705646,0,0.303380950261736,0,0,0.0781232493350559,0,0,0.032849357511025,0,0.184204377598944,0,0,0,0,-0.0387258371495975,0,0,-0.229015982653509,0,-0.00490135778323853,0,0,0,0,0.0474446559801724,0,0.101989585262772,0,0,0,0,0.091134552166178,-0.0482972826477764,0,0,0,0,-0.115932170975863,0,0,0,-0.0034188853587578,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0.0147703891004901,0,0.270556846154586,0.451777424986295,0,0,0,0,0,0,0,0,-0.096897197580145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038372385272364,0,0,0.195125691747363,0,0,0,0,0.127323526580214,0,0,0,0,0,0.0361414317816981,0.182322170340026,0,0,0,-0.196779082494447,0,0
X002415.SZ,0,0,0.00801115109386114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0823755462625456,0,0,0,0,0,0.019247955100867,0.0198478502720271,0,0,0,0,0,0,0.0853618766191952,0,-0.0165755822831743,0,0,0,0,0.0816496151856903,0,0,0,0.360405179037358,0,0,0,0,0,0,0.0088326856164093,0,0,0,0,0,0,0
X000858.SZ,0.200207052759222,0,0,0,0,0,0.148757156841496,0,0,0,0,0,0,0.0378540251992216,0.318105630192222,0,0,0,0,0,0,0,0.0441913271432901,0,0,0,0,0.170948651313008,0,0,0,0,0.00983624840269497,0,0,0,0,0,0,0,0,0,0,0,0,0.0586666668333623,0,0,0,0,0.0365961968837318,0.00392261161197991,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0.245567741523461,0,0,-0.0440278368070292,0.0889304282720624,0,0,-0.120441038009683,0,0.088036342509276,0,0,0,0,-0.0242670253185084,0,0,0,0,0,0,0,0,0,0.139643055310845,0.0594237522613521,0,0.0118603677682584,0,0,0,0,0.0176476609626301,0,0.118159263411799,-0.130154630094409,0,0.0171259708001956,0,0,-0.0008182806066339,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.310307398067878,0,0,0,0,0,0,0.0582043045541697,0,0,0,0.0409676865550567,0,0.0642952250513906,0.0266401641354809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00728399830086453,0,0,0,0,0,0,0.0189232995567934,0.131471362883586,0,0.0674473200502876,0,0,-0.0124693979983004,0,0,0,0,0,0,0
X000725.SZ,0,0,0.108367879700323,0,0,0,0,0,0,0,0,0,0,0.0288668700419247,0,0,0,0.0752830703508301,0,0,0.091715536571828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0431265987915789,0,0,0.0524589029390212,0,0.299867487856803,0,0,0.0587707467121012,0,0.16723733484957,-0.000132042270696495,0,0.061972063349857,0,0,-0.126549207071737,0,0
X000625.SZ,0,0,0.0583530835046746,0,0.289952701247255,0,0,0,0,0,0,0.0806210991044799,0,0,0,0,0,0,0,-0.0802541710535471,0,0,0,0,0,0.0518381857874332,0,0.0334947775773581,0,0,0,0,0.0517804390656799,0,-0.022751055801341,0,0,0.0766476412406782,0,0.0241410843716732,0,0,0.0336052245152716,0,0,0,0,0,0,0,0.0524310053069142,-0.0163058762638777,0,0,0,0,0,0
X000063.SZ,0,0.0818507587200608,0.075719780966735,0,0,0,0,0,0,0,0,0,0,0.0474122931520891,0,0,0,0.0477969500336594,0.237889770545512,0,0,0,0,0,0,0,0,0,0,0,0.14439094764827,0,0,0,0,0,0,0,0,0.206528283294025,0,0,0,0,-0.017824623179221,0,0,-0.00980179239765727,0,0,-0.000595107663140371,0,0,0,0,-0.261323928558953,0,0
