,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600031.SH,X600741.SH,X000568.SZ,X600066.SH,X000338.SZ,X000100.SZ,X002475.SZ,X002241.SZ,X002236.SZ,X600271.SH,X600118.SH,X601877.SH,X002085.SZ,X600177.SH,X002456.SZ,X600372.SH,X000157.SZ,X300124.SZ,X002007.SZ,X600089.SH,X002294.SZ,X300003.SZ,X600867.SH,X600522.SH,X600699.SH,X002180.SZ,X000559.SZ,X002508.SZ,X000066.SZ,X600498.SH,X002292.SZ,X002426.SZ,X002074.SZ,X000623.SZ,X000550.SZ,X300136.SZ,X002506.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.156837204198285,0.0718465879054865,0,0,0.0486442253556297,0.0401723226019411,0,0,0,0,0.0559065477108259,0,0,0,0.0821907959653951,0,0.0973784799488042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0479897949934386,0,0,0,0,-0.00258981743235344,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,-0.0373541549524183,0,0.650013918958847,0,0,0,0,0,0,0,0,0,0,-0.0837309524673371,0,0.0430602228241027,0,0,0,0,0,0,0,0,-0.0250158081801216,0,0,0,0,0,0,0,0,0,0,0.138525126553594,-0.189682895452882,0,-0.0418811887592391,-0.035455261292072,0.0323150679997092,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.0334438649824258,0.00799604501163219,0.146176648371094,0,-0.0170534985136879,0,0,0,0,0.100519979081228,0,0.00982363954403124,0,0,0,0,0,0.110874566576159,0,0,0,0.0615598101115703,0,0.0689887378307816,0,0,0,0,0,0,-0.0664360909573633,0,0.160038074518126,-0.0268548483588877,-0.0174115084576624,0,0,0,0,0,-0.0312767058776264,0.0214230128431975,0,0,0,0,0,0
X000651.SZ,0,0,0.118919372399753,0,0,0,0,0,0,0.666450784779306,0.548154472334623,-0.0468495418733127,0,0,0,0,0,0,0,0,0,0,0,0,-0.0607950066584864,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0.338701594549753,0,0,0,0.0985583381516256,0,-0.0758836037214805,0,0.293059810332902,0,-0.157053433179004,0,-0.0313959533403644,0,0.0359555467875375,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0.20679729562448,0,0,0.0554289584824674,0.0388905949595423,0.00704343980939823,0.302742550341197,0.00221493819470991,-1.38777878078145e-17,0,0,0,0,0,0,0.109716192595013,0.0562782119255609,0,0,0,0,0,0,0,0,0,0,0.0460048171332146,0,0,0,0,0.0726832279159178,0,0,0,0,0,0,0.0288249728343291,0,0,-0.00047987180977811,0.00804889133670832,0,0,0,0,0,0
X000725.SZ,0.0703404607972592,0,0,0.0283520696919306,0,0,0,0,0,0.25319169457134,0,0,0,0,0,0,0.0177478702372957,0,-1.73472347597681e-18,0.273509404922965,0,0,-0.0509672352137953,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0445396141945235,-0.0330979777559573,0,0,0,0,0,0,0,0.036250835886181,0,-0.177958907150504,0.0469205890456259,0,0.0265901799369953,-0.036431992766734,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.0735084396265895,-0.0141681867878727,0,0,0,0,0,0.221229204537078,-0.0226617749575418,0,0.0617475485831388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035009122319142,0,0,-0.0796346306881976,0.030392729797243,0,0,-0.00459597464483939,0.0162595703436878,0.0112094364939465,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0.0323483477778346,0,0,0,0.0499269245060062,0,0,0,0.420989307235155,0.11078511675097,0,0,0,0,0,0,0,0,0,0,0,0.0281070206357844,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0487502387660364,0,0,0,0,0,0.0663723520552338,0,0,-0.0533272464801576,0.00662999101389986,-8.67361737988404e-19,0,0,0,0,0,0
X000625.SZ,0.0183855644151053,0.1885659378414,0,0.12595983989873,0.140480897481052,0.0303948007203193,0,0,0,0,0,0,0.130962479497887,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.0603689376717769,0,0,-0.00547059887891091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273666579500674,0,0,0,-0.00245264778941031,-0.0107132271207964,0,0,0,0,0,0
X000063.SZ,0.191548336234869,0,0,0.175843735629728,0,0,0,0,0,0,0,0,0,0,0,0,0.207422243006739,0,0,0,0,0,0,0.0446061697540879,0,0,0.119150622189524,-0.0503921352073916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0580829757238159,-0.225482594053657,-0.0555363354814789,0,0,0.0317984113458214,-0.0318473474254048,0,0,0,0,0,0
