,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X000063.SZ,X600703.SH,X600690.SH,X000568.SZ,X002236.SZ,X002241.SZ,X000625.SZ,X002475.SZ,X600741.SH,X000338.SZ,X600031.SH,X002456.SZ,X600066.SH,X300124.SZ,X600809.SH,X601877.SH,X000100.SZ,X002008.SZ,X600487.SH,X002085.SZ,X300136.SZ,X002508.SZ,X600089.SH,X600522.SH,X300003.SZ,X600271.SH,X600177.SH,X000157.SZ,X600699.SH,X600118.SH,X600867.SH,X300115.SZ,X002294.SZ,X000050.SZ,X000559.SZ,X000981.SZ,X002074.SZ,X600566.SH,X600498.SH,X600372.SH,X600884.SH,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.00648152759970207,0,0.215717415446419,0.0216064924439347,0,0,0.0265089951485862,0.0338750028667638,0,0.0800620807589653,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0.00598501073266827,0,0,0,0,0,0,0,0.0822659345991247,0,0,0,0,0,0,0,0,0,0,0.0222730781926247,0,0,0,0,0,0,0,0,0.0492548676874843,0,0.00918624841594097,-0.0217098555210007,0,0,0,0,0,0
X600104.SH,0,0,0.0755448911345474,0,0,0,0.0389309962848378,0,0,0.00431735915236742,0,0,0.0612775772269103,0,0,0.0558610632057789,0.311260049962226,0,0,-0.0180054267979865,0,0,0,0,-0.0872076495438042,0,0,0,0.0130121890360318,0,0,0,0,0,0,0,0,0,0,0.000930740417991953,-0.138490963411483,0,0,0,0,0,0,0,0.0304500194509896,0,0.0578022086673531,-0.0148100658571496,0.0325788543244014,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.0212624234530851,0,0.0179520009521091,0,0.236083161301877,0,0,0,0.0731598194642077,0,0,0,0,0,0.0950417267334548,0,0,0,0,0.06818308700734,0,0.0647318895114555,0,0,0.0968293576411854,0,0,0,0,0,0,0,0,0,0,0,0.0288368776202567,0.0365016036275587,0,0,0,-0.00309852427045659,0,0.0260716762340485,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.159534041484762,0,0,0,0,0,0.293600134816026,0,0,0,0,0,0,0,0.0624035155002504,0,0,0,-0.0273643912636414,0,0,0,0,-0.0288706924299749,0,0.184754506563351,0,0,0,-0.0109739598378535,0,0,0,0,0,0,0,-0.030199547596775,0,0,0,0,0,-0.0154704254322961,0,-0.0460667613136028,0,0.0108213080778571,0.000575843127127908,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0907054289766052,0,0,0,0,0,0,0,0.520510709895496,0.0363237768366924,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.0764174474424,0,0,-0.0195180907927554,0,0,0,0.0247277576088247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0256697246847592,0,0,-0.00889227238163081,0.00821942057474677,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,-0.0482070014546832,0.115830482076396,0,0.179528219528292,0,0,0,0,0,0,0,0,0,-0.0149290624291529,0,0,0,-0.00148310874481519,0,0,0,0.0702337745776191,0,0,0,0,0,0,-0.0380878465657799,0,0,0,0.0685942585460485,0.0572163313938663,0,0,0,0,0.121733034824292,0,-0.0796856184144348,0,0,0.0083404262191427,-0.00351084971838665,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0761498878148807,0,0,0,-0.0116487545196958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218261923745605,0.230470443856229,0,0.0376397070295527,0,0.182582332595956,0,0.0225602284765432,0,0,-0.00534972568849619,0.00400278545857283,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.167508886929585,0,0,0,0,0,0,0.168689408804632,0,-3.46944695195361e-18,0,0,0.135942365258288,0,0.165579394887693,-0.105519025820392,0,0,0,0,-0.0140567160695489,-0.0923616286304596,0,0,-0.0107544175283705,0.147214310210782,0,0,0,0,0,0,0,0,0,0.0650672603333233,0,0.016047856281224,0,0,0,0,0,0,0,-0.0423140440607496,0,-0.00548167644587886,0,0,0,0,0,0,0
X000063.SZ,0,0,0.051575123094616,0,0,0,0,0,0,0.0693016461991676,0.258440271598453,0,0.226816669624262,0,0,0,0.225355729700094,0,0,0,0,0.0842864668296507,0.0521901147189512,0.0454440903098977,0,0,0.213211763158174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0886120636949882,0,0,0.06725640101421,-0.00869486923380229,0.0138435664947672,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0.0275521301903361,0,0,0,0.131578645271911,0.0613399711714997,0,0,0.313471161853993,0,0,0,0,0.329865178332901,0,0,0,0,-0.0822888097005552,0.0646368647964893,0,0,0,0,-0.239926008335298,0,0,0,0,0,0,0,0.134862711153956,0,0,0,0,0,0,0,-0.133865799611519,0,-0.293309866065732,0.0191950906366791,0,0,0,0,0,0,0
