,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002304.SZ,X600690.SH,X600276.SH,X002475.SZ,X000651.SZ,X300014.SZ,X600104.SH,X002129.SZ,X000625.SZ,X300124.SZ,X600031.SH,X000725.SZ,X003816.SZ,X002371.SZ,X002049.SZ,X000596.SZ,X000063.SZ,X002241.SZ,X000338.SZ,X600703.SH,X002179.SZ,X600089.SH,X000661.SZ,X601877.SH,X600522.SH,X002074.SZ,X002180.SZ,X300142.SZ,X600741.SH,X600884.SH,X000733.SZ,X600460.SH,X000100.SZ,X600702.SH,X000157.SZ,X000799.SZ,X600563.SH,X601799.SH,X002236.SZ,X600584.SH,X002176.SZ,X000800.SZ,X600487.SH,X002414.SZ,X002056.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.322382140996391,0,0,0,0,0,0.0775300902582309,0,0,0,-0.016879718711681,0,0,0,0,0.0502937071753831,0,0,0,0.00203903492373442,0,-0.0198805877923215,0,0,0,0,0,-0.0173224514135692,0,-0.0201571704274703,0.0363597691591991,0,0.113344026487483,0,0,0,0,0.015279667923571,0.0385332603267236,0,0,0,0,-0.0155028216790343,0,0,-0.00523624639832491,0,0.0110579087104514,0,0,0,0,0,0,0
X000858.SZ,0,0,0.17511017354475,0.371084880324791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0599743633368692,0,0,0,0,0,0,0,0,0,0,-0.0381370828713061,0,-0.0406686054349414,0,0,0,0,0,0.0972913936897174,0,0.0821643414237914,0.0111387943250852,0,0,0,0.0168293982469258,0,0,0,0.0258366000829802,-0.145818236363649,0,0,0,0,0,-0.00622600965855178,0,0
X600809.SH,0,0,0,0.625362640189203,0.0293754581084061,0,0,0,0,0,0,0,0,-0.0324404802839495,0,0,0,0,0,0,0.0404063366427999,0,0,0,0,0,0,0,0,0,0.0535859872849029,0,0,0,0,0,0,0,0.0833761059296586,0,0,0.0164492325699979,0,0,0,-0.217202129833374,0,0,0,0,0,0,0,0,0,0,-0.00218781305915441,0,0
X000568.SZ,0,0.287360493232522,0.0901660739489769,0,-0.0208577952814618,0.0802738768186309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0827514099037551,-0.0279431286210874,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.324935861608972,0,0,-0.0381225050515782,0,0,0,0,0,0,0,0,0,-0.0183674497540614,0,0,0,0,-0.0379394792149297,0,0
X002415.SZ,0,0,0,0,0,0.433342398903043,0,0,0,0,0,0,0,-0.0947090031697319,0.0149786473374375,0.0283345610094586,0,0,0,0,0,0,0,0,0.104188954345986,0,0,0,0,-0.0444651950355896,0,0,0,0,0,0,0,0,0,0,0.0610820931853401,0,-0.0350785296416256,0.75982475232725,0,0,0,-0.0522450649359344,0,0.0378844780026117,0,0.155961095562675,0,0,0,0,0,0,0
X002304.SZ,0,0,0.00371754217784858,0.379829355646851,0.033404798235781,0,0.0322410497971884,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185788488602208,0,0,0,0,0,0,0,0,0.0271497197141422,-0.0396370520934545,0,0,0,0,0.122028071291142,0,0,0.088422359003142,0,0.073903410550179,0.0105233458792167,0,0,0,0,0,0,0,0.0176719005962462,0,0.00744257361242543,0,0,0,0,-0.00590315912079063,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0.139501343417054,0,0,0,0,0,0.0645400720961523,0,0,0.0692451616531644,0,0,0,0.121232699259168,0,0,0,0,0,-0.0533824353097834,0,0,0,0.0681406053434289,0,0,0,0,0,0.0265779002585766,0,0,0,0,0,0,0,0,0,0.00735555503434157,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0.0563031923776707,0,0,0.00974739109679563,-0.424616795867249,0,0,0,-0.0788324577421428,0,0,0,0,0,0.327206181840693,0,0,0.193864879503935,0,0,0,0,0.0631285365771153,0,0,0,0,0,0,0.148335934570653,0,0.234506027791623,0.0419071268565005,0.0858083848183157,0,0,0,-0.0655954223299355,0,0,0,0,0.23123519057361,0,0,0,0.0491664741961201,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0718242555728243,0,0,0,0.130694627776607,0,6.93889390390723e-18,0,0,0,0,0,-0.00302119675332033,0.0255903680424215,0,0,0,0,0,0,0.0951634334411837,0,0.217467750192484,0.167329556001389,0.0235320557970076,0.181554401446715,0,0,0,0,0,0,0,-0.0236036355812084,-0.20537744788063,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0486710287844667,0,0.0957133551315242,0,0,0,0,0,0,0.144369354123631,0,0.075306943816288,0.0233480741532856,0,0,0,-0.0416606748712532,0,0,0,0,-0.0582482964309171,0,0,0,0,0,0,0.0592569480549454,0,0,0,0,0,0,0,-0.101388454075483,0,0.00321459303661081,0,0,0,0,0,0,0
