,X600519.SH,X000858.SZ,X000651.SZ,X600104.SH,X600276.SH,X002415.SZ,X002304.SZ,X000063.SZ,X000725.SZ,X000568.SZ,X600690.SH,X600031.SH,X000338.SZ,X002475.SZ,X600741.SH,X000596.SZ,X000661.SZ,X600809.SH,X601877.SH,X000100.SZ,X300003.SZ,X600271.SH,X600703.SH,X002007.SZ,X002236.SZ,X000157.SZ,X300124.SZ,X000625.SZ,X300142.SZ,X002008.SZ,X002179.SZ,X600177.SH,X300146.SZ,X600487.SH,X600498.SH,X002371.SZ,X000977.SZ,X600066.SH,X002506.SZ,X600867.SH,X002049.SZ,X600522.SH,X002129.SZ,X600566.SH,X000050.SZ,X600118.SH,X600183.SH,X002241.SZ,X000066.SZ,X600089.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0328653647362559,0,0,0,0,0,0.218175258023783,0,0,0,0,0,0,0,0.162710278905413,0,0,0.0817494982368468,0,0,0,0,0,0,0,0,0.0126280986015946,0.135502888305715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0532614203470941,-0.0266922892373815,0,0,0.00472621817931745,-0.0319998528098552,0.0306885370783637,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0.150211860664961,0,0.229055612500329,0,0,0,0,0.219407153947563,0,0,0,0,0,0,0.124684325539978,0,0.0390630810449288,0,0.12638136398271,0.00314731005401224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0971463421646487,0,0,0,-0.0303040624889812,0.0549585955864468,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.205656627187413,0,0,0,0.0686678387530968,0.343486031129533,0,0,0.0637349766504697,0.0170409277802658,0.063685534224728,0,0,0,0,0,0,0,0,0,0,0.0195405208911569,0,0,0,0,0,0,0,0,0,0,0.038009381359026,0,0,0,0,0.0640040570347468,0,0,0,0.0193395349880764,-0.0942060760480297,0,0,-0.0547330507718107,0,0,0,0,0,0,0
X600104.SH,0,0,0.0912299611047983,0,0,0,0,0,0,0,0,0,0.125091569551872,0.0149262501518643,0.151747246252249,0,0,0,0,0,0,0,0,0,0,0,0,0.155653526238876,0,0,0,0,0,0,0,0.0256880879048753,0.0412817452450159,0.0439942173314579,0,0,0,0,0,0,0,0,0,0.0504605034720863,0.00676757361357044,0,0,0,-0.00964125227406076,0,0,0,0.042875060209422,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.00666093007823378,0.16455577265175,0.103317275368273,0.0535495743712261,0.117997733840342,0,0,0,0.155875157581389,0,0,0,0,0,0,0,0,0,0,0,0.0396236479787698,0,0,0,0,0.0473837578518344,-0.0306398057183459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00389899055993287,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.169431025188779,0,0,0.201766045828291,0.105443423782808,0,0,0,0,-0.0827737781450626,0,0,0,0,0.251475252801239,0,0,0,-0.0256762110095201,0.0247183998494571,0,0,0.0282806409129604,0.203029127587208,0,0,0,0,0,0,0,0,0,0,0.00967546195883711,0,0,0,0,0,-0.0772499358070028,-0.0288072759109995,0.0399952777756854,0,0,0,-0.0127663005407938,0,0
X002304.SZ,0,0.33315209448864,0.0528542335548339,0,0,0,0,0,0,0,0,0,0,0.0426416686980953,0,0.121741337233283,0,0.0165506365108884,0,0,0,0,0,0.0932362610964443,0,0,0,0,0,0,0,0,0,0,0,0,0.0364601108246478,0,-0.0187075419077898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4658717090992e-05,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114299475040045,0,0.145230444745622,0,0,0,0,0,0,0,0,0.244010660963188,0.0836897096322873,0,0.0678519670032571,6.7762635780344e-21,0,0,0,0,0,0,0.120707982588409,0,0,0,0,-0.0453086922726161,-0.0139233748580782,0,0,0,-0.00595045877538466,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0.0344491094729545,0,0,0.0407600104579613,0,0,-0.0439373610697942,0,0,0.249291935749804,0,0.0152838617239009,0,0,0,0,0,0,0,0,0,0,0,0.0219678923869776,0,0,0,0,0,0,0,0,0.078527089502962,0,0.251443974646862,0.0127114095196122,0.155106593960103,0,0,0,0,-0.0445232540301061,0,0,0,0,0.0262238563662949,0,0
X000568.SZ,0,0.309606990628163,0,0,0,0,0.0144027363129554,0,0,0,0,0,0.198967004591412,0.0398690390729246,0.0335100374471899,0.129663459757853,0,0.0699721322904209,0,0,0,0,0.0561745667061488,0,0,0,0,0.0333579371771628,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.0501558214666417,0,0,0,0,0,0,0,0,0,0,0,-0.0191569993383175,0,0,0,0,-0.00407031177255728,0,0
