,X600519.SH,X600104.SH,X002415.SZ,X600276.SH,X000858.SZ,X000651.SZ,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X002475.SZ,X600031.SH,X600741.SH,X000338.SZ,X600703.SH,X000568.SZ,X300003.SZ,X600271.SH,X601877.SH,X002008.SZ,X002236.SZ,X600487.SH,X300124.SZ,X002456.SZ,X600809.SH,X000596.SZ,X000661.SZ,X000100.SZ,X000977.SZ,X600867.SH,X300142.SZ,X000625.SZ,X002179.SZ,X600066.SH,X600498.SH,X002007.SZ,X300136.SZ,X600566.SH,X002294.SZ,X000157.SZ,X002241.SZ,X300146.SZ,X600522.SH,X002180.SZ,X002049.SZ,X600089.SH,X000869.SZ,X600177.SH,X002506.SZ,X002371.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.392273952162116,0,0,0,0,0,0.00285936015770067,0,0,0,0,0,0.0695574852181782,0,0,0.0248342847694975,0,0,0.0530664626405395,0,0,0,0,0,0,0.0382990183831199,0.105218939486731,0,0,0.0470022342595528,0,0,8.67361737988404e-19,0,0,0,0.0255203274313707,0,0,0,0,0,0,0,0,0,0,0.000355509631306922,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0.0292263462448813,0,0.365175794678443,0,0,0.136665005029956,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0287178230374966,-0.0298392904371899,0,0,0.0974129438646575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00509249393283456,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0223726245907654,0,0,0.113499765445035,0.0682636708113246,0,-0.0324470500455121,0,0,0,0,0,0,0.0475143673969691,0.176822873585064,0,0.0625687326185989,0.302064103162132,0.00803431730979201,0,0,0.0303829985963723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0311977606502671,0.0118498957442683,0.0302933546801125,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,-0.0560356676414155,0,0,0,0,0,0,0.147510148018067,0,0,0,0,0,0,0,0,0,0.09805379520623,0,0,0,0,0,0,0,0,0.0752061074166185,0,0.136411284451995,0.455604772092244,0,0,0.150430442054559,0,0,0,0,0,0,0,0,0.0590084803229488,0.0282765938490948,0.0285785026713337,0,0,0,0,0,0
X000858.SZ,0.138483608648406,0,0,0,0,0.0223328129472063,0.288704381833459,0,0.12399043727771,-0.0102467350560058,0,0,0,0,0,0.189602230233183,0,0,0.0784483853015055,0,0,0,0,0,0,0.0524880906909192,0,0,0,0,0.030450095521671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00523727931906018,0,0.00882559451973004,0,0,0,0,0,0,0
X000651.SZ,0.346342706347775,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0373424255291315,0.194620532954943,0,0,0,0.167596506917591,0,0,0.0755866219058616,0,-4.33680868994202e-19,0.0205644812378829,0,0,0,0.048741166198802,0,0,0,0.071986647286317,0,-0.0560121809195506,0,0,0,0,0,-0.00530695547681254,0,0,0,0,0,0,0,0,0,0.0014712961328844,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.191009437410583,0.68182617107437,0,0,0,0,-0.0204733918862312,0,0,0,0,0,0.246599443826192,0,0,0,0,-0.0714886330655986,0,0.112355669344851,0,0.149952492527985,0,-0.0298735412387444,0,0,0,-0.147543920428689,0,0,0,0,0,0,0,0,0,0,-0.0864884348987643,0,0,0,0,0,0,0,0,0,0,-0.0148994892919309,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0.00796625935338998,0,0,0,0,0,0,0.012612819159523,0,0,0,0.0869334897906741,0.0784438817178572,0,0,0,0,0,0.427185838790539,0.00929089508116593,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.0333460802142068,0.48188685520212,0.0121307672480902,0,0,0,0,0,0,0,0,0.0251559249117614,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.367563194739937,0.127334649781934,0,0,0,-0.131291035073854,0.186487065517334,0,0,0,0,0,0,0,0.0110125773655521,0,0.0928572583676461,0,0,0.0568105088425065,0,0,0,0,0,0.136440372634309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156335742700534,0.00467490998749825,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0.294080466999549,0,-0.0865746634064199,0,0.147255671721456,0,0,0,0,0.323917959319484,0,0,0,0,0,0.0796136186331953,0,0,0,0,0,0,0.266822159519092,0,0,0,0,0.00517571113026792,0,0,0,0,0,0,0,0.251573645531059,0,0.0786857927809712,-0.0369354420451873,0,0,0,0,0,0
X002475.SZ,0,0.029745618852032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195043377010251,0,0,0,0,0,0,0.399830355921768,0,-0.11590694745272,0.219264860216858,0,0,0,0,0,0,0.0867340576207196,0,0,0,0,0,0,0,0,0,-0.0836271654347673,0.251297905012741,0,0.0185437162953662,0,-0.0828236730230388,0,0,0.0125303479968821,0.030604288494405,0,0,0,0,0,0
X600031.SH,0,0,0.138782150130291,0,0,0,-0.15377510934456,0.101788509286427,0,5.42101086242752e-20,0,0,0,0.271476514768246,0,0,0,9.20180038458188e-05,0,0,0.0245064499758997,0.181554313398962,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.232598960867368,0,0,0,0,0,0,0,0.0711110336774952,0,0,0,0,0,0,0,0.00934794263931664,0.0127710569946357,0,0,0,0,0,0
