,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X002304.SZ,X000858.SZ,X600276.SH,X000063.SZ,X000625.SZ,X600690.SH,X600703.SH,X600118.SH,X600031.SH,X000559.SZ,X000100.SZ,X600271.SH,X600066.SH,X600372.SH,X002241.SZ,X000157.SZ,X002236.SZ,X600741.SH,X600089.SH,X002475.SZ,X000338.SZ,X002292.SZ,X300124.SZ,X002465.SZ,X600177.SH,X000568.SZ,X002074.SZ,X002506.SZ,X300003.SZ,X600839.SH,X002129.SZ,X002294.SZ,X000977.SZ,X600582.SH,X000547.SZ,X600867.SH,X002276.SZ,X000800.SZ,X002008.SZ,X002180.SZ,X000623.SZ,X300001.SZ,X600498.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.193210364655298,0,0.0572825474989032,0,0.135897998161317,0,0.0780239597773475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0447736504501,0,0,0,0,0.0344602111136085,0,0,0,0,0.0163469645273697,0,0,0,0,0,0,0,0,0,0,0,0,-0.0753944782232501,0.113642039080939,0.0960101059842559,0,0,0,0,0
X600104.SH,0,0,0,0,0,0.146902988938352,0,0,0,0.135318522783205,0.291030099853422,0,0,0,-4.33680868994202e-19,0,0.0293347124786929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0183351085786978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0430182435929712,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.193580363020326,0,0,0,0,0,0.108557971281939,0,0,0,0,0.151159619090535,0,0.0272694523971942,0.204195107792406,0,0,0,0,0.053268218337155,0,0,0,0,0.117810303184627,0,0,0,-0.0446729980743458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.207886570750738,0,0,0,0,0,0,0,0,0,0.166290401601676,0,0,0,0,0,0,0,0,0.0165980420613689,0,0,0,0,0,0.0509458662828893,0.0483222313626202,0.0271376845759171,0,0,0,0,0,0.126161039221597,0,0,0,0,0,0,0,0.0868913950915128,0.0651817926681306,0,-0.00707584950781839,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132181929787209,0,0,0,0,0.140447661423951,0,0,0,0,0,0,0,0,0,0,0,0,0.0274930106208142,0.0888992565995986,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.163779029053534,0.0846278253602817,0,0,-0.0493092572375852,0,0,0,0,0,0,0
X002304.SZ,0,0.167121638836905,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.131460630078555,0,0,0.231178800289611,0.175345531293758,0,0,0,0,0,0,0,0.104934445979427,0,0.0100999670839034,0.0149370072059908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00462722419748202,0,0,0,0,0,0,0
X000858.SZ,0,0,-0.0825925738647734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00693819180177951,-0.0215525903327364,0,0,0,0,0.14155862732552,0,0,0,0,0.00121786569377654,0.0143054261478802,0,0,0,0,-0.0309964583585712,0,0,0,0.111303402147683,0,0,-0.0590399471601676,0,0,0,0,0.0402467430889554,0.0190229054192695,0,0,0,0,0,0
X600276.SH,0,0.0911583885190125,0,0,0,0,0,0,0,0.123266855918028,0,0,0,0,0,0,0,0,0,0,0,0.109338427066791,0,0,0,0,0,0,0,0,0,0,-0.0559443751959039,0,0,0,0.101580750544232,0,0,0,0,0,0,0,0,0,0,0.0648017010853975,0,-0.0788029919931454,0.0932423583287203,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0.314716316748409,0.109662020913902,0,0.0457254668353869,0,0,0,0,0.0179267681978855,0,0,0,0.0709598104685561,0,0,0,0,0,0.0245025633385392,0,0,0.0272942757339031,0,0,0,0,0.0466082424433421,0,0,0,0,0,0,0,0.0604399858964535,0,0.106235516783865,0,-0.00618375707696683,0,0,0,0,0,0,0
X000625.SZ,0,0.177101245103728,0,0,0,0.0378867177346921,0,0,0,0,0,0,0,0,0,0,0,0,0.0312367442919784,0,0,0,0.0471918441139185,0,0.219132901897175,0,0,0,0,0,0,0,0.0356573453946544,0,0,0.0450947840466377,0,0,0,0,0,0,0.194489765541011,0,0,0,0,0,0,-0.000272181996505813,0,0,0,0,0,0,0
