,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X000651.SZ,X002475.SZ,X600104.SH,X000568.SZ,X002304.SZ,X600031.SH,X600809.SH,X600690.SH,X000725.SZ,X000063.SZ,X002241.SZ,X000661.SZ,X300124.SZ,X003816.SZ,X000338.SZ,X000596.SZ,X300014.SZ,X600703.SH,X600741.SH,X000100.SZ,X002371.SZ,X000625.SZ,X002007.SZ,X300142.SZ,X002129.SZ,X601877.SH,X002236.SZ,X600584.SH,X002179.SZ,X600183.SH,X002049.SZ,X000157.SZ,X000800.SZ,X002414.SZ,X300003.SZ,X601799.SH,X300136.SZ,X002008.SZ,X000066.SZ,X002456.SZ,X000977.SZ,X002185.SZ,X300146.SZ,X002508.SZ,X600779.SH,X600066.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.223785991860011,0,-0.0719485092059339,0,0.0810086308618862,0.0138052400413778,0,0,0,0.344669718608744,0,0,0,0,-0.0103968369722817,0,0,0,0,0,0,0,0.0749123784933388,0,0,0,0,-0.0798465244444696,0,0,0,0,0,0.046263120249983,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.0275856435820735,0.0203428659904111,0,0,0,0,0,0
X000858.SZ,0.0594314826424941,0,0,0,0,0,0,0,0.128397803552757,0,0,0,0,0,0.0203515840150104,0,0,0,0,0.0815329087772816,0,-0.122239357826917,0.117886970251273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144141368287634,0,0,-0.00589259096979926,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0.268725985096794,0,0,0,0,0,0,0,-0.0738912248804826,0,0,0.0127554935482452,0,0,0,0,0,0.020400294525931,0,0,0.130314829963105,0,0,0,0,0,0,0.0653217178001618,0,2.51917561751996e-06,0.0619452589902534,0,0,0,0,0,0,0,0,0,0,0,0.00138663663897512,0,0,0,-0.0329502841645871,0,0
X002415.SZ,0,0,0,0,0,0.224612194880091,0,0,0,0,0.0318687999205522,0.110041303815618,0.0381957866015174,0,0.00253208370114092,0,0,0,-0.131187259149362,0,0,0,0,0,0.00201409294342372,0,0,0,0,0,0.158846270452967,0,0,0,0,0,0,-0.0920564467387037,0,0,0,0,0,0,0,0,0,0,0,0.129061937646105,0,-0.040149434002551,0,0,0,0,-0.008710280596999,0,0
X000651.SZ,0,0,0,0,0,0,0.0145173962424074,0,0,0,0,0,0,0,0,-0.0975110065869304,0,0,0,-0.00825583470813021,0,0.0571620703843154,0,0,0,0.114081824570004,0,0.0796441291537934,0,0,0.146974528169478,0,0,0,0,0,0,0.00765355457001447,0.00815862054173664,0,0,0,0,0,0,0.0698269117262151,0,0,0,0,0,-0.0160777507566549,0,0,0,0,-0.00609836806624375,0,0
X002475.SZ,0,0,0,0,0,0,0,-0.0825802602467252,0,0,0,0,0,0,0.419411720347917,0,0,0,0,0,0,0,0,0.0523436694134776,-0.00442904448387356,0,0,0,0,0.133843191981888,0.018718905640469,0,0,0,0,0,0,0,0,0.0547451761884713,0.0710849994968725,0.0265809379817525,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.0306818012619273,0,0,0,0,0.0293359380736228,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.114368007837708,-0.132257740705052,0,0,0,0,0,0,0,0.18000267927823,-0.00945659322993461,0,0.163816977002313,0.139779605676983,0,0.0767755420591171,0.0438991680665327,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010358920078196,0,0,0,0,-0.0684411192103192,0,0
X000568.SZ,0,0,0,0,0,0,0,0,0.482556145357264,0,0,0,0,0,0.107753412379794,0,0,0,0,0.121711525126482,0,0,0,0,0,-0.182667640295639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14500681422233,0,0.0916722608768566,0,0,-0.0410883721783426,0.117995473197459,0,0,0,0.00354882050260658,0,0
X002304.SZ,0,0.050861268003791,0,0,0,0,0,0.226349902380658,0,0,0,0,0,0,0,0,0,0,-0.11789741632728,0,0.29141898925052,0,0,0,0,0,-0.034934509217995,-0.0259692017863457,0,0,0,0,0,0,0,0,0,0,0,0.0504842943469531,0,0,0,0,0,0,0.103131946177839,0,0.0586369424958881,0,0,0,0,0,0,0,-0.0203388823698762,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0.120812685302964,0,0,0,0,0.105958800872961,0,0,0.321284831310931,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,-0.0251299514778449,0.0703500688402827,0.0625366277761812,0,0,0,0,0,0,0,0.119749780042506,0,0,0.110080451288936,-0.00224047334084501,0,0,0,0.0650543532938341,0,0
