,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600703.SH,X600690.SH,X000568.SZ,X600741.SH,X002475.SZ,X002236.SZ,X002241.SZ,X000625.SZ,X000338.SZ,X002456.SZ,X600031.SH,X600066.SH,X000100.SZ,X601877.SH,X002008.SZ,X600809.SH,X300124.SZ,X300136.SZ,X600487.SH,X002508.SZ,X600522.SH,X300003.SZ,X002085.SZ,X600867.SH,X600699.SH,X600089.SH,X002294.SZ,X000050.SZ,X600498.SH,X000157.SZ,X000596.SZ,X600177.SH,X600271.SH,X002180.SZ,X600566.SH,X000559.SZ,X600118.SH,X300115.SZ,X600707.SH,X002179.SZ,X000661.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0.0305232583510029,0,0.0526755071078401,0,0.034343715442612,0,0,0,0,0,0,0,0,0,0,0.0863282446201507,0,0.0414453135362533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193525280710902,0,0,0,0,0,0,0,0.0487939192795564,0,0,0,0.00625820574500525,0,0,0,0,0,0,0
X600104.SH,0,0,0.0314497454596229,0,0,0.0372504307039908,0,0,0,0.0813656571404458,0,0,0.370194019063427,0.128471949462548,0.020268047625807,0,0,0,-0.00268353891684854,0,0,0,0,0,0,0,0,0,0,0,0,0.0408616860020252,0,0,0,0,0,-0.0332234796012868,0,0.00711192037863047,0,0,0,-0.0392145174645885,0,0,0,0,0,0,0,-0.0108145707835211,0.0165293703629251,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0.00661991562216947,0,0.146209244491592,0.0541394649406177,0,0,0,0,0,0,0,0,0,0.131350846560072,0.139970126923086,0,0,0,0.103437235013325,0,0,0.00359474853720312,0,0,0,0,0,0.0275596821372256,0,0,0.0739698167543507,0,0,0,0,0,0,0,0,3.3881317890172e-21,0.018026881018654,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.176831153089913,-0.0207732894845466,0,0,0,0,0.102230065323782,0,0.0288169663095788,0,0.090160323011542,0,0,0,0,0.200993713622327,0,0,0.0591285312321487,0,-3.46944695195361e-18,0,0,0,0.200362664443148,0,0,0,0,0,0,0,-0.0317030331152263,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0.0089571160852762,0.000860547578044561,0,0,0,0,0,0
X000858.SZ,0,0,-0.137270110577188,0.14430969818744,0,0,0,0.0811277687626207,0,0,0,0.379913170342592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0985299609506184,0,0,0,0,0,0,0,0,0,0,0,0.136179098625971,0,0,0,0,0,0,0,0,0,0,0,-0.0167644462545537,0.000244324933280593,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,-0.0531909122571165,0.205743824262207,0,0,0,0,0.108239399160895,0,-0.0854970651163969,0,0,0,0,-0.0324016757320177,0.0803761074478302,0,-0.0631839773901608,0,0,0.270882843409334,0,0,0,0,0.0474026805328229,0,-0.0362935853495835,0,0,0,0,0,0,0,0,0,0,0.156558670815081,0,0,0.144846622969142,0,0.0465463050431114,0,-0.0206940000190858,0.0218678685944059,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0.103847791348194,0,0,0,0,0,0,0,0,0,0,0,0,-0.129524594728838,0,0,0,0,0,0,0.0220207462805261,0,0,0,-0.0983822496102625,0,0,0.082529621962635,0.143178916816815,0,0,0,0,0,0,-0.0130659931670613,0,0,0,0,0.0165654433117638,-0.0731954434093599,-0.0266071405177609,0.0169189067996667,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.255400281677195,0,0,0,0,0,0,0.0531277279600829,0.0231663855650423,0,0,0,0,0,0,0.0222272832467065,0,0,0,0,0,0,0,0,0,0,0,0.0961827769714564,0,-2.71050543121376e-20,0,0,0,0,0,0,0,0,-0.0598058942758932,0,0,0,0.00331728404544652,0,0,0,0,-0.0472140377302667,0.0385124309403074,0,0,0,0,0,0
X000063.SZ,-0.034811032533564,0,0,0,0,0.416204813211926,-0.252948202671131,-0.123295210173151,0,0,0,0,0,0,0.130505115926703,0,0,0.0414349474684496,0,0,0,0,0.00442722508439519,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129611105751769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0591439060642546,0.0910564217581729,0,0,0,0,0,0
X600703.SH,0,0.196455155390462,0,0,0,0.0506887076178296,0.264604351172683,0,0,0,0.0251065791783524,0,0,0,0,0,0,0,0,0,0,0,-0.160756079329209,0,0,0,0,-0.0509185640729867,0,0,0,0,0,0.00604088439941673,0,0,0,0.187866524140179,0,0,0,0,-0.10830943169896,0,0,0,0,-0.10446871253833,0,0.1254134747182,0,0.0622148612975007,-0.0291686109668667,0,0,0,0,0,0
