,X600519.SH,X600104.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000858.SZ,X002304.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600276.SH,X600031.SH,X000100.SZ,X600703.SH,X600118.SH,X600271.SH,X600372.SH,X000157.SZ,X000338.SZ,X002129.SZ,X002241.SZ,X600741.SH,X000559.SZ,X600839.SH,X600089.SH,X600066.SH,X002292.SZ,X300124.SZ,X600177.SH,X002236.SZ,X002456.SZ,X600582.SH,X000800.SZ,X002475.SZ,X000568.SZ,X601877.SH,X300003.SZ,X000550.SZ,X600435.SH,X002223.SZ,X002465.SZ,X002276.SZ,X600060.SH,X000727.SZ,X000016.SZ,X000581.SZ,X000869.SZ,X002008.SZ,X600198.SH,X600166.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0.0918079077938964,0,0,0.0654750179248467,0,0,0.032549034043702,0,0,0,0.0579504821276971,0.0164328193704635,0,0,0,0,0,0.0693126948604503,0,0,0,-0.0292818448865282,0,0,0.0578535505821754,0,0,0,0.185924807817079,0,0,0,0,0,0,0.0166802239420474,0,0,0,0,0,0,0,0,0,0.00107629599775818,0.0105886810436767,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0.0412838538318209,0,0.111702742077109,0,0,0,0,0.0573354179456679,0,0,0.0822147497723914,0,0,0,0,0,0,0.0609839777754389,0.0415433112681438,0,0,0,0.035515249933401,0.0492888869037305,0,0,0,0,0,0,0,0,0,0,0,0.0207028887824493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190755176571796,0.117488339115329,0,0,0,0,0,0,0,0,0.051997822443563,0.0445846087539509,0,0.010635847477458,0,0,0,0,0.179721285308375,0,0,0,0.181711537341749,0,0,0,0,0,0.037455104625069,0,0.135423214797714,0,0,0.141363376701702,0,0.0570978045726799,0,0,0.00869142923833248,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.0645910623199251,0,0,0.00825354711381109,0.10924025069966,0.0706086335347822,0,0,0.1161647545429,0,0,0.0428951640992411,0,0.0502682975684701,0,0,0,0.0153611987886543,0,1.73472347597681e-18,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.125726661962734,0,0,0,0,0,0,0,0.00118933265445484,0,0,0,0,0,0,0,0,-0.00115742002953665,0.00557936715540326,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.0440006193059482,0,0,0,0,0,0,0.0632185594354743,0.074987181274931,0,0,0,0,0,0,0,0,0,0,0,0,0.102109947219428,0,0,0,0,0,0,0,0,0.0272946327653274,0.175337049728547,0.0779224358883319,0.142543585452766,0,0,0,0,0,0,0,0,0,-0.0213753895208134,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.158667941644379,0,0,0,0,0,0,0.120679942091824,0,0.0966183246062836,0,0,0.0841375657955116,0,0,0,0,0,0.0938051407168559,0,0,0,0,0.00715798867000084,0,0,0,0,0.127076371544564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00372958731884692,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0.0322823608698117,0,0,0.0541691210390511,0,0,0.000878807821478741,0,0.154432313291036,0,0.028354414512038,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0705045176145246,0,0,0,0,0.15536627905843,0,0,0,0,0,0.0701579121602093,0,0.0270803431102645,0,0,0,0,0,0.0257852693180272,0,0,-0.00822857662602334,-0.00745671426745966,0,0,0,0,0,0
X000625.SZ,0.0925632649831105,0,0,0,0.0356328681523284,0,0,0,0,0,0,0,0,0,0,0,0.0309097684326596,0.108236534643344,0.135285097686087,0,0,0.0621742174469394,0,0.0526820784577344,0.0706850856379069,0,0,0,0,0,0,0.0332223341512008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00985213004175822,0.0371803348050928,0,0,0,0,0,0
X000063.SZ,0.154238014237109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0446163831585558,0,0.21772710275364,0,0,0,0,0,0,0.0935639922403974,0,0,0,0.241736393028515,0,0,0,0,0,0.0304622932723822,0,0,0.0432686529986981,0,0,0,0,0.102180257343855,0,0,0,0,0,0,0,0,-0.00850487878096315,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0.0186418340929723,0,0,0,0,0,0,0.0685099035479258,0,0,0,0,0,0,0,0.0827563308023463,0,0,0,0,0.0358748408883154,0,0,0,0,0,0,0,0,0,0,0,0.0923752122934684,0.0152326172416449,0.0236337327337826,0,0,0.0822772512762351,0,0,0.075624183937178,0,0,-0.00218145526207789,-0.00790641740300594,0,0,0,0,0,0
