,X600519.SH,X600104.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000858.SZ,X002304.SZ,X000063.SZ,X000625.SZ,X600031.SH,X600690.SH,X000100.SZ,X600276.SH,X600703.SH,X600118.SH,X600372.SH,X600271.SH,X000157.SZ,X002129.SZ,X000559.SZ,X000338.SZ,X600839.SH,X002241.SZ,X600089.SH,X600741.SH,X600177.SH,X600582.SH,X600066.SH,X002292.SZ,X002456.SZ,X600060.SH,X002236.SZ,X300124.SZ,X002475.SZ,X600198.SH,X300003.SZ,X000800.SZ,X002465.SZ,X601877.SH,X600435.SH,X600166.SH,X002223.SZ,X000568.SZ,X002008.SZ,X300146.SZ,X000977.SZ,X000581.SZ,X000727.SZ,X000623.SZ,X002276.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0,0,0,0,0.0130558224229354,0,0,0,0.0619513027432907,0,0,0,0,0,0.0680758351763737,0,0,0,0.0960636760669898,0,0,0,0.0456246482196539,0.0104442690514481,0,0,0,0,0,0,0,0,0,0,0,0.163436647413197,0,0,0,0,0,0,0,0,0.014605938180089,0.0266751258212287,0,0,0,0,0,0
X600104.SH,0.00719576772910833,0,0,0.00483416797993915,0,0,0.0326074553873465,0,0.0292662697975374,0,0,0,0,0,0,0.0513175660894959,0.0107462707077217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108145049835975,0,0,-0.0222505625785252,0,0.0205434658155434,0,0,0,0,0,0.311426132937308,0,0.0808510559307135,0,0,0,0.110633389643709,0,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159530062076313,0,0,0,0,0,0,0.0524698983943177,0,0,0,0,0.273210066620075,0,0,0,0,0,0,0,0.0128352895166924,0.214111485953428,0,0,0.206926883947911,0,0,0,0,0.0656471245380186,0,0,0,0,0,0.0698999025907345,0,0,-0.0135129255571978,0,0,0,0,0,0
X000651.SZ,0.060973746088003,0,0,0,0.0936795821407116,0,0,0.0508444555871145,0.0116305953865707,0,0,0.0971225963994776,0,0,0,0,0.0705779519535346,0.0877602093412318,0,0,0,0,0,0,0,0,0,0,0,0,0.0522782079498283,0,0,0,0,0,0,0,0,0,0,0,0.0627729259719605,0,0,0,0,0,0,0,0,0,0.0101512922041148,0,0,0,0,0,0
X002415.SZ,0,0,-0.0359200588985842,0,0,0,0,0.0555707501588595,0.0125958075052148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0632873685658103,0,0,0,0,0.287345316246996,0,0,0,0,0,0.0856767228850585,0,0,0,0.0924558404862389,0,0,0,0.0224081033003806,0,0,0,0.101471883226869,0,-0.0221820837053749,-0.0126938600125838,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.0116571063322759,0,0,0,0,0.0762305645953331,0,0,0,0,0,0,0.0542717884895108,0.0215421239074469,0,0,0.108374543813001,0,0,0,0,0,0.0521436566294237,0,0,0,0,0,0,0.0920990946281605,0,0,0,0,0,0,0,0,0.298144228762558,0,0.00326396323310695,0,0,0,0.00690157731863192,0,0,0,-0.00247225483334843,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0.00240628462537723,0,0,0,0.1120841421528,0,0.118894695435188,0,0,0.0119502402734949,0,0,0,0,0,0,0,0,0,0,0,0,0.0516782787531495,0,0,0.0220489493055597,0,0,0,0,0,0,0,0,0,0,0.0851211803011498,0,0.0568833788170934,0.0415104962528845,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0.0518675606821408,0,0,0,0.0233509132110747,0,0,0,0,0,0,0,0,0,0,0.0508978662624957,0,0.2608239229434,0,0,0,0.0108367826376283,0,0.105998344837173,0,0.214784449503185,0,0,0,0,0.0204886320055205,0,0,0,0,0,0,0,0,0,0,0,0.0412443366078883,0,0,0.141486825771912,0,0,0,0,0,-0.00660009865922768,0,0,0,0,0,0,0
X000625.SZ,0.0691782293414974,0,0,0,0.00349581515747905,0,0,0,0,0,0,0,0,0,0,0.0728931811469503,0,0.121970452314078,0,0.0250033499405049,0.130521008280517,0.0633819909790641,0,0.00443294594119311,0.100893984122901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121825856844404,0.0483537691218222,0,0,0,0,0,0
X600031.SH,0,0,0,-0.0155935552325311,0,0,0,0,0,0,0,0,0,0,0,0.192135650927595,0,0,0,0,0,0,0,0.173764939171434,0,0,0,0,0,0,0,0,0,0,0.00625017828323424,0,0.00397110321933926,0,0,0.0395849072916446,0,0,0,0,0.272970600110275,-1.73472347597681e-18,0,0,0,0,0,-0.00820507034421069,0,0,0,0,0,0,0
