,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X600276.SH,X000858.SZ,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X600031.SH,X000338.SZ,X002475.SZ,X600741.SH,X000568.SZ,X601877.SH,X600703.SH,X600271.SH,X000100.SZ,X000625.SZ,X002236.SZ,X300124.SZ,X600487.SH,X600498.SH,X300003.SZ,X002008.SZ,X600809.SH,X000661.SZ,X002179.SZ,X300142.SZ,X002007.SZ,X000157.SZ,X000596.SZ,X600089.SH,X600066.SH,X002180.SZ,X600177.SH,X600522.SH,X600566.SH,X600867.SH,X600372.SH,X002506.SZ,X002456.SZ,X300146.SZ,X002241.SZ,X600118.SH,X600183.SH,X002294.SZ,X300136.SZ,X600699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.358453425412301,0.0741612753609587,0,0,0.0423020774324449,0,0,0,0,0,0,0,0,0,0,-0.0523169869998239,-0.0695051337194162,0.00989274616863514,0,0,0,0,0,0,0,0.0335309544833137,-0.0146290491063394,0.457210474832631,0,0,0,0,0,0,0,0,0,0,0.00409837421083489,0,0,0,0,0,0,0,0,0.000487536572712121,0,0,0,0,0,0
X600104.SH,0,0,0,0,-0.0539719478719578,0,0,0,0.131906753544258,0,0.0862126773152876,0,0,0,0,0,0,0,0,0,0.0738784552251717,0.0107184287146575,0,0.0832179363027909,0.0656196413988466,0,0.149973171590704,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.201052067090625,-0.0873147047252178,0,0,-0.162646688787523,0,0,0,0,0,0,0,0.0168377028352488,0,-0.0511999997934673,0,-0.057740229683436,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0389659840023058,0,-0.00375109931938226,0.0765733106144454,0,0.669433583067391,0,0,0,0,0.0534559193642702,0,0,0,-0.0203209245525951,-3.46944695195361e-18,0,0,0,0,-0.0555833923990391,0,0,0,0,-0.0583125182311094,0,0.0957195212999127,0,0,0,0,0.0179835361364922,0,0,-0.142349436977413,-0.00434018656082166,-0.00215605199488915,0,0,0,0,0,0
X000651.SZ,0.0374679072228151,0,0,0,0,0.116774202106577,0.138695262516752,0,0.0296116424758358,0,0,0,0,0.115125872150036,0,0,0,0,0,0,0,0,0.232909117153455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0961217734532627,0,0,-0.000448152274414508,0,0,0,0,0.0183019154467087,0,0
X600276.SH,0,0,0.126794018174645,0,0,0,0.0796001130740402,0,0,0,0.0687237621310555,0,0,0,0,0,0,-0.108938781892057,0,0,0,0,0,0,0.483560471920569,0,0,0,0,0,0.0285028475053041,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0169164109297816,0.0494029627763522,0,0,0,-0.0204338445981191,0,0
X000858.SZ,0.280496018307444,0,0.0470073296932568,0,0,0,0.311928620526067,0,0.0365253578886251,0,0,0,0,0.0594315087460407,0.0936546064464205,0,0,0,-0.0611932918533594,0,0,-0.000672912187224458,0,0,0,0,0.0993856696794598,-0.0592799882475315,0,0,0,0,0,0,0.117971274308899,0,0,0,0,-0.0857270431453595,0,0,0,0,0,0,0,0,0.0204509027893954,0,0,-0.00507655867207445,0.0264427358698235,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,-0.0788971811598172,0,0,0,0,0.295869333576586,0,0,0,0.0730719451267643,0,0,0,0,0,0.100900269126159,0,0.259342290401076,0,0,-0.10999842382081,0,0,0.44959998358726,0,-0.0842293301473659,0,0,0,0,0,0,0,0,0.00640557186337546,0,0,0,0,-0.02570446455999,0,0,-0.00260951493285529,0.0253055085857136,0,0,0,0.00530921873090335,0,0
X000725.SZ,0,0,0.0451018781607544,0,0,0,0,0,0,0.138156927848088,0,0,0,0,0,0,0,0,0.00488353126177269,0.0348946582918237,0.0438410684050936,0,0.0626057779549337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0482227619400444,0,0.124805967307481,0,0.052484378077206,0,0.0309281798828233,0,0,0,0,0,0,0.000244397350199589,0.0187663889365146,0,0,0,8.67361737988404e-19,0,0
X600690.SH,0,0.777332182393331,0,0,0.00578303490878088,0,0.140374294946944,0,0,0,0,0,-0.0393026460947385,0,0,0,0,0.033968087078624,0,0,0.160955575956798,0.204117753079667,0,0,0,0,0.0119186949831697,0,0.037418437005226,0,0,0,0,0,0.112609174573509,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.15664744952895,0,0,-0.00777294878856795,-0.00471406547560663,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0432155736654918,0.0169649491654669,0.201954319037408,0.267734334366207,0,0,0,0,0,0.100833493906851,0,0,0,0,0,0,0,0.0773602954869727,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0448394765828094,-0.0291375390106699,0,0,0,0.203513824780039,0,0
