,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X002304.SZ,X000858.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600703.SH,X002292.SZ,X600741.SH,X000100.SZ,X002241.SZ,X600066.SH,X002506.SZ,X600031.SH,X600118.SH,X002049.SZ,X002465.SZ,X002236.SZ,X000559.SZ,X000157.SZ,X600372.SH,X002475.SZ,X000338.SZ,X000568.SZ,X600089.SH,X300003.SZ,X300124.SZ,X600867.SH,X600177.SH,X002294.SZ,X000869.SZ,X002007.SZ,X002456.SZ,X600584.SH,X600498.SH,X002074.SZ,X002426.SZ,X002129.SZ,X000550.SZ,X300146.SZ,X002512.SZ,X601877.SH,X600699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.00628593298741053,0.20004046888037,0,0,0,0,0,0,0,0.216761734404639,0,0.0928653882231811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121704933182253,0,0,0,-0.0840801603576195,0,0,0,0,0,0,0,0,0,0,0,0,0.00313763930594645,0,0,0,0,0,0,0
X600104.SH,0,0,6.93889390390723e-18,0.126926891099465,0,0,0,0,0,0,0,0,0.0843052179493173,0.149897000400351,0.0786592361681221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0466821577455989,0,0,0,0,0,0,0,0,0,0,0.129152779046707,0,0,-0.0209958074986873,-0.00109985646448767,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.10293091516582,0,0,0,0.0540010246668281,0.0369438405918174,0,-0.0678812709702695,0,0.262304269010908,0,0,0,0,0,0,0,0,0,0,0,0,0.0830687893924979,0,0,0,0,0,0.286536630464253,0,0,0,0,0,0,0,0,0,0.164812735997585,0,0,0.053121757693056,0,0,0.0099090449347068,0.0202059075109875,0.10805107920444,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,-0.0129017167473189,0.189179942789804,0.0970387656924336,0.0919289457281355,0,0.0684797569118624,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0.129729151511124,0,0.0174628726118136,0,0.194858276229783,0,0.0209116985680643,0.0708647712161193,0,0,0,0,0,0.0716786750678381,0,0,0,0,0,-0.0114436045867375,0,0,0,0,0,0
X002304.SZ,0,0.00727100746561867,0,0,0,0,0,0,0,0,0,-0.0263324873734601,0,0,0.0190305304068531,0,0,0,0.108160846085871,0,0,0,0,0,0,0,0,0.260929702730637,0,0,0,0.0630188558250954,0.146095830645285,0,0.139964687382228,0,0,0,0.0495416736145427,0,0,0,0,0,0,0,0,0,0,-0.0281617327439649,0,0,0,0,0,0
X000858.SZ,0,0,0.0196667363603303,0,0,0,0,0,0.169632608386378,0,0,0.0283860701904553,0,0,0,0.0366393957185431,0,0,0,-0.0073386558060378,0,0,0,0,0.0724655797589046,0,0,0,0,0,0,0,0,0,0.306658690655473,0,0,0,0.0396432225686486,0,0,0,0,0,0.093571491386204,0,0.335984443562373,0,-0.0031357652524634,-0.0169652437805661,0,0,0,0,0,0
X600276.SH,0,0,0.0849461244482248,0,0,0.0502181138634155,0,0,0,0,0,0,0,0.0310580706090878,0,0,0,0,0.0761233984172166,-0.025447228460933,-0.182102761413226,0,0.109932174718574,0,0,0,0,0,0,0,0,0,0,0,0.0522785659840008,0,0,0.0311814588663252,0.0489185910142556,-0.0719623402322601,0,0,0,0,0,0,0,-0.134246083158153,-0.0120746967866369,0,0,-0.0471966141423853,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0230430823772525,0.134769745394269,0,0,0,0.0845601483433933,0.103019270448359,0.209193246185886,0,0,0,0,0,0,0,0,0.122844072610866,0,0,0,0.0588538790872161,0,0,0,0,0.0613977379319029,0,0.0430832035226874,0,0,0,0,-0.00374808538481262,-0.0114115138607491,0,0,0,0,0,0
X000625.SZ,0,0,0.235995652068674,0,0,0,0,0,0,0,0,0,0,0.0299242130090581,0,0.0630546693087876,0,0,0.0377376595779803,0,0,0,0.230719822656268,0,0,0,0,0,0,0,-0.0158855859181462,0,0.100304061580056,0,0,0,0,0,0,0,0,0,0.155611611446916,0.0757994328243127,0,0,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0,0.0257710221484589,0,0,0,0,0,0.0681953571347442,0,0,0,0,0,0.0419146417161823,0,0,0,0,0,0,0,0.137500351282356,0,0,0,0,0,0,0,0.148590413311731,0.0207086022629604,0.167718562693369,0,0,0,0,0,0,0,0.142181473963467,0.0318834653985675,0,0,0,0,0,0,0,-0.0146928522647478,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0.00857658904817028,0,0,0.0086933992955712,0,0,0.107576714082481,0,0.0103968868566508,0,0,0,0,0,0.142199842582479,0,0,0,0,0,0,0,0,0,0.0401963951997285,0,0,0,0.173760833905142,0,0.0821379065377409,0,0,-3.46944695195361e-18,0,0.0378305331024855,0,0.113061487418498,0,0,0,-0.0107552667272412,0,0,0,0,0,0
X002292.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245720715224354,0,0.169213452589175,0,0,0,0.0086982401087306,0,0,0,0,0,0,0,0.222841019050268,0,0,0,0,0,0,0,-0.0539600146933216,0.329544732035327,0.00120890288054445,0,0,0,0,0,0,-0.133721412493175,0,-0.0841835015537218,0,0.192998711258593,0,0,0,0
X600741.SH,0,0.291862874746862,0,0.147152661569458,0,0,0,0,0,0,0,0,0,0,0.00627654174661689,0,0,0,0,0,0,0,0.0676812546938293,0,0.0171612410185246,0,0,0,0,0,0,0,0,0,0,0,0.136833846678169,0,0,0,0,0,0,3.46944695195361e-18,0,0.0306884843333062,0,0,-0.0166040366629522,-0.0248745259046267,0,0,0,0,0,0
