,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X000651.SZ,X002475.SZ,X002304.SZ,X600690.SH,X300014.SZ,X600104.SH,X000725.SZ,X600031.SH,X300124.SZ,X000063.SZ,X002371.SZ,X000661.SZ,X000338.SZ,X000625.SZ,X600703.SH,X002241.SZ,X002129.SZ,X003816.SZ,X000596.SZ,X000100.SZ,X300142.SZ,X002049.SZ,X002179.SZ,X000799.SZ,X600702.SH,X600460.SH,X000157.SZ,X002074.SZ,X600779.SH,X600741.SH,X601877.SH,X002007.SZ,X600584.SH,X002236.SZ,X002414.SZ,X601799.SH,X600089.SH,X600183.SH,X300003.SZ,X600884.SH,X300146.SZ,X000800.SZ,X000977.SZ,X002508.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.146946568254429,0.00613608449154619,0,0,0,0,0.161347532413093,0.0513383446489463,0.0424294195995785,0,0,0,0,0,0,0.0448640083065812,0,0,0.0147232891484446,0,0,0.0481902124532244,0,0,0,0,0,0,0,0.111912432169888,-0.0517137698635249,0,0,0,0,0,0.0772436724570059,0,0,0,0.015142259248749,0,0,0,0,0,0,0,-0.115226689987352,0,0,0.0160978716685588,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.280266422101423,0.427729008728917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117010967126598,-8.67361737988404e-19,-0.035493921143084,0,0.0427672922409988,0,0,0,0,0,0,-0.0950877760544541,0.0350453897268591,0,0,0,-0.0501200316712559,0.159577753853336,0,0,0,0,0,-0.0189399523333953,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.0530059693830342,0,0,0,0.046272040167909,0.124454018991748,0.0921371001158321,0,0,0,0,0,-0.0133176035645815,0,0,0.0853723133996199,0,0,0,0,0,0,0,0,0,0.031848915143539,0,0,0,0,0,0,0.104316933113602,0,0,0.147988075086635,0,0.155698430312586,0,0,0,0.0143284189820677,0,0,0.070862609461965,0,0,-0.0472951656758007,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.0670384844873598,-0.068491013537273,0,0.153926242590328,0,0,0,0,0,0.114922463575967,0,0,0,0,0,0,0,-0.189775054356475,0,-6.93889390390723e-18,0,0,0,0,0.485367350963172,-2.77555756156289e-17,-0.00128420139106427,0,0,0.0590435510985859,-0.242357310372887,0,0,0,0,0.0535435269440687,0.0354711492350417,0,0,0,0,0,0,0,0,0,0,0.0297148771057161,0,0,0,0,0,0
X600276.SH,0,0.0152478246120621,0,0,0,0,0,0,0,0,0,0,0,0.0705661895387163,0.0966795175784436,0.193874214780622,0,0,0,0,0,0,0,0,0,0,0.104197602608756,0,-0.180171220069594,0,0.00379650292248842,-0.00512671608070021,0,0,-0.266422717090749,0,0,0,0,0,0,0,0,0,0,0.103735945883303,0.00166005270440569,0,0,0,0,0.0449762294110134,0,0,0,0,-0.0246887337410777,0,0
X000568.SZ,0,0.725745435970395,0,0.0766984714241841,0,0,0,0,0.02581626243717,0,0,-0.241640520024015,0,0,0,0,0,0,0,-0.0207060680330231,0,0,0,0,0.162700238485563,0,0,0,0,0,0,0,0,0,0,0,0.0669608813741065,0,0.0137126890688089,0,0.033929150143684,0,0,0,0,0.0583459296439647,-3.46944695195361e-18,0,0,0,0,0,0.0191706112230597,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,-0.0219767606182538,0,0.18304350439093,0.0280992262514953,0,0,0,0,0.124115526501221,0,0,0,0.00572142220826481,0,-0.0405817699494041,0,0,-0.0865404867633249,0,-0.0209487104205813,0,0,0,0.0971780805905097,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,-0.055317172867764,0,0,0,0,0,0.0964432863841608,0,0,0,0,0,0
X002475.SZ,0.149712058062945,0,0,0,0,0,0,0,0,0,0.15537606452087,0,0,0,0,0,0.0618938582712355,0,0,0,0.0525003884125088,0,0,0,-0.112196083536618,0,-0.0323904972445307,0.0570233129286191,0,0,0,0.002667648027486,0,0,0,0,0,0,0,0,0.165057903289038,0,-0.171499421140246,0,0,0,0,0,0,0,0,0.0250365816207617,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.249475511619531,0,0.0653977270852638,0,0,0,0,-0.194668515945985,0,0,0,0,0,0,0,0,0,0.486968347839678,0,0,0,0,0,0.0359479460600047,0,0.220578918439815,0,0,0,0,0.0504797608539759,0,0,0,0,0,0,0,0,0,0,0,0,0.0817853433842409,0,0,0,0,-0.231256116325702,0.124982483502769,0,0,0,0,0,0
X600690.SH,0,0,0.300702132674167,0,0.189247890955509,0,0,0,0,0,0,0,0.317013487651216,0,-4.33680868994202e-19,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0.000992710556556795,0,0.0231356699269965,0.0259384851921311,0,0,0.0225054767401777,0,0,0,0,0,0,0,0,0,0,0.0189418777535377,0,0,-0.0582801230346882,0.03234598859819,0,0,0,0,0,0
X300014.SZ,0,0,0.27453876166988,0,0,-0.206638361782096,0,0,-0.176439384559753,0,0,0,0,0,0.29321353082334,0,0.0128093404211293,0.0477065118959383,0,0.170767218738551,0,0.404305791966261,0,0,0,0,-0.0368259274892431,0,0,0.00424015716510408,0,0,0,0,0,0,0,0,0,0,0,0,0.337775783820197,0,0,0.0678090931515021,0,0,0.232555425247545,0,0,-0.0483541425129382,0.0960339136243338,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143454311440515,0,0,0,0,0,0.0596414617982281,0,0,0,0,-0.0123022726010038,0.00530697211307501,0.170588311793504,0,0,-0.044381050881164,0.0450569445910975,0,0,0,0,0.00583901255010108,0,0,0,0,0,0,0.0700002682070007,0,0,0.0430465428426015,0,0,0,0,0,0.112225069162321,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135414446278677,0,0,0,0,0,0,0.0359175808295367,0.415068146195328,0,0,0,0,0,0.0394378992940289,0,0.00749199790468004,0,0,0,0.240714553199873,0.112245023924054,0,0.05908398492874,0,0,0,0,0,0,0,-0.0391716258407563,0,0,0,-0.00436148317377421,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0.00303015672675765,0,0,0,0,0,0.0825558704602328,0,0,0,0,0.0161720811566285,0.121751208814984,0,0,0,0.0367866551543524,0,0,0,0,0,0.0211101538051303,-0.0614795254272569,0.0590692111128258,0,0,0.0452218354590363,0,0,0,0,0,0.12048368005879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0820172750987315,0,0
X300124.SZ,0,0,0,-0.0645479652428383,0.0827347748026431,0,0,0.0561984072427018,0,0,0.18321511328805,0,0.0395130651289278,0,0,0,0.142199539589364,0.149915264181557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196457921514589,0,0,0,0,0,-0.122694213243067,0,0,0,0.110548826852661,0,0,0,0,0.0385718596129907,-0.0309065127634715,0,0,0,0,0,0
X000063.SZ,0,0,0,0.100008151416917,0,0,0,0,0.0252272568344802,0,0.0385246467581826,0,0,0,0,0,0,0,0,0.0760413451154339,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.0153151643544864,0.0584498945574025,0,0,0,0,0,0,0,0,0.0109324281449696,0.0559634609942152,0,0,0,0,0.0141721288090772,0,0.0599800978628373,0,0,0,0.0330990877995194,0,0,0,0,0,0
X002371.SZ,0,0,-0.0663603590357137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00201562740361268,0,-0.0147278180613068,0.340459341585872,0,-0.102418147961959,0,0,0,0,0,0,0.035017571395724,0,0,0,0,0,0.166028576519012,0,0,0.205893541625007,0,0.156696975182578,0,-0.000821975061679237,0,0,0,0,0,0.19780702497425,0,0,-0.0752611137077476,-8.67361737988404e-19,0,0,0,-0.257329873846652,0,0
