,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600703.SH,X600271.SH,X600741.SH,X600066.SH,X002241.SZ,X000100.SZ,X002292.SZ,X002236.SZ,X600031.SH,X600177.SH,X600118.SH,X002475.SZ,X000568.SZ,X000559.SZ,X002506.SZ,X600372.SH,X000157.SZ,X000338.SZ,X002426.SZ,X300003.SZ,X002074.SZ,X002085.SZ,X300124.SZ,X002007.SZ,X002456.SZ,X600867.SH,X000050.SZ,X000981.SZ,X600089.SH,X002294.SZ,X002180.SZ,X000869.SZ,X002465.SZ,X600699.SH,X601877.SH,X002508.SZ,X600498.SH,X002179.SZ,X002249.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.28986104920795,0.110901637283727,0.0145888299658061,0,0,0,0,0,0.0671142354302294,0,0,0,0,8.67361737988404e-19,0,2.16840434497101e-19,0,0,0,0,0,0,-0.0442736194354977,0,0,-0.0425561472056691,0,0.100789349770561,0,0,0.215706624978747,0,-0.114757822117388,0,0,0,0,0.0242168222489385,0,-0.102032678180351,0,0,0,0,0,-0.0324630665095174,0,-0.10904006359967,0.105882515729211,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0.112712954090277,0.123054521281753,0,0,0,0.184350210531759,0,0,0,-0.0429642357502493,0,0,0.0308168083579659,0,0,0,0,0,0.0356969506125391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0386438289726375,0,0,0,0,0,0,-0.00498543164584253,-0.0413890137598776,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.0598304946634659,0,0,0,0,0,0.0722791498102921,0,0.0414597602405345,0,0,0,0,0,0,0,0.0170013642862957,0,0,0,0,0.0905132533169362,0.0670359226590468,0,0,0,0.0587961510736023,0,0.0553094378779749,0,0,0,0,0,0,0,0,0.0191491756116822,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.171546917446807,0,0,0,0,0.0241265577827472,0,0.00614868029171009,0,0,0,0,0.0144936558676478,0,0,0,0,0,0,6.93889390390723e-18,0.0871761562677888,0,0,0,0,0,0,0,0,0,0.00218796598646234,0,0.0776173094218387,0,0,0,0,0.189406602695335,0,0,0.0214220613656327,0,0,0,0,0,0,0.0115812821684476,0,0,0,0,0,0
X002304.SZ,0.107984381055986,0,0,0.623218190143062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012903772098555,0,-0.0368866998365699,0.0777382909738916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0165289135157364,0,0,0,-0.136847826739014,0,0.0631032748428949,0,0,-0.00236054425130414,0,0,0,0,0,0,0
X600276.SH,0,0.154783309438272,0,0,0,0,0,0,0.0125975145139447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0468971579989979,0,0,0,0,0,0,0.0514304445599431,-0.0649640574459927,-0.00669551988053266,0,0,0,0,-0.0685714954671262,0,0,0,0,0,0.00790648294126907,0,0,0.229392694438731,0,0,0,-0.0544393043882076,0.0153366803107614,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0306789651096273,0,0,0,0.0480547996075229,0,0,0,0,0.192368878732319,0.105052633957491,0,0,0.13024830740921,0,0,0,0,0,0.0374120968968165,0.0777459732095384,0,0.0671581577768233,0,0,0,0,0,0,0,0,0,0,0.0140149277803099,0,0,0,0,0,0,0,0,0,0
X000625.SZ,0.0080849369087301,0.0842243391056942,0,0.35577395379379,0,0,0,0,0,0,0,0,0,0,0,0,-0.0540977459320511,0,0,0,0,0,0,0,0.0528106637830182,-0.107821960319533,0,0,0.00972197903765996,0,0,0,-0.0674121344503521,0,0,0,0.35788123300015,0,0,0,0,0,0,0,0,0,-0.0178369210517792,0,0,0,0.152265816847029,0,0,0,0,0,0,0
X600690.SH,0,0.0406168877493085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0680437400976546,0,0,0,0,-0.12415562561716,0,0,0,0,0.0687097349665407,0,0,0,0,0,0.0844787698270491,0,0,0.0236779442976407,0,0.342017941847025,0,0,0.16027222089567,0,0,-1.73472347597681e-18,0,0,0.0422072358867615,0,0,0,-0.00229429362177813,0,0,0,0,0,0
X000063.SZ,0,0,0,0.286205199933318,0,0,0,0.260526539299246,0,0,0,0,0,0,0,0,0,0,0.0925727115773892,0.118638396854535,0.0752552404656126,0.147065640816646,0,0,0,0,0,0,0.119926016493453,0,0,0.0513214844300224,0,0,0,0,0,0,0,0,0.0464335736603317,0,0,0,0,0,0,-3.46944695195361e-18,0,0,-0.0824448545040956,0,0,0,0,0,0,0
X600703.SH,0,0,0,0.0728295809150284,0.0652720888799149,0,0,0,0,0,0,0,0,0,0,0,0.0466650795779802,0.0370422084933064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109386200008766,0.12671856794494,0,0.0615384398251393,0,0,0,0,0,0,0,0,0,0,0.0632277984387939,0,0,-0.0108473997849529,0,0,0,0,0,0,0
X600271.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.359674725797225,0,0.116790292010425,0,0.0656782205328125,0,0,0,0,0,0,0.0173331841315903,0,0,0.15926387337118,0,0,0,0,0,0.0799865396446655,0,0.082652214668612,0.174767014916197,0,0,0,0,0,0,0,0,0,0,0,0,-0.0574405847085531,0.215762719288675,0.0277352434209122,0,0,0,0,0
X600741.SH,0,0.122418008217133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169085782939801,0.0686717823677053,0,0,0,0,0.00996736151383819,0,0,0,0.00338980843491097,0,0,0,0,0.119504983700551,0.012760672870884,0,0.129201096657861,0.0789230920955113,0,0,0,0,0,0.00922239419261998,0,0,0,0,0,0,0.00602356418350959,0,0,0,0,0,0,0
X600066.SH,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,-0.0453633139182337,0,0,0,0,-0.0459761922920548,0,0,0.228710062603183,-1.38777878078145e-17,0,0,0.108060834059659,0,0,0,0,-0.157541155351451,0,0,-0.0630541057357237,0,0,0.0865036439458159,0,0.0505883141452356,-0.181696802471006,0,0,0,0,0.0703849523959047,0.0304779038441758,0,-0.0647411851832703,0,0,0,0,0,-0.0100911012648063,0,0,0,0,0,0
X002241.SZ,-0.028332104464265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220851257775297,0,0,0,0,0,0,0,0.123027086623062,0,0,0,0.147389113185026,0.0643579135135558,0.140660877363231,0,0.068640118735438,0.170112213470206,0,0,0.0542640722790795,0,0,0,0,0,0.111090947333496,0,0.132043199918033,0,0,0,0,0,0,0,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0295819178361145,0,0.027400884519319,0,0,0,0.15326615863722,0.064050434041017,0,0,0,0,0,0,0.0402011059146211,0.00681301663107612,0.0693742027317561,0,0,0,0,0,0,0.0307769590379945,0,0,0.106297490173372,0,0.0349772259644772,0.0533074029580493,0,0,0.0231074060282389,-0.0518041959154955,0,0,0,0,0,0
X002292.SZ,0,0,-0.0685015210573188,0,0,0,0,0,0,0,0,0,0,0,0.267256948396041,0,0,0,0,0,0,0,0,0,0.0226521965317152,-0.0108197455771603,0,0.0522456961626691,0.0765244607957907,0,0.0183274202437852,0,0,0,0,0,0.145481455203248,0,0,0,-0.0096690480484969,0,0,0.0705675985455607,0.114755117718513,0,0,0,0.589344802600171,0,0.0559920121952569,0,0,0,0,0,0,0
