,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X002304.SZ,X000858.SZ,X600276.SH,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X000100.SZ,X600703.SH,X002292.SZ,X600066.SH,X600741.SH,X600031.SH,X002506.SZ,X002241.SZ,X002236.SZ,X600118.SH,X002475.SZ,X002049.SZ,X000559.SZ,X000157.SZ,X600372.SH,X000338.SZ,X300003.SZ,X002074.SZ,X000568.SZ,X002294.SZ,X600089.SH,X002085.SZ,X300124.SZ,X600177.SH,X600867.SH,X600582.SH,X002465.SZ,X002180.SZ,X002007.SZ,X601877.SH,X600498.SH,X000869.SZ,X600584.SH,X000550.SZ,X002456.SZ,X002426.SZ,X002249.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.0747004853155731,0,0.287074597522543,0,0,0,0,0,0,0,-0.0141754562636755,0,0,0.279710608532883,0,0.0129171393086531,0,0,-0.0418236117435366,0,0,0,0,0,0,0,0,0,0,0,0.0221489666376902,0,0,0.0219148644395961,0,0,0,-0.0698691970584292,0,0,0,0,0,0,-0.00743544098689875,0,0,0.0601504776083307,-0.00492792372783463,0,0,0,0,0,0
X600104.SH,0,0,0.101230911535988,0,0,0,0,0,0,0,0,0.092534768355396,0,0,0,0.432373117818275,0,0,0,0,0,0,0,0,0,0,0,0,0.0527702824980297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047383979557897,0,0,0,0,0,0.00327875263566204,-0.0278345497953549,0,0,0,0,0
X002415.SZ,0,0.309902504977719,0,0,0,0,0,0,0,0,0,0.107977910207498,0,0,0,0,0,0,0.0445719618458826,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0.0065907815080506,0,0,0,0,0,0,0,0,0,0.08621281641031,0,0,0.306112949396203,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0.00159468526167238,0,0,0,0,0,0.233488874632141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0591816622246334,0.319446308597449,0,-0.113754338958018,0,0.1055656660753,0,0,0,0,0.0585452565379319,0.0348314982795268,0,0,0,0,0.0346761617097547,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0.0311943289384677,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141060855774046,0,0.0414219668042741,0.246584473704648,0.0352796365339003,0,0.0815082767232223,0,0,0.021922781320221,0.137288933597239,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0.152331084335873,0,0,0,0.00782538380351101,0.0904721709409405,0,0,0,0.0122074359772644,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0.0130553215005746,0,0,0,0,0,0,0,0.0342661374809093,0.127845262145145,0.248046786717467,0,0,0,0,0,0,0.0124123173201643,-0.00213194856920873,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0.0329024300752751,0,0,0,0.0382904185729669,0,0.025799281391114,0,0,0,0,0,0,0,0,0.0778151758494122,0,0,0,0,0.0254525139509671,0,0,0,0,0,0.0344569064757737,0,0.0985876588277727,0,0,0,0,0.0143027654144154,0,0,0,0.0158871511798953,0,0,0,0.00999937774271007,0.0144652434872101,0,0,0,0,0,0
X000725.SZ,0,0,0.0969283889836952,0,0,0,0,0,0,0,0,0.0462119118854747,0,0,0,0,0,0,0,0.0281501965724126,0,0,0,4.33680868994202e-19,0.104320736696268,0,0,0,0.0714992742567224,0,0,0.297308215603978,0,0.0101639919695312,0.19273771236709,0,0,0,0,0,0,0.0386032774684842,0,0,0,0,0,0,0,0,-0.00777185042454422,0,0,0,0,0,0
X000625.SZ,0,0,0,0.0561494866210563,0,0,0,0,0,0,0,0,0,0.0515676872231085,0,0,0,0.0678337869728783,0.0397975869013159,0,0,0,0,0.0791409439935545,0,0,0,0,0,0,0,0,0,0,0.176780312221058,0,1.38777878078145e-17,0,0.0245774022015451,0.169780819616192,0,0,0,0,0.158158068009092,0,0,0,0,0,-0.0199784387348286,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138449636450886,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0.377619707279076,0,0,0,0,0.104601670866056,0,0,0,0,0.0688531601850693,0.188933418203858,0.0200313552128881,0,0,0.0204076117039321,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0
