,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X600741.SH,X002236.SZ,X002475.SZ,X000338.SZ,X600031.SH,X002008.SZ,X002456.SZ,X000625.SZ,X300124.SZ,X601877.SH,X600487.SH,X300003.SZ,X600066.SH,X000100.SZ,X600809.SH,X002241.SZ,X002294.SZ,X600867.SH,X300136.SZ,X600271.SH,X600522.SH,X002508.SZ,X600566.SH,X000050.SZ,X600089.SH,X000157.SZ,X000981.SZ,X000596.SZ,X600498.SH,X600177.SH,X600707.SH,X000661.SZ,X002179.SZ,X002049.SZ,X600699.SH,X300142.SZ,X002180.SZ,X600584.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.402593247819341,0.000945638443393071,0.039017823611506,0.0400035462506577,0,0,0,0.0808975874863285,0,-0.126303471836019,0,0,0,0,0,0,0,0.0628280163597474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181827377330559,0.0552902206684626,0,0,0,0,0,0,0.127974160268529,0,0,0,0.00582106974844245,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,-0.192491342933342,0,0,0,0.242673211943163,0,0.319104226482166,0,0,0,-0.146173306117236,0,0,0.168904021920816,1.73472347597681e-18,0,0,0,0,0,-0.0146243903148176,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00555085339468586,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0670326425984666,0,6.93889390390723e-18,0,0.0556862662955248,-1.38777878078145e-17,0.15495127583118,0,0,0,0.205069441461046,0,0.0922123900037174,0,0,0,0,0,0,0.29256018208581,0,0,0,-0.0225795120019977,0,0,0,0.105732516699459,0,0,0,0,0,0,0,0.23382042127194,0,0,0,0,0,0,0,0,0,0,0,0,-0.00494693900902317,0,-0.00267666032965657,0,0,0,0,0
X000651.SZ,0,0,0,0,0.322952335227137,0,0,0,0,0.163315041909547,0,0,0,0.0352291872728764,0,0,0.0541721385029947,0,0.0253568278619904,0,0.0904586969793526,-0.0108583866885912,0,0,0,0,0,0,0,0.124086214991326,0,0,0,0.197334436889892,0,0,0,0,0,0,0,0,0,0,0,-0.0605022807708021,0,0.131244289373614,0,0,0,0,-0.00739655137170217,0,0,0,0,0,0
X000858.SZ,0.22569466202659,0,0,0.334951129451691,0,0,0,0.0540617915708113,0,0,0,0.382290193566688,-0.0123498991681852,0.088124288873473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.051949682337557,0,0,0,0,0,0,0,-0.00929376553527691,0,0,-0.0540268715554475,0,0,0,0,-0.072320716248013,0,0,0,0,0,-0.013841426445224,0,0,0,0,0,0
X600276.SH,0,0,0.077825032733611,0,0.071619790247449,0,0,0,0,0.103109232861586,0,0,0,0,0,0,0,0,0,0,0,0,0.287012550101432,0,0,0,0.0404722262345046,0,0,0.0694472802023231,0,0,0,0.119170345323718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00390403716365772,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0.102631974958354,0,0,0.225155680943924,0,0,0,0,0,0,0.0980156727879878,0,0,0,0,0,0,0,0.110882028534391,0,0.156889118671091,0,0,0,0.112994757469541,0.0284376627348625,0.124476414397606,0,0,0,0,0.0210731203087629,0,0,0.0312757859691874,0,0,0,0.126639306275815,0,0,0,0,0,0.115427823644713,0,-0.0386011482657602,0.0522009624111044,0,0,0,0,0,0
X002304.SZ,0.237643184203079,0,0,0,0,0.0997764369020252,0,0,1.0842021724855e-19,0,0,0.052828936084962,0,0,0,0,0,0,0,0,0,-0.0700738214781095,-0.0723331870126358,0,0,0,0,0,-0.00298068069338165,0,0.0100244469225637,0,0,0.374880505591415,0,0,0,0,0,0.216010829112485,0,0,0,0,0,0.0657791356537556,0,0,0,0,0,0,-0.0128471965338316,0,0,0,0,0,0
X000063.SZ,0,0,0,0,-0.137785336791869,0,0.356079690943088,0,0,0,0,0,0,-0.0324328877250706,0,-0.0421354763557483,0,0,-0.0625337156772,0,0,0,0.361324743045021,0,0,0.267881255585136,-0.182588034383181,0,0.0726504802406533,0,-0.0674831814471144,0.288963014607168,0,0,0.245644479048961,0,0,0,0,0.240412677401136,0,0,0,0,0,0,0,0,0,0,0,0.00618093595543827,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.313449019807079,0.153507111138357,0.0243993448434255,0,0,-1.73472347597681e-18,0,0,0,0.242908473244836,0,0,0,-0.0196971776888144,0,0,0,0,0,0,0,0,0,0,0,0,0.0279212945847581,0,0,0,0.0494718042112185,0,0,0,0,0,0.0262961019123364,0,0,0,0.00486604093901589,0,0,0,0,0,0,0,-0.00573492171491189,0,0,0,0,0,0,0
